Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3e-06,21.932016,[57 12] ; [ 9 18],[47.4375 21.5625] ; [18.5625  8.4375],1
r4,1,3e-06,21.731667,[49 20] ; [ 5 22],[38.8125 30.1875] ; [15.1875 11.8125],1
n6,1,0.000307,13.025596,[46 23] ; [ 7 20],[38.09375 30.90625] ; [14.90625 12.09375],1
r2,1,0.000972,10.879733,[60  8] ; [15 11],[54.25531915 13.74468085] ; [20.74468085  5.25531915],1
u3,1,0.001854,9.688645,[15 11] ; [ 1 13],[10.4 15.6] ; [5.6 8.4],0
d5,1,0.003864,8.346633,[54 15] ; [13 14],[48.15625 20.84375] ; [18.84375  8.15625],0
p2,1,0.011138,6.443189,[35 34] ; [ 6 21],[29.46875 39.53125] ; [11.53125 15.46875],0
s6,1,0.011378,6.405233,[34 33] ; [ 6 21],[28.5106383 38.4893617] ; [11.4893617 15.5106383],0
v2,1,0.022345,5.218749,[30 39] ; [ 5 22],[25.15625 43.84375] ; [ 9.84375 17.15625],0
p7,1,0.026918,4.896093,[29 39] ; [ 5 22],[24.33684211 43.66315789] ; [ 9.66315789 17.33684211],0
p8,1,0.033645,4.512656,[23 46] ; [ 3 23],[18.88421053 50.11578947] ; [ 7.11578947 18.88421053],0
r1,1,0.035185,4.436158,[49 20] ; [13 14],[44.5625 24.4375] ; [17.4375  9.5625],0
s8,1,0.039454,4.241229,[14 53] ; [ 1 26],[10.69148936 56.30851064] ; [ 4.30851064 22.69148936],0
n3,1,0.044335,4.043746,[17 10] ; [ 5 11],[13.81395349 13.18604651] ; [8.18604651 7.81395349],0
n2,1,0.057358,3.612179,[20 10] ; [ 6 10],[16.95652174 13.04347826] ; [9.04347826 6.95652174],0
a7,1,0.062428,3.471689,[45 24] ; [12 15],[40.96875 28.03125] ; [16.03125 10.96875],0
s7,1,0.079076,3.083793,[16 47] ; [ 2 22],[13.03448276 49.96551724] ; [ 4.96551724 19.03448276],0
v3,1,0.109388,2.563044,[23 42] ; [ 5 22],[19.7826087 45.2173913] ; [ 8.2173913 18.7826087],0
b5,1,0.128248,2.313587,[40 29] ; [11 16],[36.65625 32.34375] ; [14.34375 12.65625],0
p6,1,0.168198,1.898931,[13 54] ; [ 2 24],[10.80645161 56.19354839] ; [ 4.19354839 21.80645161],0
n4,1,0.170014,1.882819,[38 31] ; [19  8],[40.96875 28.03125] ; [16.03125 10.96875],0
p3,1,0.172714,1.859224,[25 43] ; [ 6 21],[22.18947368 45.81052632] ; [ 8.81052632 18.18947368],0
b2,1,0.182427,1.777742,[11 30] ; [ 8 10],[13.20338983 27.79661017] ; [ 5.79661017 12.20338983],0
b3,1,0.182427,1.777742,[11 30] ; [ 8 10],[13.20338983 27.79661017] ; [ 5.79661017 12.20338983],0
p10,1,0.204113,1.6127,[12 56] ; [ 2 25],[10.02105263 57.97894737] ; [ 3.97894737 23.02105263],0
a2,1,0.230322,1.43887,[15 54] ; [ 3 24],[12.9375 56.0625] ; [ 5.0625 21.9375],0
d3,1,0.231728,1.430222,[40 29] ; [12 15],[37.375 31.625] ; [14.625 12.375],0
v1,1,0.232577,1.425033,[24 45] ; [ 6 21],[21.5625 47.4375] ; [ 8.4375 18.5625],0
d1,1,0.245392,1.349349,[32 37] ; [ 9 18],[29.46875 39.53125] ; [11.53125 15.46875],0
s1,1,0.252688,1.308383,[ 5 64] ; [ 4 23],[ 6.46875 62.53125] ; [ 2.53125 24.46875],0
a3,1,0.276498,1.184222,[43 26] ; [13 13],[40.67368421 28.32631579] ; [15.32631579 10.67368421],0
d4,1,0.288567,1.126294,[51 18] ; [17 10],[48.875 20.125] ; [19.125  7.875],0
p4,1,0.291771,1.11143,[25 42] ; [ 7 20],[22.80851064 44.19148936] ; [ 9.19148936 17.80851064],0
u2,1,0.342093,0.902571,[11 14] ; [ 4 10],[ 9.61538462 15.38461538] ; [5.38461538 8.61538462],0
a6,1,0.348658,0.878336,[38 31] ; [12 15],[35.9375 33.0625] ; [14.0625 12.9375],0
a1,1,0.377539,0.778699,[ 6 63] ; [ 4 23],[ 7.1875 61.8125] ; [ 2.8125 24.1875],0
a5,1,0.384203,0.75721,[40 29] ; [13 14],[38.09375 30.90625] ; [14.90625 12.09375],0
s5,1,0.415359,0.663409,[12 55] ; [ 3 24],[10.69148936 56.30851064] ; [ 4.30851064 22.69148936],0
s3,1,0.451307,0.567367,[27 42] ; [ 8 18],[25.42105263 43.57894737] ; [ 9.57894737 16.42105263],0
b1,1,0.457269,0.55257,[44 25] ; [15 12],[42.40625 26.59375] ; [16.59375 10.40625],0
s4,1,0.517202,0.419469,[14 54] ; [ 4 23],[12.88421053 55.11578947] ; [ 5.11578947 21.88421053],0
p1,1,0.5379,0.379447,[ 5 64] ; [ 3 24],[ 5.75 63.25] ; [ 2.25 24.75],0
b4,1,0.541026,0.373642,[38 31] ; [13 14],[36.65625 32.34375] ; [14.34375 12.65625],0
n5,1,0.670109,0.181474,[35 34] ; [15 12],[35.9375 33.0625] ; [14.0625 12.9375],0
a4,1,0.782404,0.076279,[26 43] ; [ 9 17],[25.42105263 43.57894737] ; [ 9.57894737 16.42105263],0
d2,1,0.786059,0.073676,[34 35] ; [12 14],[33.41052632 35.58947368] ; [12.58947368 13.41052632],0
a8,1,0.853678,0.034014,[ 4 59] ; [ 2 25],[ 4.2 58.8] ; [ 1.8 25.2],0
