Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,4e-06,21.171581,[19 17] ; [84 10],[28.52307692  7.47692308] ; [74.47692308 19.52307692],1
n4,1,0.000203,13.801036,[22 14] ; [84 10],[29.35384615  6.64615385] ; [76.64615385 17.35384615],1
n6,1,0.00023,13.567678,[22 14] ; [83 10],[29.30232558  6.69767442] ; [75.69767442 17.30232558],1
p9,1,0.000862,11.102246,[22 14] ; [82 12],[28.8  7.2] ; [75.2 18.8],1
p11,1,0.006838,7.315001,[24 12] ; [82 12],[29.35384615  6.64615385] ; [76.64615385 17.35384615],0
v1,1,0.007512,7.146378,[13 22] ; [59 34],[19.6875 15.3125] ; [52.3125 40.6875],0
v3,1,0.011898,6.326002,[ 8 25] ; [46 47],[14.14285714 18.85714286] ; [39.85714286 53.14285714],0
b2,1,0.015194,5.893878,[ 4 17] ; [31 32],[ 8.75 12.25] ; [26.25 36.75],0
b3,1,0.015194,5.893878,[ 4 17] ; [31 32],[ 8.75 12.25] ; [26.25 36.75],0
v2,1,0.026594,4.916999,[15 20] ; [60 33],[20.5078125 14.4921875] ; [54.4921875 38.5078125],0
r4,1,0.038059,4.302382,[27  9] ; [84 10],[30.73846154  5.26153846] ; [80.26153846 13.73846154],0
b1,1,0.05151,3.7916,[21 15] ; [37 57],[16.06153846 19.93846154] ; [41.93846154 52.06153846],0
d2,1,0.071009,3.259539,[10 26] ; [42 51],[14.51162791 21.48837209] ; [37.48837209 55.51162791],0
p8,1,0.073133,3.21127,[18 18] ; [63 31],[22.43076923 13.56923077] ; [58.56923077 35.43076923],0
a5,1,0.082022,3.024369,[23 13] ; [74 20],[26.86153846  9.13846154] ; [70.13846154 23.86153846],0
s8,1,0.082111,3.02261,[ 6 30] ; [30 64],[ 9.96923077 26.03076923] ; [26.03076923 67.96923077],0
s5,1,0.107972,2.583658,[ 3 32] ; [19 73],[ 6.06299213 28.93700787] ; [15.93700787 76.06299213],0
r3,1,0.116881,2.458629,[30  6] ; [87  7],[32.4  3.6] ; [84.6  9.4],0
a4,1,0.142495,2.150811,[11 25] ; [42 52],[14.67692308 21.32307692] ; [38.32307692 55.67692308],0
p4,1,0.171104,1.873241,[22 14] ; [69 25],[25.2 10.8] ; [65.8 28.2],0
u1,1,0.209561,1.574458,[ 3 33] ; [16 78],[ 5.26153846 30.73846154] ; [13.73846154 80.26153846],0
a8,1,0.219161,1.50986,[ 2 32] ; [11 68],[ 3.91150442 30.08849558] ; [ 9.08849558 69.91150442],0
d1,1,0.222264,1.489693,[16 20] ; [53 41],[19.10769231 16.89230769] ; [49.89230769 44.10769231],0
a6,1,0.231626,1.430851,[23 13] ; [70 24],[25.75384615 10.24615385] ; [67.24615385 26.75384615],0
n2,1,0.262193,1.257143,[4 3] ; [12  3],[5.09090909 1.90909091] ; [10.90909091  4.09090909],0
p2,1,0.274082,1.196202,[32  4] ; [76 18],[29.90769231  6.09230769] ; [78.09230769 15.90769231],0
p6,1,0.302342,1.063836,[10 24] ; [37 57],[12.484375 21.515625] ; [34.515625 59.484375],0
s1,1,0.311183,1.025648,[ 2 34] ; [ 2 92],[ 1.10769231 34.89230769] ; [ 2.89230769 91.10769231],0
a2,1,0.338879,0.914668,[ 5 31] ; [20 74],[ 6.92307692 29.07692308] ; [18.07692308 75.92307692],0
d5,1,0.353863,0.859555,[26 10] ; [75 19],[27.96923077  8.03076923] ; [73.03076923 20.96923077],0
b5,1,0.357255,0.84752,[22 14] ; [49 45],[19.66153846 16.33846154] ; [51.33846154 42.66153846],0
p5,1,0.36202,0.830875,[ 2 34] ; [10 83],[ 3.34883721 32.65116279] ; [ 8.65116279 84.34883721],0
r1,1,0.40183,0.702843,[25 11] ; [72 22],[26.86153846  9.13846154] ; [70.13846154 23.86153846],0
p7,1,0.40183,0.702843,[25 11] ; [72 22],[26.86153846  9.13846154] ; [70.13846154 23.86153846],0
d3,1,0.426776,0.63158,[26 10] ; [61 33],[24.09230769 11.90769231] ; [62.90769231 31.09230769],0
p12,1,0.536594,0.381889,[ 1 35] ; [ 5 89],[ 1.66153846 34.33846154] ; [ 4.33846154 89.66153846],0
d4,1,0.542963,0.370075,[29  7] ; [71 23],[27.69230769  8.30769231] ; [72.30769231 21.69230769],0
s2,1,0.552415,0.353008,[ 9 27] ; [19 75],[ 7.75384615 28.24615385] ; [20.24615385 73.75384615],0
a3,1,0.592098,0.28708,[23 13] ; [64 29],[24.27906977 11.72093023] ; [62.72093023 30.27906977],0
s3,1,0.673867,0.177112,[11 24] ; [26 68],[10.03875969 24.96124031] ; [26.96124031 67.03875969],0
p1,1,0.680768,0.169263,[ 4 32] ; [13 81],[ 4.70769231 31.29230769] ; [12.29230769 81.70769231],0
a1,1,0.695058,0.153664,[ 1 35] ; [ 4 90],[ 1.38461538 34.61538462] ; [ 3.61538462 90.38461538],0
a7,1,0.698016,0.150544,[26 10] ; [71 23],[26.86153846  9.13846154] ; [70.13846154 23.86153846],0
n3,1,0.746188,0.104762,[6 1] ; [12  3],[5.72727273 1.27272727] ; [12.27272727  2.72727273],0
s7,1,0.810322,0.057605,[10 23] ; [29 60],[10.54918033 22.45081967] ; [28.45081967 60.54918033],0
