Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000719,11.438394,[15  7] ; [13 37],[ 8.55555556 13.44444444] ; [19.44444444 30.55555556],1
p5,1,0.015956,5.807728,[ 4 20] ; [ 1 51],[ 1.57894737 22.42105263] ; [ 3.42105263 48.57894737],0
p10,1,0.01867,5.532166,[19  4] ; [27 23],[14.49315068  8.50684932] ; [31.50684932 18.49315068],0
s5,1,0.019307,5.47351,[ 9 13] ; [ 8 43],[ 5.12328767 16.87671233] ; [11.87671233 39.12328767],0
s3,1,0.027236,4.875819,[15  8] ; [20 33],[10.59210526 12.40789474] ; [24.40789474 28.59210526],0
s6,1,0.044598,4.033785,[17  6] ; [26 27],[13.01315789  9.98684211] ; [29.98684211 23.01315789],0
u1,1,0.050586,3.821921,[ 4 20] ; [ 2 51],[ 1.87012987 22.12987013] ; [ 4.12987013 48.87012987],0
n5,1,0.050664,3.819351,[15  9] ; [20 32],[11.05263158 12.94736842] ; [23.94736842 28.05263158],0
s2,1,0.064798,3.410115,[14 10] ; [19 34],[10.28571429 13.71428571] ; [22.71428571 30.28571429],0
r4,1,0.095394,2.780911,[21  3] ; [37 16],[18.07792208  5.92207792] ; [39.92207792 13.07792208],0
a8,1,0.112477,2.519072,[ 3 17] ; [ 2 47],[ 1.44927536 18.55072464] ; [ 3.55072464 45.44927536],0
a2,1,0.121295,2.400513,[ 1 23] ; [ 9 44],[ 3.11688312 20.88311688] ; [ 6.88311688 46.11688312],0
r2,1,0.149183,2.080585,[21  1] ; [44  9],[19.06666667  2.93333333] ; [45.93333333  7.06666667],0
a4,1,0.187629,1.736134,[ 5 19] ; [19 34],[ 7.48051948 16.51948052] ; [16.51948052 36.48051948],0
v3,1,0.191975,1.702398,[12 11] ; [18 32],[ 9.45205479 13.54794521] ; [20.54794521 29.45205479],0
b1,1,0.212356,1.555289,[15  9] ; [25 28],[12.46753247 11.53246753] ; [27.53246753 25.46753247],0
p2,1,0.267375,1.230167,[19  5] ; [34 17],[16.96  7.04] ; [36.04 14.96],0
n2,1,0.269007,1.221805,[7 1] ; [12  6],[5.84615385 2.15384615] ; [13.15384615  4.84615385],0
s4,1,0.269207,1.220781,[ 5 19] ; [ 6 47],[ 3.42857143 20.57142857] ; [ 7.57142857 45.42857143],0
p11,1,0.376999,0.780464,[17  7] ; [32 21],[15.27272727  8.72727273] ; [33.72727273 19.27272727],0
p7,1,0.394968,0.723592,[15  9] ; [26 24],[13.2972973 10.7027027] ; [27.7027027 22.2972973],0
p12,1,0.400587,0.706564,[ 2 21] ; [ 2 49],[ 1.24324324 21.75675676] ; [ 2.75675676 48.24324324],0
p1,1,0.424477,0.637887,[ 1 23] ; [ 5 48],[ 1.87012987 22.12987013] ; [ 4.12987013 48.87012987],0
n4,1,0.450451,0.569516,[14 10] ; [26 27],[12.46753247 11.53246753] ; [27.53246753 25.46753247],0
v1,1,0.517282,0.419309,[14  9] ; [28 25],[12.71052632 10.28947368] ; [29.28947368 23.71052632],0
a7,1,0.525677,0.402741,[15  9] ; [37 16],[16.20779221  7.79220779] ; [35.79220779 17.20779221],0
p9,1,0.53305,0.388574,[17  6] ; [34 17],[15.85135135  7.14864865] ; [35.14864865 15.85135135],0
a3,1,0.538448,0.378424,[17  7] ; [41 12],[18.07792208  5.92207792] ; [39.92207792 13.07792208],0
b4,1,0.547183,0.362387,[14 10] ; [27 26],[12.77922078 11.22077922] ; [28.22077922 24.77922078],0
s1,1,0.557834,0.343469,[ 1 22] ; [ 1 50],[ 0.62162162 22.37837838] ; [ 1.37837838 49.62162162],0
a1,1,0.560177,0.339397,[ 1 23] ; [ 1 52],[ 0.62337662 23.37662338] ; [ 1.37662338 51.62337662],0
p4,1,0.56574,0.329863,[13 11] ; [24 27],[11.84 12.16] ; [25.16 25.84],0
a5,1,0.640626,0.217925,[18  6] ; [37 16],[17.14285714  6.85714286] ; [37.85714286 15.14285714],0
d4,1,0.684785,0.164789,[19  5] ; [44  9],[19.63636364  4.36363636] ; [43.36363636  9.63636364],0
r1,1,0.691258,0.157727,[19  5] ; [39 13],[18.31578947  5.68421053] ; [39.68421053 12.31578947],0
b5,1,0.722496,0.126114,[13 11] ; [31 22],[13.71428571 10.28571429] ; [30.28571429 22.71428571],0
p6,1,0.743479,0.107093,[ 7 17] ; [12 35],[ 6.42253521 17.57746479] ; [12.57746479 34.42253521],0
p3,1,0.762299,0.091484,[10 14] ; [19 31],[ 9.40540541 14.59459459] ; [19.59459459 30.40540541],0
d5,1,0.76316,0.090802,[21  3] ; [45  8],[20.57142857  3.42857143] ; [45.42857143  7.57142857],0
p8,1,0.793799,0.06832,[10 14] ; [22 27],[10.52054795 13.47945205] ; [21.47945205 27.52054795],0
n1,1,0.807671,0.059259,[2 4] ; [ 7 11],[2.25 3.75] ; [ 6.75 11.25],0
d1,1,0.841891,0.039791,[13 11] ; [30 23],[13.4025974 10.5974026] ; [29.5974026 23.4025974],0
