Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.001918,9.626006,[37 84] ; [27 21],[45.82248521 75.17751479] ; [18.17751479 29.82248521],0
n6,1,0.00312,8.736154,[101  19] ; [29 17],[93.97590361 26.02409639] ; [36.02409639  9.97590361],0
p10,1,0.004703,7.99027,[102  18] ; [30 16],[95.42168675 24.57831325] ; [36.57831325  9.42168675],0
n5,1,0.008822,6.858453,[89 31] ; [25 22],[81.91616766 38.08383234] ; [32.08383234 14.91616766],0
s1,1,0.015783,5.826868,[  5 115] ; [ 7 40],[  8.62275449 111.37724551] ; [ 3.37724551 43.62275449],0
p8,1,0.018477,5.550305,[48 70] ; [10 37],[41.47878788 76.52121212] ; [16.52121212 30.47878788],0
p9,1,0.030895,4.658776,[102  17] ; [32 13],[97.23170732 21.76829268] ; [36.76829268  8.23170732],0
p2,1,0.03403,4.493195,[92 28] ; [29 19],[86.42857143 33.57142857] ; [34.57142857 13.42857143],0
n4,1,0.042651,4.109185,[89 32] ; [27 20],[83.54761905 37.45238095] ; [32.45238095 14.54761905],0
s4,1,0.117133,2.455249,[28 91] ; [17 31],[32.06586826 86.93413174] ; [12.93413174 35.06586826],0
v4,1,0.125536,2.34685,[114   5] ; [43  5],[111.8742515   7.1257485] ; [45.1257485  2.8742515],0
s3,1,0.130562,2.285812,[105  14] ; [38 10],[101.89820359  17.10179641] ; [41.10179641  6.89820359],0
a7,1,0.156896,2.003892,[79 42] ; [36 11],[82.82738095 38.17261905] ; [32.17261905 14.82738095],0
p7,1,0.157611,1.996999,[62 49] ; [20 26],[57.97452229 53.02547771] ; [24.02547771 21.97452229],0
r3,1,0.158886,1.984796,[116   4] ; [43  4],[114.25149701   5.74850299] ; [44.74850299  2.25149701],0
d4,1,0.162034,1.955141,[94 27] ; [41  6],[97.23214286 23.76785714] ; [37.76785714  9.23214286],0
r4,1,0.163075,1.945476,[108  13] ; [39  9],[105.24852071  15.75147929] ; [41.75147929  6.24852071],0
a5,1,0.20513,1.605468,[83 38] ; [28 20],[79.47337278 41.52662722] ; [31.52662722 16.47337278],0
v3,1,0.207897,1.586014,[49 68] ; [14 31],[45.5 71.5] ; [17.5 27.5],0
p6,1,0.218731,1.512675,[25 95] ; [14 33],[28.0239521 91.9760479] ; [10.9760479 36.0239521],0
s7,1,0.276989,1.181807,[71 48] ; [31 14],[74.01219512 44.98780488] ; [27.98780488 17.01219512],0
a8,1,0.327453,0.958943,[22 88] ; [ 6 39],[19.87096774 90.12903226] ; [ 8.12903226 36.87096774],0
d2,1,0.396437,0.719108,[53 68] ; [24 23],[55.45833333 65.54166667] ; [21.54166667 25.45833333],0
v2,1,0.400351,0.707273,[68 46] ; [23 21],[65.65822785 48.34177215] ; [25.34177215 18.65822785],0
b4,1,0.43514,0.609065,[71 50] ; [25 23],[68.73372781 52.26627219] ; [27.26627219 20.73372781],0
r1,1,0.463825,0.536649,[92 29] ; [39  9],[93.79289941 27.20710059] ; [37.20710059 10.79289941],0
s5,1,0.493597,0.468676,[51 67] ; [16 27],[49.10559006 68.89440994] ; [17.89440994 25.10559006],0
b5,1,0.504153,0.446184,[74 47] ; [32 16],[75.89349112 45.10650888] ; [30.10650888 17.89349112],0
