Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000101,15.111111,[ 8 26] ; [24 10],[16. 18.] ; [16. 18.],1
p6,1,0.000508,12.084666,[ 5 28] ; [19 15],[11.82089552 21.17910448] ; [12.17910448 21.82089552],1
d3,1,0.003886,8.336373,[18 16] ; [29  5],[23.5 10.5] ; [23.5 10.5],0
a2,1,0.021152,5.314195,[ 2 32] ; [ 9 25],[ 5.5 28.5] ; [ 5.5 28.5],0
p1,1,0.023642,5.12069,[ 1 32] ; [ 7 26],[ 4. 29.] ; [ 4. 29.],0
b1,1,0.033241,4.533333,[ 6 28] ; [14 20],[10. 24.] ; [10. 24.],0
p7,1,0.050591,3.821748,[14 18] ; [23 11],[17.93939394 14.06060606] ; [19.06060606 14.93939394],0
a4,1,0.082756,3.009937,[10 24] ; [17 17],[13.5 20.5] ; [13.5 20.5],0
d1,1,0.088307,2.904969,[15 19] ; [22 12],[18.5 15.5] ; [18.5 15.5],0
a5,1,0.119874,2.418972,[20 14] ; [26  8],[23. 11.] ; [23. 11.],0
d2,1,0.144913,2.125,[13 21] ; [19 15],[16. 18.] ; [16. 18.],0
s1,1,0.163359,1.942857,[ 1 33] ; [ 4 30],[ 2.5 31.5] ; [ 2.5 31.5],0
p12,1,0.163359,1.942857,[ 1 33] ; [ 4 30],[ 2.5 31.5] ; [ 2.5 31.5],0
r2,1,0.173783,1.850003,[32  1] ; [30  4],[30.53731343  2.46268657] ; [31.46268657  2.53731343],0
v3,1,0.174051,1.847704,[ 7 26] ; [12 21],[ 9.5 23.5] ; [ 9.5 23.5],0
p5,1,0.247431,1.337754,[ 2 31] ; [ 5 29],[ 3.44776119 29.55223881] ; [ 3.55223881 30.44776119],0
p9,1,0.254573,1.298032,[28  5] ; [25  9],[26.10447761  6.89552239] ; [26.89552239  7.10447761],0
v1,1,0.306507,1.045666,[12 20] ; [17 17],[14.06060606 17.93939394] ; [14.93939394 19.06060606],0
u1,1,0.323169,0.976077,[ 4 30] ; [ 7 27],[ 5.5 28.5] ; [ 5.5 28.5],0
s7,1,0.324534,0.970588,[15 19] ; [18 14],[17. 17.] ; [16. 16.],0
s6,1,0.354876,0.855944,[26  8] ; [29  5],[27.5  6.5] ; [27.5  6.5],0
p8,1,0.374873,0.787448,[12 21] ; [16 18],[13.79104478 19.20895522] ; [14.20895522 19.79104478],0
u3,1,0.391153,0.735354,[7 7] ; [8 4],[8.07692308 5.92307692] ; [6.92307692 5.07692308],0
d4,1,0.3925,0.731183,[32  2] ; [30  4],[31.  3.] ; [31.  3.],0
u2,1,0.431401,0.619048,[6 8] ; [7 5],[7. 7.] ; [6. 6.],0
s4,1,0.441915,0.591304,[10 24] ; [13 21],[11.5 22.5] ; [11.5 22.5],0
a8,1,0.496331,0.462774,[ 2 27] ; [ 1 31],[ 1.42622951 27.57377049] ; [ 1.57377049 30.42622951],0
s3,1,0.506924,0.440411,[22 11] ; [20 14],[20.68656716 12.31343284] ; [21.31343284 12.68656716],0
v4,1,0.592021,0.287199,[29  3] ; [32  2],[29.57575758  2.42424242] ; [31.42424242  2.57575758],0
a7,1,0.594525,0.283333,[23 11] ; [25  9],[24. 10.] ; [24. 10.],0
a6,1,0.627626,0.235294,[16 18] ; [18 16],[17. 17.] ; [17. 17.],0
v2,1,0.627626,0.235294,[18 16] ; [16 18],[17. 17.] ; [17. 17.],0
p2,1,0.724815,0.123926,[24  9] ; [26  8],[24.62686567  8.37313433] ; [25.37313433  8.62686567],0
a3,1,0.728667,0.12034,[20 13] ; [22 12],[20.68656716 12.31343284] ; [21.31343284 12.68656716],0
r1,1,0.729385,0.119677,[24 10] ; [22 11],[23.34328358 10.65671642] ; [22.65671642 10.34328358],0
d5,1,0.741912,0.108453,[29  5] ; [28  6],[28.5  5.5] ; [28.5  5.5],0
r4,1,0.741912,0.108453,[28  6] ; [29  5],[28.5  5.5] ; [28.5  5.5],0
n3,1,0.750679,0.100962,[5 3] ; [9 4],[5.33333333 2.66666667] ; [8.66666667 4.33333333],0
n4,1,0.779435,0.078431,[ 9 25] ; [ 8 26],[ 8.5 25.5] ; [ 8.5 25.5],0
b4,1,0.786961,0.07304,[25  9] ; [24 10],[24.5  9.5] ; [24.5  9.5],0
s2,1,0.801422,0.063256,[21 13] ; [22 12],[21.5 12.5] ; [21.5 12.5],0
n2,1,0.805803,0.06044,[6 3] ; [8 5],[5.72727273 3.27272727] ; [8.27272727 4.72727273],0
n6,1,0.936473,0.006353,[24 10] ; [23 10],[23.85074627 10.14925373] ; [23.14925373  9.85074627],0
n1,1,0.936898,0.006268,[4 5] ; [6 7],[4.09090909 4.90909091] ; [5.90909091 7.09090909],0
p10,1,0.945438,0.004684,[25  8] ; [26  8],[25.11940299  7.88059701] ; [25.88059701  8.11940299],0
b2,1,0.959495,0.002579,[ 7 11] ; [ 8 13],[ 6.92307692 11.07692308] ; [ 8.07692308 12.92307692],0
b3,1,0.959495,0.002579,[ 7 11] ; [ 8 13],[ 6.92307692 11.07692308] ; [ 8.07692308 12.92307692],0
s8,1,1.0,0.0,[14 20] ; [14 20],[14. 20.] ; [14. 20.],0
a1,1,1.0,0.0,[ 3 31] ; [ 3 31],[ 3. 31.] ; [ 3. 31.],0
b5,1,1.0,0.0,[18 16] ; [18 16],[18. 16.] ; [18. 16.],0
p11,1,1.0,0.0,[22 12] ; [22 12],[22. 12.] ; [22. 12.],0
r3,1,1.0,0.0,[33  1] ; [33  1],[33.  1.] ; [33.  1.],0
