Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.00128,10.371106,[62 13] ; [6 8],[57.30337079 17.69662921] ; [10.69662921  3.30337079],0
r4,1,0.003824,8.365644,[69  6] ; [9 5],[65.73033708  9.26966292] ; [12.26966292  1.73033708],0
r3,1,0.005694,7.644788,[70  4] ; [10  4],[67.27272727  6.72727273] ; [12.72727273  1.27272727],0
n5,1,0.008418,6.942212,[58 17] ; [6 8],[53.93258427 21.06741573] ; [10.06741573  3.93258427],0
v4,1,0.013503,6.101972,[69  5] ; [10  4],[66.43181818  7.56818182] ; [12.56818182  1.43181818],0
p10,1,0.014983,5.9185,[63 11] ; [8 6],[59.70454545 14.29545455] ; [11.29545455  2.70454545],0
p9,1,0.034951,4.44757,[61 13] ; [8 6],[58.02272727 15.97727273] ; [10.97727273  3.02272727],0
s4,1,0.042792,4.103595,[10 64] ; [5 9],[12.61363636 61.38636364] ; [ 2.38636364 11.61363636],0
s3,1,0.042792,4.103595,[10 64] ; [5 9],[12.61363636 61.38636364] ; [ 2.38636364 11.61363636],0
a6,1,0.060329,3.528324,[47 28] ; [5 9],[43.82022472 31.17977528] ; [8.17977528 5.82022472],0
b1,1,0.07524,3.164838,[29 46] ; [9 5],[32.02247191 42.97752809] ; [5.97752809 8.02247191],0
a5,1,0.086566,2.937109,[59 16] ; [8 6],[56.46067416 18.53932584] ; [10.53932584  3.46067416],0
r1,1,0.107038,2.59742,[66  9] ; [10  4],[64.04494382 10.95505618] ; [11.95505618  2.04494382],0
n4,1,0.113156,2.509578,[58 17] ; [8 6],[55.61797753 19.38202247] ; [10.38202247  3.61797753],0
r2,1,0.131462,2.275158,[68  6] ; [11  3],[66.43181818  7.56818182] ; [12.56818182  1.43181818],0
a1,1,0.220068,1.503928,[ 4 71] ; [ 2 12],[ 5.05617978 69.94382022] ; [ 0.94382022 13.05617978],0
b2,1,0.250234,1.321994,[22 25] ; [2 6],[20.50909091 26.49090909] ; [3.49090909 4.50909091],0
b3,1,0.250234,1.321994,[22 25] ; [2 6],[20.50909091 26.49090909] ; [3.49090909 4.50909091],0
u1,1,0.290346,1.118017,[14 61] ; [ 1 13],[12.64044944 62.35955056] ; [ 2.35955056 11.64044944],0
a2,1,0.290346,1.118017,[14 61] ; [ 1 13],[12.64044944 62.35955056] ; [ 2.35955056 11.64044944],0
n3,1,0.305507,1.05,[11  3] ; [4 3],[10.  4.] ; [5. 2.],0
a8,1,0.327124,0.96025,[12 56] ; [ 1 13],[10.7804878 57.2195122] ; [ 2.2195122 11.7804878],0
p5,1,0.37148,0.798709,[19 56] ; [ 2 12],[17.69662921 57.30337079] ; [ 3.30337079 10.69662921],0
d1,1,0.485849,0.485707,[45 30] ; [7 7],[43.82022472 31.17977528] ; [8.17977528 5.82022472],0
a4,1,0.50548,0.443413,[34 41] ; [5 9],[32.86516854 42.13483146] ; [6.13483146 7.86516854],0
v1,1,0.537043,0.381048,[30 43] ; [7 7],[31.04597701 41.95402299] ; [5.95402299 8.04597701],0
d2,1,0.538464,0.378395,[41 33] ; [9 5],[42.04545455 31.95454545] ; [7.95454545 6.04545455],0
u2,1,0.556812,0.345255,[10 12] ; [3 2],[10.59259259 11.40740741] ; [2.40740741 2.59259259],0
p3,1,0.611691,0.25772,[43 32] ; [7 7],[42.13483146 32.86516854] ; [7.86516854 6.13483146],0
d5,1,0.617569,0.2493,[60 15] ; [12  2],[60.6741573 14.3258427] ; [11.3258427  2.6741573],0
u3,1,0.621705,0.243478,[12 11] ; [2 3],[11.5 11.5] ; [2.5 2.5],0
p7,1,0.633535,0.227298,[53 22] ; [9 5],[52.24719101 22.75280899] ; [9.75280899 4.24719101],0
d4,1,0.634354,0.226202,[62 12] ; [11  3],[61.38636364 12.61363636] ; [11.61363636  2.38636364],0
n1,1,0.647141,0.209524,[7 8] ; [4 3],[7.5 7.5] ; [3.5 3.5],0
a3,1,0.656137,0.19825,[52 22] ; [9 5],[51.29545455 22.70454545] ; [9.70454545 4.29545455],0
p4,1,0.666388,0.185856,[43 31] ; [9 5],[43.72727273 30.27272727] ; [8.27272727 5.72727273],0
v2,1,0.678656,0.171643,[42 33] ; [7 7],[41.29213483 33.70786517] ; [7.70786517 6.29213483],0
n2,1,0.679109,0.171131,[10  6] ; [5 2],[10.43478261  5.56521739] ; [4.56521739 2.43478261],0
b4,1,0.696176,0.152481,[47 28] ; [8 6],[46.34831461 28.65168539] ; [8.65168539 5.34831461],0
s8,1,0.70359,0.144764,[25 49] ; [ 4 10],[24.38636364 49.61363636] ; [4.61363636 9.38636364],0
p6,1,0.718765,0.129679,[25 50] ; [5 8],[25.56818182 49.43181818] ; [4.43181818 8.56818182],0
d3,1,0.763142,0.090816,[45 30] ; [9 5],[45.50561798 29.49438202] ; [8.49438202 5.50561798],0
b5,1,0.768253,0.086825,[29 46] ; [6 8],[29.49438202 45.50561798] ; [5.50561798 8.49438202],0
p8,1,0.78036,0.077757,[40 34] ; [7 7],[39.52272727 34.47727273] ; [7.47727273 6.52272727],0
p2,1,0.809301,0.058239,[61 14] ; [11  3],[60.6741573 14.3258427] ; [11.3258427  2.6741573],0
s7,1,0.835994,0.042857,[23 47] ; [5 9],[23.33333333 46.66666667] ; [4.66666667 9.33333333],0
v3,1,0.855917,0.032969,[25 50] ; [4 9],[24.71590909 50.28409091] ; [4.28409091 8.71590909],0
s6,1,0.863105,0.029729,[48 24] ; [9 5],[47.72093023 24.27906977] ; [9.27906977 4.72093023],0
a7,1,0.871569,0.026136,[44 30] ; [8 6],[43.72727273 30.27272727] ; [8.27272727 5.72727273],0
p1,1,0.970446,0.001373,[11 64] ; [ 2 12],[10.95505618 64.04494382] ; [ 2.04494382 11.95505618],0
