Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.021994,5.246246,[78 24] ; [14 12],[73.3125 28.6875] ; [18.6875  7.3125],0
r1,1,0.053433,3.73031,[95  7] ; [21  5],[92.4375  9.5625] ; [23.5625  2.4375],0
n4,1,0.071803,3.241307,[90 13] ; [19  7],[87.03100775 15.96899225] ; [21.96899225  4.03100775],0
n5,1,0.075506,3.159064,[89 13] ; [19  7],[86.0625 15.9375] ; [21.9375  4.0625],0
p5,1,0.117109,2.455571,[36 66] ; [ 5 21],[32.671875 69.328125] ; [ 8.328125 17.671875],0
p1,1,0.126283,2.337607,[21 81] ; [ 2 24],[18.328125 83.671875] ; [ 4.671875 21.328125],0
p11,1,0.131081,2.279652,[85 18] ; [18  8],[82.24031008 20.75968992] ; [20.75968992  5.24031008],0
b2,1,0.133786,2.248008,[29 28] ; [ 4 10],[26.49295775 30.50704225] ; [6.50704225 7.49295775],0
b3,1,0.133786,2.248008,[29 28] ; [ 4 10],[26.49295775 30.50704225] ; [6.50704225 7.49295775],0
u3,1,0.161125,1.963636,[16  6] ; [2 3],[14.66666667  7.33333333] ; [3.33333333 1.66666667],0
v2,1,0.182788,1.77481,[86 16] ; [19  7],[83.671875 18.328125] ; [21.328125  4.671875],0
p7,1,0.192199,1.70068,[76 24] ; [22  3],[78.4 21.6] ; [19.6  5.4],0
s7,1,0.228543,1.449909,[71 26] ; [22  4],[73.34146341 23.65853659] ; [19.65853659  6.34146341],0
a7,1,0.228592,1.449598,[75 27] ; [16 10],[72.515625 29.484375] ; [18.484375  7.515625],0
u2,1,0.238821,1.38754,[15  7] ; [2 3],[13.85185185  8.14814815] ; [3.14814815 1.85185185],0
d1,1,0.286,1.138357,[68 35] ; [20  6],[70.26356589 32.73643411] ; [17.73643411  8.26356589],0
s8,1,0.300035,1.074037,[67 34] ; [20  6],[69.18897638 31.81102362] ; [17.81102362  8.18897638],0
p12,1,0.338721,0.915265,[20 82] ; [ 3 23],[18.328125 83.671875] ; [ 4.671875 21.328125],0
a1,1,0.338856,0.914753,[10 93] ; [ 1 25],[ 8.78294574 94.21705426] ; [ 2.21705426 23.78294574],0
b4,1,0.349329,0.875894,[61 42] ; [18  8],[63.07751938 39.92248062] ; [15.92248062 10.07751938],0
n2,1,0.364974,0.820707,[16  2] ; [6 2],[15.23076923  2.76923077] ; [6.76923077 1.23076923],0
d3,1,0.392344,0.731664,[74 28] ; [21  5],[75.703125 26.296875] ; [19.296875  6.703125],0
p10,1,0.425925,0.63391,[91 10] ; [22  4],[89.86614173 11.13385827] ; [23.13385827  2.86614173],0
u1,1,0.430768,0.620751,[24 79] ; [ 8 18],[25.5503876 77.4496124] ; [ 6.4496124 19.5503876],0
n1,1,0.431847,0.617851,[ 7 10] ; [2 6],[ 6.12 10.88] ; [2.88 5.12],0
b5,1,0.511037,0.431944,[52 51] ; [15 11],[53.49612403 49.50387597] ; [13.50387597 12.49612403],0
p6,1,0.530182,0.394043,[45 55] ; [13 12],[46.4 53.6] ; [11.6 13.4],0
b1,1,0.565852,0.329672,[42 61] ; [ 9 17],[40.72093023 62.27906977] ; [10.27906977 15.72093023],0
p4,1,0.595225,0.282259,[78 22] ; [19  7],[76.98412698 23.01587302] ; [20.01587302  5.98412698],0
a5,1,0.64821,0.208164,[87 16] ; [21  5],[86.23255814 16.76744186] ; [21.76744186  4.23255814],0
d5,1,0.665784,0.186573,[86 15] ; [23  3],[86.68503937 14.31496063] ; [22.31496063  3.68503937],0
d2,1,0.668905,0.182886,[53 47] ; [15 11],[53.96825397 46.03174603] ; [14.03174603 11.96825397],0
n6,1,0.669282,0.182443,[94  6] ; [25  1],[94.44444444  5.55555556] ; [24.55555556  1.44444444],0
p8,1,0.67168,0.179644,[73 28] ; [17  8],[72.14285714 28.85714286] ; [17.85714286  7.14285714],0
p3,1,0.717332,0.131064,[66 35] ; [16 10],[65.21259843 35.78740157] ; [16.78740157  9.21259843],0
s3,1,0.720503,0.128012,[72 26] ; [20  6],[72.70967742 25.29032258] ; [19.29032258  6.70967742],0
p2,1,0.723322,0.125332,[89 13] ; [22  4],[88.453125 13.546875] ; [22.546875  3.453125],0
d4,1,0.743444,0.107123,[86 14] ; [23  3],[86.50793651 13.49206349] ; [22.49206349  3.50793651],0
p9,1,0.76142,0.092183,[90 10] ; [23  2],[90.4  9.6] ; [22.6  2.4],0
a6,1,0.775514,0.081322,[69 32] ; [17  9],[68.39370079 32.60629921] ; [17.60629921  8.39370079],0
r3,1,0.812851,0.05605,[99  3] ; [25  1],[98.8125  3.1875] ; [25.1875  0.8125],0
a4,1,0.824824,0.048994,[54 49] ; [13 13],[53.49612403 49.50387597] ; [13.50387597 12.49612403],0
s2,1,0.868099,0.02758,[80 22] ; [20  6],[79.6875 22.3125] ; [20.3125  5.6875],0
a2,1,0.869557,0.026969,[30 73] ; [ 8 18],[30.34108527 72.65891473] ; [ 7.65891473 18.34108527],0
a3,1,0.877941,0.023587,[81 21] ; [21  5],[81.28125 20.71875] ; [20.71875  5.28125],0
n3,1,0.943206,0.005075,[14  5] ; [6 2],[14.07407407  4.92592593] ; [5.92592593 2.07407407],0
