Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,78.250708,[216  36] ; [199 187],[163.9184953  88.0815047] ; [251.0815047 134.9184953],1
p4,1,0.0,66.479927,[208  46] ; [197 196],[158.99536321  95.00463679] ; [246.00463679 146.99536321],1
p8,1,0.0,59.836073,[186  67] ; [165 224],[138.32242991 114.67757009] ; [212.67757009 176.32242991],1
p5,1,0.0,32.328576,[ 58 197] ; [ 28 362],[ 34. 221.] ; [ 52. 338.],1
p3,1,0.0,30.979294,[168  86] ; [172 221],[133.47758887 120.52241113] ; [206.52241113 186.47758887],1
s8,1,0.0,25.66647,[151 102] ; [154 238],[119.63565891 133.36434109] ; [185.36434109 206.63565891],1
s7,1,1e-06,23.513587,[158  84] ; [171 206],[128.62358643 113.37641357] ; [200.37641357 176.62358643],1
p9,1,1.7e-05,18.501402,[237  17] ; [317  73],[218.50310559  35.49689441] ; [335.49689441  54.50310559],1
s5,1,1.9e-05,18.250667,[111 131] ; [112 273],[ 86.07017544 155.92982456] ; [136.92982456 248.07017544],1
s2,1,2.5e-05,17.755336,[161  92] ; [182 208],[134.95956454 118.04043546] ; [208.04043546 181.95956454],1
p2,1,5.2e-05,16.385487,[231  24] ; [309  85],[212.17257319  42.82742681] ; [327.82742681  66.17257319],1
s6,1,0.000268,13.284397,[193  54] ; [251 138],[172.43396226  74.56603774] ; [271.56603774 117.43396226],1
v1,1,0.000939,10.943327,[166  86] ; [201 181],[145.87381703 106.12618297] ; [221.12618297 160.87381703],1
p1,1,0.00146,10.128205,[ 36 219] ; [ 26 368],[ 24.3605547 230.6394453] ; [ 37.6394453 356.3605547],0
p12,1,0.005776,7.618944,[ 32 221] ; [ 25 369],[ 22.28902628 230.71097372] ; [ 34.71097372 359.28902628],0
b2,1,0.006189,7.494466,[80 85] ; [ 83 155],[66.7369727 98.2630273] ; [ 96.2630273 141.7369727],0
b3,1,0.006189,7.494466,[80 85] ; [ 83 155],[66.7369727 98.2630273] ; [ 96.2630273 141.7369727],0
p10,1,0.008087,7.014025,[224  29] ; [317  76],[211.87770898  41.12229102] ; [329.12229102  63.87770898],0
s3,1,0.009488,6.728583,[164  88] ; [213 176],[148.21216849 103.78783151] ; [228.78783151 160.21216849],0
n6,1,0.011402,6.401586,[238  15] ; [347  47],[228.75579598  24.24420402] ; [356.24420402  37.75579598],0
d1,1,0.012482,6.241125,[169  86] ; [223 172],[153.78461538 101.21538462] ; [238.21538462 156.78461538],0
n4,1,0.017437,5.651849,[236  19] ; [341  53],[226.71032357  28.28967643] ; [350.28967643  43.71032357],0
r3,1,0.034363,4.476532,[244   9] ; [364  30],[237.7496136  15.2503864] ; [370.2503864  23.7496136],0
d4,1,0.057679,3.602905,[214  39] ; [308  84],[204.75348837  48.24651163] ; [317.24651163  74.75348837],0
d3,1,0.05872,3.57317,[183  70] ; [257 137],[172.05564142  80.94435858] ; [267.94435858 126.05564142],0
v2,1,0.060756,3.516615,[150 100] ; [197 179],[138.57827476 111.42172524] ; [208.42172524 167.57827476],0
a6,1,0.069402,3.297115,[166  87] ; [285 109],[176.35703246  76.64296754] ; [274.64296754 119.35703246],0
u1,1,0.070689,3.26694,[ 60 195] ; [ 70 325],[ 51. 204.] ; [ 79. 316.],0
a1,1,0.086746,2.933754,[ 19 236] ; [ 17 378],[ 14.12307692 240.87692308] ; [ 21.87692308 373.12307692],0
v4,1,0.112414,2.519957,[248   6] ; [375  19],[244.20061728   9.79938272] ; [378.79938272  15.20061728],0
s4,1,0.169296,1.889163,[ 45 204] ; [ 55 337],[ 38.84555382 210.15444618] ; [ 61.15444618 330.84555382],0
a3,1,0.17773,1.816504,[192  61] ; [280 114],[184.56877898  68.43122102] ; [287.43122102 106.56877898],0
p11,1,0.18323,1.77123,[211  44] ; [310  85],[204.39230769  50.60769231] ; [316.60769231  78.39230769],0
r4,1,0.198801,1.651164,[240  15] ; [361  34],[235.77692308  19.22307692] ; [365.22307692  29.77692308],0
v3,1,0.199873,1.643302,[114 134] ; [155 225],[106.22929936 141.77070064] ; [162.77070064 217.22929936],0
a4,1,0.202774,1.622282,[129 125] ; [179 213],[121.10216718 132.89783282] ; [186.89783282 205.10216718],0
u4,1,0.224667,1.474311,[ 10 245] ; [  9 386],[  7.45384615 247.54615385] ; [ 11.54615385 383.45384615],0
n1,1,0.388891,0.742407,[22 21] ; [42 55],[19.65714286 23.34285714] ; [44.34285714 52.65714286],0
b5,1,0.393036,0.729529,[147 108] ; [241 154],[152.21538462 102.78461538] ; [235.78461538 159.21538462],0
r1,1,0.453646,0.561527,[214  41] ; [320  72],[210.46367852  44.53632148] ; [323.53632148  68.46367852],0
d2,1,0.492247,0.471611,[135 119] ; [197 194],[130.74108527 123.25891473] ; [201.25891473 189.74108527],0
u3,1,0.536203,0.382622,[37 26] ; [62 53],[35.03932584 27.96067416] ; [63.96067416 51.03932584],0
d5,1,0.544425,0.367399,[209  44] ; [318  76],[206.07573416  46.92426584] ; [320.92426584  73.07573416],0
b1,1,0.557322,0.344363,[104 151] ; [152 243],[100.43076923 154.56923077] ; [155.56923077 239.43076923],0
b4,1,0.639043,0.219996,[150 105] ; [225 170],[147.11538462 107.88461538] ; [227.88461538 167.11538462],0
u2,1,0.653622,0.201364,[34 29] ; [57 56],[32.57386364 30.42613636] ; [58.42613636 54.57386364],0
a5,1,0.656899,0.197312,[195  60] ; [296  99],[192.62307692  62.37692308] ; [298.37692308  96.62307692],0
s1,1,0.744319,0.106367,[  9 243] ; [ 12 375],[  8.28169014 243.71830986] ; [ 12.71830986 374.28169014],0
a7,1,0.75694,0.095791,[184  70] ; [281 113],[182.26851852  71.73148148] ; [282.73148148 111.26851852],0
n3,1,0.773765,0.08263,[31 12] ; [69 30],[30.28169014 12.71830986] ; [69.71830986 29.28169014],0
a8,1,0.879552,0.022963,[ 35 192] ; [ 54 307],[ 34.35884354 192.64115646] ; [ 54.64115646 306.35884354],0
n2,1,0.922966,0.009351,[34 10] ; [78 22],[34.22222222  9.77777778] ; [77.77777778 22.22222222],0
a2,1,0.93079,0.007543,[ 67 188] ; [105 290],[ 67.47692308 187.52307692] ; [104.52307692 290.47692308],0
