Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000191,13.917709,[15 48] ; [16  8],[22.44827586 40.55172414] ; [ 8.55172414 15.44827586],1
p7,1,0.000718,11.440926,[17 45] ; [15  7],[23.61904762 38.38095238] ; [ 8.38095238 13.61904762],1
p11,1,0.000755,11.347953,[28 35] ; [21  4],[35.07954545 27.92045455] ; [13.92045455 11.07954545],1
p5,1,0.002176,9.394761,[ 3 59] ; [ 7 18],[ 7.12643678 54.87356322] ; [ 2.87356322 22.12643678],0
p3,1,0.002533,9.116687,[14 48] ; [14 11],[19.95402299 42.04597701] ; [ 8.04597701 16.95402299],0
r3,1,0.009547,6.717574,[28 32] ; [18  5],[33.25301205 26.74698795] ; [12.74698795 10.25301205],0
v4,1,0.013048,6.162656,[31 31] ; [17  4],[35.85542169 26.14457831] ; [12.14457831  8.85542169],0
p10,1,0.013542,6.096915,[29 33] ; [17  5],[33.95238095 28.04761905] ; [12.04761905  9.95238095],0
p2,1,0.031606,4.619751,[31 30] ; [19  6],[35.46511628 25.53488372] ; [14.53488372 10.46511628],0
p9,1,0.039356,4.245433,[33 27] ; [19  5],[37.14285714 22.85714286] ; [14.85714286  9.14285714],0
n6,1,0.042565,4.112604,[36 25] ; [19  4],[39.94047619 21.05952381] ; [15.05952381  7.94047619],0
s8,1,0.072232,3.231563,[12 51] ; [ 9 15],[15.20689655 47.79310345] ; [ 5.79310345 18.20689655],0
p12,1,0.123247,2.375567,[ 1 62] ; [ 2 22],[ 2.17241379 60.82758621] ; [ 0.82758621 23.17241379],0
a2,1,0.124362,2.361509,[ 7 56] ; [ 6 19],[ 9.30681818 53.69318182] ; [ 3.69318182 21.30681818],0
b2,1,0.128517,2.310321,[18 24] ; [ 4 14],[15.4 26.6] ; [ 6.6 11.4],0
b3,1,0.128517,2.310321,[18 24] ; [ 4 14],[15.4 26.6] ; [ 6.6 11.4],0
n2,1,0.161617,1.959029,[17 11] ; [10  2],[18.9  9.1] ; [8.1 3.9],0
u3,1,0.217044,1.52381,[ 4 20] ; [3 5],[ 5.25 18.75] ; [1.75 6.25],0
s1,1,0.224423,1.475865,[ 3 60] ; [ 3 22],[ 4.29545455 58.70454545] ; [ 1.70454545 23.29545455],0
b4,1,0.233387,1.420098,[39 24] ; [12 13],[36.51136364 26.48863636] ; [14.48863636 10.51136364],0
a7,1,0.233589,1.41887,[26 36] ; [14 11],[28.50574713 33.49425287] ; [11.49425287 13.50574713],0
v1,1,0.245077,1.351152,[18 42] ; [10 13],[20.24096386 39.75903614] ; [ 7.75903614 15.24096386],0
a6,1,0.322412,0.979137,[33 30] ; [16  9],[35.07954545 27.92045455] ; [13.92045455 11.07954545],0
v2,1,0.327187,0.96,[23 37] ; [12 12],[25. 35.] ; [10. 14.],0
s7,1,0.334772,0.93035,[21 37] ; [11 12],[22.91358025 35.08641975] ; [ 9.08641975 13.91358025],0
p6,1,0.344244,0.894561,[12 49] ; [ 7 17],[13.63529412 47.36470588] ; [ 5.36470588 18.63529412],0
b5,1,0.360606,0.835782,[31 32] ; [15 10],[32.93181818 30.06818182] ; [13.06818182 11.93181818],0
n1,1,0.442631,0.589453,[13 15] ; [4 8],[11.9 16.1] ; [5.1 6.9],0
s4,1,0.45758,0.551807,[ 9 54] ; [ 5 19],[10.13793103 52.86206897] ; [ 3.86206897 20.13793103],0
d4,1,0.502795,0.449032,[40 22] ; [18  7],[41.33333333 20.66666667] ; [16.66666667  8.33333333],0
p1,1,0.531716,0.391111,[ 7 56] ; [ 4 21],[ 7.875 55.125] ; [ 3.125 21.875],0
u1,1,0.549849,0.357587,[ 5 58] ; [ 3 22],[ 5.72727273 57.27272727] ; [ 2.27272727 22.72727273],0
r1,1,0.613007,0.255819,[20 43] ; [ 6 17],[19.04651163 43.95348837] ; [ 6.95348837 16.04651163],0
s3,1,0.617913,0.248812,[24 38] ; [ 9 11],[24.95121951 37.04878049] ; [ 8.04878049 11.95121951],0
s6,1,0.635795,0.224284,[25 38] ; [10 12],[25.94117647 37.05882353] ; [ 9.05882353 12.94117647],0
a1,1,0.644244,0.213234,[10 53] ; [ 3 22],[ 9.30681818 53.69318182] ; [ 3.69318182 21.30681818],0
u2,1,0.675014,0.175793,[ 8 14] ; [4 5],[ 8.51612903 13.48387097] ; [3.48387097 5.51612903],0
r2,1,0.675186,0.175595,[35 23] ; [11  9],[34.20512821 23.79487179] ; [11.79487179  8.20512821],0
s2,1,0.691569,0.157392,[20 43] ; [ 8 14],[20.75294118 42.24705882] ; [ 7.24705882 14.75294118],0
b1,1,0.710806,0.137474,[33 30] ; [12 13],[32.21590909 30.78409091] ; [12.78409091 12.21590909],0
v3,1,0.721561,0.127002,[16 47] ; [ 7 17],[16.65517241 46.34482759] ; [ 6.34482759 17.65517241],0
a5,1,0.749,0.102373,[38 25] ; [16  9],[38.65909091 24.34090909] ; [15.34090909  9.65909091],0
