Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,7e-05,15.811765,[ 7 27] ; [21  9],[14.875 19.125] ; [13.125 16.875],1
r3,1,0.005081,7.850242,[28  7] ; [14 16],[22.61538462 12.38461538] ; [19.38461538 10.61538462],0
p4,1,0.01081,6.496342,[11 23] ; [ 2 28],[ 6.90625 27.09375] ; [ 6.09375 23.90625],0
p8,1,0.01081,6.496342,[11 23] ; [ 2 28],[ 6.90625 27.09375] ; [ 6.09375 23.90625],0
a8,1,0.012243,6.275324,[ 1 34] ; [ 7 23],[ 4.30769231 30.69230769] ; [ 3.69230769 26.30769231],0
v4,1,0.022507,5.20619,[26  9] ; [14 16],[21.53846154 13.46153846] ; [18.46153846 11.53846154],0
p10,1,0.03513,4.438826,[17 17] ; [ 7 22],[12.95238095 21.04761905] ; [11.04761905 17.95238095],0
b5,1,0.05491,3.684807,[20 15] ; [10 20],[16.15384615 18.84615385] ; [13.84615385 16.15384615],0
r4,1,0.060677,3.518782,[21 14] ; [11 19],[17.23076923 17.76923077] ; [14.76923077 15.23076923],0
u3,1,0.09769,2.742857,[9 5] ; [3 7],[7. 7.] ; [5. 5.],0
u2,1,0.123639,2.370612,[10  4] ; [4 6],[8.16666667 5.83333333] ; [5.83333333 4.16666667],0
b3,1,0.159729,1.976786,[ 6 15] ; [10 10],[ 8.19512195 12.80487805] ; [ 7.80487805 12.19512195],0
b2,1,0.159729,1.976786,[ 6 15] ; [10 10],[ 8.19512195 12.80487805] ; [ 7.80487805 12.19512195],0
a1,1,0.183542,1.768707,[ 3 32] ; [ 6 24],[ 4.84615385 30.15384615] ; [ 4.15384615 25.84615385],0
d4,1,0.183964,1.765308,[26  9] ; [17 12],[23.515625 11.484375] ; [19.484375  9.515625],0
s1,1,0.217271,1.522308,[ 6 29] ; [ 2 27],[ 4.375 30.625] ; [ 3.625 25.375],0
n3,1,0.226942,1.459926,[11  6] ; [7 9],[9.27272727 7.72727273] ; [8.72727273 7.27272727],0
d5,1,0.270375,1.214844,[24 11] ; [16 13],[21.875 13.125] ; [18.125 10.875],0
r2,1,0.286808,1.134546,[25 10] ; [24  5],[26.796875  8.203125] ; [22.203125  6.796875],0
p6,1,0.325578,0.966405,[ 5 29] ; [ 2 27],[ 3.77777778 30.22222222] ; [ 3.22222222 25.77777778],0
p7,1,0.337268,0.920789,[11 23] ; [ 6 22],[ 9.32258065 24.67741935] ; [ 7.67741935 20.32258065],0
p11,1,0.367926,0.810658,[13 22] ; [ 8 22],[11.30769231 23.69230769] ; [ 9.69230769 20.30769231],0
p3,1,0.377544,0.778683,[ 5 29] ; [ 7 23],[ 6.375 27.625] ; [ 5.625 24.375],0
b4,1,0.37859,0.775275,[19 16] ; [13 17],[17.23076923 17.76923077] ; [14.76923077 15.23076923],0
v2,1,0.381233,0.766721,[13 18] ; [ 9 20],[11.36666667 19.63333333] ; [10.63333333 18.36666667],0
s7,1,0.40599,0.690513,[ 6 25] ; [ 8 20],[ 7.3559322 23.6440678] ; [ 6.6440678 21.3559322],0
n2,1,0.407434,0.686275,[9 8] ; [12  6],[10.2  6.8] ; [10.8  7.2],0
a3,1,0.456804,0.553713,[21 14] ; [20  9],[22.421875 12.578125] ; [18.578125 10.421875],0
n1,1,0.491967,0.472222,[7 9] ; [10  8],[8. 8.] ; [9. 9.],0
s4,1,0.536969,0.381187,[ 3 32] ; [ 4 26],[ 3.76923077 31.23076923] ; [ 3.23076923 26.76923077],0
s2,1,0.544047,0.368091,[13 22] ; [ 9 21],[11.84615385 23.15384615] ; [10.15384615 19.84615385],0
v3,1,0.550097,0.357143,[ 7 25] ; [ 8 20],[ 8. 24.] ; [ 7. 21.],0
s6,1,0.619287,0.246871,[11 23] ; [ 8 22],[10.09375 23.90625] ; [ 8.90625 21.09375],0
d3,1,0.632007,0.22935,[16 19] ; [15 14],[16.953125 18.046875] ; [14.046875 14.953125],0
s8,1,0.671299,0.180087,[ 6 29] ; [ 4 26],[ 5.38461538 29.61538462] ; [ 4.61538462 25.38461538],0
a2,1,0.790833,0.070346,[ 5 30] ; [ 5 25],[ 5.38461538 29.61538462] ; [ 4.61538462 25.38461538],0
a6,1,0.801732,0.063054,[17 18] ; [15 14],[17.5 17.5] ; [14.5 14.5],0
r1,1,0.815739,0.054302,[20 15] ; [18 12],[20.46153846 14.53846154] ; [17.53846154 12.46153846],0
d1,1,0.815739,0.054302,[15 20] ; [12 18],[14.53846154 20.46153846] ; [12.46153846 17.53846154],0
s5,1,0.8298,0.046207,[ 4 28] ; [ 3 25],[ 3.73333333 28.26666667] ; [ 3.26666667 24.73333333],0
s3,1,0.838023,0.041789,[16 19] ; [14 15],[16.40625 18.59375] ; [13.59375 15.40625],0
p1,1,0.853056,0.034307,[ 4 31] ; [ 3 27],[ 3.76923077 31.23076923] ; [ 3.23076923 26.76923077],0
p9,1,0.859431,0.031364,[16 18] ; [13 16],[15.65079365 18.34920635] ; [13.34920635 15.65079365],0
a7,1,0.878181,0.023493,[18 17] ; [16 14],[18.30769231 16.69230769] ; [15.69230769 14.30769231],0
v1,1,0.900996,0.015476,[11 24] ; [ 9 21],[10.76923077 24.23076923] ; [ 9.23076923 20.76923077],0
u1,1,0.911753,0.012283,[ 1 34] ; [ 1 29],[ 1.07692308 33.92307692] ; [ 0.92307692 29.07692308],0
b1,1,0.938796,0.005896,[19 16] ; [16 14],[18.84615385 16.15384615] ; [16.15384615 13.84615385],0
d2,1,0.943449,0.005032,[16 19] ; [13 16],[15.859375 19.140625] ; [13.140625 15.859375],0
a4,1,0.969169,0.001494,[15 20] ; [13 17],[15.07692308 19.92307692] ; [12.92307692 17.07692308],0
a5,1,1.0,0.0,[21 14] ; [18 12],[21. 14.] ; [18. 12.],0
