Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000122,14.758401,[ 3 19] ; [38 24],[10.73809524 11.26190476] ; [30.26190476 31.73809524],1
v4,1,0.001166,10.543809,[13  9] ; [55  6],[18.02409639  3.97590361] ; [49.97590361 11.02409639],0
p10,1,0.013592,6.090315,[ 8 14] ; [40 20],[12.87804878  9.12195122] ; [35.12195122 24.87804878],0
u3,1,0.027258,4.874416,[ 3 10] ; [19 13],[6.35555556 6.64444444] ; [15.64444444 16.35555556],0
p9,1,0.031444,4.628571,[10 11] ; [44 16],[14.  7.] ; [40. 20.],0
s8,1,0.059204,3.559531,[ 2 20] ; [18 44],[ 5.23809524 16.76190476] ; [14.76190476 47.23809524],0
s4,1,0.071086,3.257771,[ 3 19] ; [21 41],[ 6.28571429 15.71428571] ; [17.71428571 44.28571429],0
n2,1,0.074919,3.171812,[5 7] ; [18  7],[7.45945946 4.54054054] ; [15.54054054  9.45945946],0
r3,1,0.075809,3.152536,[15  7] ; [53  9],[17.80952381  4.19047619] ; [50.19047619 11.80952381],0
b1,1,0.079959,3.065742,[14  8] ; [26 36],[10.47619048 11.52380952] ; [29.52380952 32.47619048],0
n6,1,0.088037,2.909906,[10 12] ; [41 21],[13.35714286  8.64285714] ; [37.64285714 24.35714286],0
d5,1,0.098322,2.732557,[10 12] ; [40 21],[13.25301205  8.74698795] ; [36.74698795 24.25301205],0
a8,1,0.116947,2.457746,[ 2 20] ; [ 1 58],[ 0.81481481 21.18518519] ; [ 2.18518519 56.81481481],0
b4,1,0.128636,2.308891,[ 9 13] ; [37 25],[12.04761905  9.95238095] ; [33.95238095 28.04761905],0
s2,1,0.141947,2.156729,[ 6 16] ; [28 34],[ 8.9047619 13.0952381] ; [25.0952381 36.9047619],0
p2,1,0.152475,2.047314,[11 11] ; [41 20],[13.78313253  8.21686747] ; [38.21686747 22.78313253],0
s7,1,0.158854,1.985103,[ 3 17] ; [19 42],[ 5.43209877 14.56790123] ; [16.56790123 44.43209877],0
s3,1,0.179305,1.803378,[ 6 16] ; [27 35],[ 8.64285714 13.35714286] ; [24.35714286 37.64285714],0
p7,1,0.194911,1.6801,[ 8 14] ; [31 28],[10.59259259 11.40740741] ; [28.40740741 30.59259259],0
v2,1,0.244077,1.356891,[ 4 18] ; [19 42],[ 6.09638554 15.90361446] ; [16.90361446 44.09638554],0
p5,1,0.251838,1.313077,[ 2 19] ; [ 2 59],[ 1.02439024 19.97560976] ; [ 2.97560976 58.02439024],0
b3,1,0.25493,1.296083,[ 3 11] ; [12 19],[4.66666667 9.33333333] ; [10.33333333 20.66666667],0
b2,1,0.25493,1.296083,[ 3 11] ; [12 19],[4.66666667 9.33333333] ; [10.33333333 20.66666667],0
s1,1,0.267082,1.231672,[ 2 20] ; [ 2 60],[ 1.04761905 20.95238095] ; [ 2.95238095 59.04761905],0
n1,1,0.292584,1.107692,[ 2 10] ; [ 8 16],[3.33333333 8.66666667] ; [ 6.66666667 17.33333333],0
s5,1,0.302127,1.064781,[ 4 18] ; [18 43],[ 5.8313253 16.1686747] ; [16.1686747 44.8313253],0
p3,1,0.32366,0.974098,[ 5 16] ; [22 40],[ 6.8313253 14.1686747] ; [20.1686747 41.8313253],0
p11,1,0.356096,0.851613,[11 11] ; [38 24],[12.83333333  9.16666667] ; [36.16666667 25.83333333],0
s6,1,0.365879,0.817614,[ 8 14] ; [29 32],[ 9.80722892 12.19277108] ; [27.19277108 33.80722892],0
p6,1,0.370261,0.802789,[ 4 17] ; [18 44],[ 5.56626506 15.43373494] ; [16.43373494 45.56626506],0
a7,1,0.385586,0.752815,[11 11] ; [37 24],[12.72289157  9.27710843] ; [35.27710843 25.72289157],0
u2,1,0.418527,0.654447,[7 6] ; [13 19],[5.77777778 7.22222222] ; [14.22222222 17.77777778],0
a2,1,0.468939,0.524474,[ 2 20] ; [ 3 59],[ 1.30952381 20.69047619] ; [ 3.69047619 58.30952381],0
a1,1,0.468939,0.524474,[ 2 20] ; [ 3 59],[ 1.30952381 20.69047619] ; [ 3.69047619 58.30952381],0
a3,1,0.505163,0.444073,[ 9 13] ; [30 31],[10.3373494 11.6626506] ; [28.6626506 32.3373494],0
a5,1,0.512726,0.4285,[11 11] ; [26 36],[ 9.69047619 12.30952381] ; [27.30952381 34.69047619],0
a6,1,0.530995,0.392486,[12 10] ; [29 33],[10.73809524 11.26190476] ; [30.26190476 31.73809524],0
v1,1,0.552292,0.353226,[ 8 14] ; [18 43],[ 6.89156627 15.10843373] ; [19.10843373 41.89156627],0
d1,1,0.56914,0.324124,[ 6 16] ; [21 41],[ 7.07142857 14.92857143] ; [19.92857143 42.07142857],0
b5,1,0.579766,0.306614,[12 10] ; [38 24],[13.0952381  8.9047619] ; [36.9047619 25.0952381],0
p8,1,0.624165,0.240057,[ 7 14] ; [24 37],[ 7.93902439 13.06097561] ; [23.06097561 37.93902439],0
n5,1,0.650513,0.205254,[ 9 13] ; [22 40],[ 8.11904762 13.88095238] ; [22.88095238 39.11904762],0
d2,1,0.657098,0.197067,[ 7 15] ; [23 39],[ 7.85714286 14.14285714] ; [22.14285714 39.85714286],0
n3,1,0.73173,0.117529,[6 6] ; [14 11],[6.48648649 5.51351351] ; [13.51351351 11.48648649],0
v3,1,0.85534,0.033237,[ 3 19] ; [ 9 50],[ 3.25925926 18.74074074] ; [ 8.74074074 50.25925926],0
p4,1,0.855996,0.032932,[ 9 13] ; [24 38],[ 8.64285714 13.35714286] ; [24.35714286 37.64285714],0
p1,1,0.897052,0.016741,[ 2 20] ; [ 5 56],[ 1.85542169 20.14457831] ; [ 5.14457831 55.85542169],0
d3,1,0.922308,0.009511,[12 10] ; [32 28],[11.80487805 10.19512195] ; [32.19512195 27.80487805],0
d4,1,0.951182,0.003748,[14  8] ; [39 23],[13.88095238  8.11904762] ; [39.11904762 22.88095238],0
a4,1,0.988732,0.000199,[ 5 17] ; [14 48],[ 4.97619048 17.02380952] ; [14.02380952 47.97619048],0
