Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.034682,4.460783,[13  8] ; [10 21],[ 9.28846154 11.71153846] ; [13.71153846 17.28846154],0
s2,1,0.057605,3.605024,[12  8] ; [11 22],[ 8.67924528 11.32075472] ; [14.32075472 18.67924528],0
s4,1,0.058366,3.583231,[ 5 16] ; [ 2 31],[ 2.72222222 18.27777778] ; [ 4.27777778 28.72222222],0
v1,1,0.060871,3.513484,[15  7] ; [14 19],[11.6 10.4] ; [17.4 15.6],0
p2,1,0.097254,2.75,[15  7] ; [15 18],[12. 10.] ; [18. 15.],0
b1,1,0.097254,2.75,[15  7] ; [15 18],[12. 10.] ; [18. 15.],0
s3,1,0.106539,2.604824,[13  8] ; [13 20],[10.11111111 10.88888889] ; [15.88888889 17.11111111],0
n6,1,0.129403,2.299652,[14  8] ; [27  6],[16.4  5.6] ; [24.6  8.4],0
n5,1,0.140754,2.169701,[11 11] ; [23 10],[13.6  8.4] ; [20.4 12.6],0
p4,1,0.143037,2.144979,[13  9] ; [12 19],[10.37735849 11.62264151] ; [14.62264151 16.37735849],0
r2,1,0.147283,2.10017,[19  3] ; [31  1],[20.37037037  1.62962963] ; [29.62962963  2.37037037],0
u1,1,0.216446,1.527778,[ 1 21] ; [ 5 28],[ 2.4 19.6] ; [ 3.6 29.4],0
a5,1,0.219594,1.50702,[15  7] ; [17 16],[12.8  9.2] ; [19.2 13.8],0
d3,1,0.252481,1.309524,[12 10] ; [23 10],[14.  8.] ; [21. 12.],0
n1,1,0.280087,1.166667,[4 2] ; [3 5],[3. 3.] ; [4. 4.],0
p8,1,0.291027,1.114865,[ 9 13] ; [ 9 24],[ 7.2 14.8] ; [10.8 22.2],0
s7,1,0.318924,0.993354,[9 9] ; [11 20],[ 7.34693878 10.65306122] ; [12.65306122 18.34693878],0
r1,1,0.335375,0.92803,[19  3] ; [25  8],[17.6  4.4] ; [26.4  6.6],0
p5,1,0.338352,0.916667,[ 3 19] ; [ 2 31],[ 2. 20.] ; [ 3. 30.],0
s1,1,0.357525,0.846568,[ 3 19] ; [ 2 30],[ 2.03703704 19.96296296] ; [ 2.96296296 29.03703704],0
a3,1,0.364695,0.821662,[12 10] ; [22 11],[13.6  8.4] ; [20.4 12.6],0
d2,1,0.377365,0.779268,[ 9 13] ; [17 15],[10.59259259 11.40740741] ; [15.40740741 16.59259259],0
a4,1,0.417736,0.656676,[ 9 13] ; [10 23],[ 7.6 14.4] ; [11.4 21.6],0
s6,1,0.453842,0.561039,[13  8] ; [17 16],[11.66666667  9.33333333] ; [18.33333333 14.66666667],0
a7,1,0.465199,0.533356,[13  9] ; [22 10],[14.25925926  7.74074074] ; [20.74074074 11.25925926],0
u3,1,0.466394,0.530507,[7 3] ; [6 5],[6.19047619 3.80952381] ; [6.80952381 4.19047619],0
b4,1,0.474777,0.510836,[14  8] ; [24  9],[15.2  6.8] ; [22.8 10.2],0
a2,1,0.47546,0.509259,[ 3 19] ; [ 7 26],[ 4. 18.] ; [ 6. 27.],0
d1,1,0.50311,0.44837,[ 8 14] ; [15 18],[ 9.2 12.8] ; [13.8 19.2],0
a8,1,0.597525,0.278746,[ 2 16] ; [ 5 25],[ 2.625 15.375] ; [ 4.375 25.625],0
b3,1,0.642067,0.216049,[ 4 11] ; [ 4 16],[ 3.42857143 11.57142857] ; [ 4.57142857 15.42857143],0
b2,1,0.642067,0.216049,[ 4 11] ; [ 4 16],[ 3.42857143 11.57142857] ; [ 4.57142857 15.42857143],0
u2,1,0.653095,0.20202,[4 5] ; [6 5],[4.5 4.5] ; [5.5 5.5],0
d5,1,0.71615,0.132212,[15  7] ; [24  9],[15.6  6.4] ; [23.4  9.6],0
b5,1,0.728369,0.120614,[15  7] ; [21 12],[14.4  7.6] ; [21.6 11.4],0
p10,1,0.753143,0.098908,[ 6 16] ; [10 22],[ 6.51851852 15.48148148] ; [ 9.48148148 22.51851852],0
p6,1,0.76414,0.090029,[ 3 17] ; [ 4 29],[ 2.64150943 17.35849057] ; [ 4.35849057 28.64150943],0
n4,1,0.783131,0.075758,[18  4] ; [26  7],[17.6  4.4] ; [26.4  6.6],0
r4,1,0.783131,0.075758,[18  4] ; [26  7],[17.6  4.4] ; [26.4  6.6],0
a1,1,0.808466,0.058761,[ 1 21] ; [ 2 31],[ 1.2 20.8] ; [ 1.8 31.2],0
s8,1,0.815191,0.054632,[ 7 14] ; [10 23],[ 6.61111111 14.38888889] ; [10.38888889 22.61111111],0
r3,1,0.839821,0.040854,[19  3] ; [27  5],[18.74074074  3.25925926] ; [27.25925926  4.74074074],0
d4,1,0.847789,0.036841,[17  5] ; [24  8],[16.7037037  5.2962963] ; [24.2962963  7.7037037],0
n2,1,0.868645,0.02735,[5 1] ; [8 2],[4.875 1.125] ; [8.125 1.875],0
v4,1,0.868809,0.027282,[19  3] ; [29  4],[19.2  2.8] ; [28.8  4.2],0
s5,1,0.869264,0.027091,[ 5 16] ; [ 7 25],[ 4.75471698 16.24528302] ; [ 7.24528302 24.75471698],0
a6,1,0.910533,0.012626,[13  9] ; [20 13],[13.2  8.8] ; [19.8 13.2],0
p11,1,0.912319,0.012125,[11 11] ; [16 17],[10.8 11.2] ; [16.2 16.8],0
v2,1,0.92397,0.009108,[13  8] ; [20 13],[12.83333333  8.16666667] ; [20.16666667 12.83333333],0
