Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,23.940262,[24 35] ; [120  38],[39.15207373 19.84792627] ; [104.84792627  53.15207373],1
a6,1,2.2e-05,18.042464,[22 37] ; [109  49],[35.61751152 23.38248848] ; [95.38248848 62.61751152],1
d5,1,6.7e-05,15.901751,[32 27] ; [128  30],[43.50230415 15.49769585] ; [116.49769585  41.50230415],1
p10,1,0.000777,11.29524,[24 35] ; [101  52],[34.78773585 24.21226415] ; [90.21226415 62.78773585],1
p2,1,0.000878,11.068485,[35 24] ; [126  29],[44.38785047 14.61214953] ; [116.61214953  38.38785047],1
d1,1,0.00128,10.371341,[18 41] ; [87 71],[28.5483871 30.4516129] ; [76.4516129 81.5483871],0
d4,1,0.002209,9.366844,[40 19] ; [136  22],[47.85253456 11.14746544] ; [128.14746544  29.85253456],0
p9,1,0.009865,6.659074,[32 27] ; [112  42],[39.88732394 19.11267606] ; [104.11267606  49.88732394],0
a2,1,0.01417,6.016838,[ 3 56] ; [ 29 129],[ 8.70046083 50.29953917] ; [ 23.29953917 134.70046083],0
u1,1,0.024531,5.056718,[ 1 58] ; [ 18 140],[ 5.16589862 53.83410138] ; [ 13.83410138 144.16589862],0
u3,1,0.027656,4.849384,[ 9 17] ; [34 22],[13.63414634 12.36585366] ; [29.36585366 26.63414634],0
r3,1,0.055116,3.678575,[51  8] ; [149   9],[54.37788018  4.62211982] ; [145.62211982  12.37788018],0
v4,1,0.068174,3.326436,[49 10] ; [143  13],[52.68837209  6.31162791] ; [139.31162791  16.68837209],0
r4,1,0.072943,3.215517,[42 17] ; [130  28],[46.76497696 12.23502304] ; [125.23502304  32.76497696],0
b1,1,0.105944,2.6137,[28 31] ; [ 56 102],[22.83870968 36.16129032] ; [61.16129032 96.83870968],0
n2,1,0.112694,2.516031,[15  4] ; [28 20],[12.19402985  6.80597015] ; [30.80597015 17.19402985],0
b3,1,0.145917,2.114422,[14 21] ; [22 61],[10.6779661 24.3220339] ; [25.3220339 57.6779661],0
b2,1,0.145917,2.114422,[14 21] ; [22 61],[10.6779661 24.3220339] ; [25.3220339 57.6779661],0
a1,1,0.162283,1.952827,[ 5 54] ; [  6 152],[ 2.99078341 56.00921659] ; [  8.00921659 149.99078341],0
v3,1,0.162683,1.949112,[10 43] ; [ 43 107],[13.83743842 39.16256158] ; [ 39.16256158 110.83743842],0
s6,1,0.164606,1.931393,[23 35] ; [79 78],[27.51627907 30.48372093] ; [74.48372093 82.51627907],0
p5,1,0.167613,1.904163,[ 1 57] ; [ 10 146],[ 2.98130841 55.01869159] ; [  8.01869159 147.98130841],0
a5,1,0.192418,1.699007,[32 27] ; [101  57],[36.16129032 22.83870968] ; [96.83870968 61.16129032],0
p6,1,0.210002,1.571415,[ 9 47] ; [ 37 116],[12.32535885 43.67464115] ; [ 33.67464115 119.32535885],0
n6,1,0.237086,1.397835,[32 27] ; [99 58],[35.78240741 23.21759259] ; [95.21759259 61.78240741],0
r2,1,0.24596,1.346104,[49 10] ; [137  17],[51.52112676  7.47887324] ; [134.47887324  19.52112676],0
r1,1,0.257515,1.282068,[39 20] ; [116  41],[42.33796296 16.66203704] ; [112.66203704  44.33796296],0
p12,1,0.262005,1.258132,[ 1 58] ; [  8 148],[ 2.46976744 56.53023256] ; [  6.53023256 149.46976744],0
p8,1,0.269726,1.218139,[21 37] ; [70 87],[24.54883721 33.45116279] ; [66.45116279 90.54883721],0
u2,1,0.285003,1.143076,[13 13] ; [35 21],[15.2195122 10.7804878] ; [32.7804878 23.2195122],0
n1,1,0.329842,0.949517,[ 6 13] ; [10 39],[ 4.47058824 14.52941176] ; [11.52941176 37.47058824],0
d2,1,0.340285,0.909357,[19 40] ; [62 96],[22.02304147 36.97695853] ; [58.97695853 99.02304147],0
s7,1,0.347744,0.881671,[13 44] ; [ 44 106],[15.69565217 41.30434783] ; [ 41.30434783 108.69565217],0
p4,1,0.381384,0.766237,[22 36] ; [70 87],[24.81860465 33.18139535] ; [67.18139535 89.81860465],0
a3,1,0.391842,0.73322,[33 25] ; [100  58],[35.71296296 22.28703704] ; [97.28703704 60.71296296],0
v2,1,0.559544,0.340494,[26 30] ; [77 74],[27.8647343 28.1352657] ; [75.1352657 75.8647343],0
s8,1,0.575928,0.312864,[15 43] ; [ 47 111],[16.64814815 41.35185185] ; [ 45.35185185 112.64814815],0
b5,1,0.576214,0.312395,[33 26] ; [95 63],[34.80184332 24.19815668] ; [93.19815668 64.80184332],0
p3,1,0.594519,0.283342,[20 39] ; [59 97],[21.67906977 37.32093023] ; [57.32093023 98.67906977],0
s3,1,0.638004,0.221362,[25 31] ; [64 92],[23.50943396 32.49056604] ; [65.49056604 90.50943396],0
p11,1,0.684642,0.164947,[39 20] ; [109  49],[40.23963134 18.76036866] ; [107.76036866  50.23963134],0
a8,1,0.69582,0.152857,[ 4 52] ; [ 13 134],[ 4.68965517 51.31034483] ; [ 12.31034483 134.68965517],0
s5,1,0.703401,0.144958,[11 43] ; [ 35 118],[12. 42.] ; [ 34. 119.],0
a4,1,0.73427,0.115227,[22 37] ; [ 55 103],[20.93548387 38.06451613] ; [ 56.06451613 101.93548387],0
p1,1,0.798544,0.065144,[ 4 55] ; [  9 145],[ 3.60093897 55.39906103] ; [  9.39906103 144.60093897],0
n4,1,0.803571,0.061866,[25 34] ; [64 94],[24.19815668 34.80184332] ; [64.80184332 93.19815668],0
v1,1,0.810969,0.057206,[22 36] ; [60 91],[22.75598086 35.24401914] ; [59.24401914 91.75598086],0
n3,1,0.818225,0.052821,[12  5] ; [36 13],[12.36363636  4.63636364] ; [35.63636364 13.36363636],0
p7,1,0.819031,0.052345,[30 29] ; [81 73],[30.74647887 28.25352113] ; [80.25352113 73.74647887],0
s2,1,0.851933,0.034839,[19 40] ; [ 53 105],[19.57603687 39.42396313] ; [ 52.42396313 105.57603687],0
s1,1,0.860812,0.030744,[ 3 56] ; [  9 149],[ 3.26267281 55.73732719] ; [  8.73732719 149.26267281],0
b4,1,0.905032,0.014234,[36 23] ; [95 63],[35.61751152 23.38248848] ; [95.38248848 62.61751152],0
