Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.940843,[ 31 112] ; [23 14],[ 42.9 100.1] ; [11.1 25.9],1
p3,1,2.9e-05,17.451295,[ 31 116] ; [21 17],[ 41.31891892 105.68108108] ; [10.68108108 27.31891892],1
p6,1,6.1e-05,16.068951,[ 17 128] ; [15 23],[ 25.35519126 119.64480874] ; [ 6.64480874 31.35519126],1
p4,1,0.000141,14.485622,[ 30 117] ; [19 18],[ 39.14673913 107.85326087] ; [ 9.85326087 27.14673913],1
v2,1,0.02647,4.925069,[60 79] ; [23 13],[65.92571429 73.07428571] ; [17.07428571 18.92571429],0
p10,1,0.026864,4.899536,[70 75] ; [26 12],[76.06557377 68.93442623] ; [19.93442623 18.06557377],0
b1,1,0.049949,3.843168,[77 71] ; [13 25],[71.61290323 76.38709677] ; [18.38709677 19.61290323],0
d2,1,0.089272,2.887444,[72 73] ; [13 25],[67.34972678 77.65027322] ; [17.65027322 20.34972678],0
n2,1,0.103216,2.655135,[41 23] ; [9 1],[43.24324324 20.75675676] ; [6.75675676 3.24324324],0
a1,1,0.118591,2.435834,[ 16 132] ; [ 1 37],[ 13.52688172 134.47311828] ; [ 3.47311828 34.52688172],0
p9,1,0.143092,2.144392,[74 67] ; [25 13],[77.98324022 63.01675978] ; [21.01675978 16.98324022],0
v4,1,0.155084,2.021514,[112  35] ; [33  5],[115.21621622  31.78378378] ; [29.78378378  8.21621622],0
a2,1,0.165659,1.921791,[ 30 118] ; [ 4 34],[ 27.05376344 120.94623656] ; [ 6.94623656 31.05376344],0
s3,1,0.208654,1.58074,[64 82] ; [12 25],[60.63387978 85.36612022] ; [15.36612022 21.63387978],0
a3,1,0.235127,1.409573,[95 52] ; [20 17],[91.875 55.125] ; [23.125 13.875],0
s4,1,0.236848,1.399257,[ 32 115] ; [ 5 33],[ 29.4 117.6] ; [ 7.6 30.4],0
u1,1,0.261155,1.262624,[ 22 126] ; [ 3 35],[ 19.89247312 128.10752688] ; [ 5.10752688 32.89247312],0
d4,1,0.263311,1.251266,[110  37] ; [25 13],[107.27027027  39.72972973] ; [27.72972973 10.27027027],0
s7,1,0.265384,1.240451,[48 90] ; [ 9 27],[45.20689655 92.79310345] ; [11.79310345 24.20689655],0
b4,1,0.265601,1.239325,[85 63] ; [18 20],[81.95698925 66.04301075] ; [21.04301075 16.95698925],0
u2,1,0.274006,1.196581,[28 24] ; [ 7 11],[26. 26.] ; [9. 9.],0
n4,1,0.287393,1.131793,[95 52] ; [21 17],[92.17297297 54.82702703] ; [23.82702703 14.17297297],0
d5,1,0.298255,1.081982,[102  45] ; [23 15],[99.32432432 47.67567568] ; [25.67567568 12.32432432],0
s2,1,0.303587,1.05837,[54 93] ; [17 20],[56.72282609 90.27717391] ; [14.27717391 22.72282609],0
a4,1,0.317671,0.998509,[65 82] ; [13 24],[62.31521739 84.68478261] ; [15.68478261 21.31521739],0
b5,1,0.329273,0.951756,[87 61] ; [19 19],[84.34408602 63.65591398] ; [21.65591398 16.34408602],0
r4,1,0.372783,0.794365,[102  46] ; [29  9],[104.23655914  43.76344086] ; [26.76344086 11.23655914],0
b3,1,0.390667,0.736864,[37 59] ; [ 6 15],[35.28205128 60.71794872] ; [ 7.71794872 13.28205128],0
b2,1,0.390667,0.736864,[37 59] ; [ 6 15],[35.28205128 60.71794872] ; [ 7.71794872 13.28205128],0
s5,1,0.422403,0.64362,[ 29 110] ; [10 27],[ 30.80113636 108.19886364] ; [ 8.19886364 28.80113636],0
v1,1,0.513352,0.427229,[49 96] ; [15 23],[50.71038251 94.28961749] ; [13.28961749 24.71038251],0
r3,1,0.521472,0.410981,[117  30] ; [32  6],[118.39459459  28.60540541] ; [30.60540541  7.39459459],0
r2,1,0.553029,0.351918,[123  21] ; [33  4],[124.11049724  19.88950276] ; [31.88950276  5.11049724],0
s1,1,0.556453,0.345883,[ 11 134] ; [ 4 34],[ 11.8852459 133.1147541] ; [ 3.1147541 34.8852459],0
p11,1,0.562621,0.335186,[74 74] ; [21 17],[75.59139785 72.40860215] ; [19.40860215 18.59139785],0
d1,1,0.613718,0.254796,[73 75] ; [17 21],[71.61290323 76.38709677] ; [18.38709677 19.61290323],0
n5,1,0.616964,0.250158,[91 55] ; [22 16],[89.66304348 56.33695652] ; [23.33695652 14.66304348],0
s8,1,0.662058,0.191033,[ 44 103] ; [10 28],[ 42.90810811 104.09189189] ; [11.09189189 26.90810811],0
n1,1,0.672369,0.178844,[27 36] ; [5 5],[27.61643836 35.38356164] ; [4.38356164 5.61643836],0
a8,1,0.673207,0.177874,[ 13 130] ; [ 4 31],[ 13.65730337 129.34269663] ; [ 3.34269663 31.65730337],0
s6,1,0.711189,0.137093,[70 76] ; [19 18],[71.00546448 74.99453552] ; [17.99453552 19.00546448],0
p1,1,0.739511,0.110556,[ 13 135] ; [ 4 34],[ 13.52688172 134.47311828] ; [ 3.47311828 34.52688172],0
a7,1,0.763156,0.090805,[85 62] ; [23 15],[85.81621622 61.18378378] ; [22.18378378 15.81621622],0
n6,1,0.776857,0.080325,[97 50] ; [26 12],[97.73513514 49.26486486] ; [25.26486486 12.73513514],0
a5,1,0.791036,0.070207,[90 58] ; [24 14],[90.70967742 57.29032258] ; [23.29032258 14.70967742],0
a6,1,0.815009,0.054741,[82 65] ; [22 16],[82.63783784 64.36216216] ; [21.36216216 16.63783784],0
u4,1,0.816213,0.054018,[  5 143] ; [ 1 37],[  4.77419355 143.22580645] ; [ 1.22580645 36.77419355],0
r1,1,0.832491,0.044736,[94 53] ; [25 13],[94.55675676 52.44324324] ; [24.44324324 13.55675676],0
u3,1,0.841246,0.04012,[28 25] ; [10  8],[28.36619718 24.63380282] ; [9.63380282 8.36619718],0
p12,1,0.898124,0.016392,[  7 140] ; [ 2 36],[  7.15135135 139.84864865] ; [ 1.84864865 36.15135135],0
v3,1,0.913304,0.011853,[42 95] ; [12 26],[42.27428571 94.72571429] ; [11.72571429 26.27428571],0
d3,1,0.926014,0.008623,[80 67] ; [21 17],[80.25405405 66.74594595] ; [20.74594595 17.25405405],0
n3,1,1.0,0.0,[36 24] ; [6 4],[36. 24.] ; [6. 4.],0
