Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.000629,11.689477,[23 24] ; [ 5 32],[15.66666667 31.33333333] ; [12.33333333 24.66666667],1
d1,1,0.02226,5.225309,[17 31] ; [ 5 32],[12.42352941 35.57647059] ; [ 9.57647059 27.42352941],0
b1,1,0.028902,4.773471,[21 27] ; [25 12],[25.97647059 22.02352941] ; [20.02352941 16.97647059],0
d5,1,0.038989,4.261348,[29 19] ; [14 23],[24.28235294 23.71764706] ; [18.71764706 18.28235294],0
v4,1,0.059846,3.541639,[30 17] ; [16 21],[25.73809524 21.26190476] ; [20.26190476 16.73809524],0
a4,1,0.082295,3.018976,[17 30] ; [ 7 30],[13.42857143 33.57142857] ; [10.57142857 26.42857143],0
p10,1,0.092171,2.836042,[29 18] ; [16 21],[25.17857143 21.82142857] ; [19.82142857 17.17857143],0
p5,1,0.098739,2.725788,[ 6 40] ; [ 1 35],[ 3.92682927 42.07317073] ; [ 3.07317073 32.92682927],0
d3,1,0.144321,2.131276,[24 23] ; [13 24],[20.70238095 26.29761905] ; [16.29761905 20.70238095],0
r3,1,0.179712,1.8,[17 31] ; [18 18],[20. 28.] ; [15. 21.],0
n4,1,0.184368,1.762056,[29 19] ; [17 20],[25.97647059 22.02352941] ; [20.02352941 16.97647059],0
p4,1,0.190606,1.712927,[13 35] ; [15 22],[15.81176471 32.18823529] ; [12.18823529 24.81176471],0
v1,1,0.230323,1.438864,[14 32] ; [ 7 30],[11.63855422 34.36144578] ; [ 9.36144578 27.63855422],0
u3,1,0.241032,1.374545,[ 8 14] ; [ 4 16],[ 6.28571429 15.71428571] ; [ 5.71428571 14.28571429],0
n5,1,0.25474,1.297119,[33 15] ; [21 16],[30.49411765 17.50588235] ; [23.50588235 13.49411765],0
a7,1,0.263502,1.250265,[24 24] ; [14 23],[21.45882353 26.54117647] ; [16.54117647 20.45882353],0
p8,1,0.306793,1.04443,[17 31] ; [ 9 27],[14.85714286 33.14285714] ; [11.14285714 24.85714286],0
a6,1,0.317945,0.997382,[26 22] ; [16 21],[23.71764706 24.28235294] ; [18.28235294 18.71764706],0
s3,1,0.353619,0.860426,[19 28] ; [11 25],[16.98795181 30.01204819] ; [13.01204819 22.98795181],0
a1,1,0.358273,0.843938,[ 7 41] ; [ 3 34],[ 5.64705882 42.35294118] ; [ 4.35294118 32.64705882],0
