Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,9.1e-05,15.323594,[22 26] ; [ 5 44],[13.36082474 34.63917526] ; [13.63917526 35.36082474],1
r1,1,0.000778,11.293613,[44  8] ; [27 23],[36.19607843 15.80392157] ; [34.80392157 15.19607843],1
v1,1,0.001537,10.033529,[29 21] ; [13 36],[21.21212121 28.78787879] ; [20.78787879 28.21212121],0
a4,1,0.007107,7.245621,[18 34] ; [ 6 44],[12.23529412 39.76470588] ; [11.76470588 38.23529412],0
a5,1,0.009038,6.815378,[39 13] ; [25 25],[32.62745098 19.37254902] ; [31.37254902 18.62745098],0
r4,1,0.009537,6.719465,[47  5] ; [35 15],[41.80392157 10.19607843] ; [40.19607843  9.80392157],0
a3,1,0.010238,6.592949,[34 18] ; [20 30],[27.52941176 24.47058824] ; [26.47058824 23.52941176],0
b4,1,0.017542,5.641313,[36 16] ; [23 27],[30.07843137 21.92156863] ; [28.92156863 21.07843137],0
a6,1,0.028705,4.785205,[37 15] ; [25 25],[31.60784314 20.39215686] ; [30.39215686 19.60784314],0
a7,1,0.028892,4.774048,[44  8] ; [33 17],[39.25490196 12.74509804] ; [37.74509804 12.25490196],0
r3,1,0.039064,4.258074,[50  2] ; [42  8],[46.90196078  5.09803922] ; [45.09803922  4.90196078],0
s4,1,0.042343,4.12146,[ 7 45] ; [15 35],[11.21568627 40.78431373] ; [10.78431373 39.21568627],0
d4,1,0.042343,4.12146,[45  7] ; [35 15],[40.78431373 11.21568627] ; [39.21568627 10.78431373],0
d1,1,0.045244,4.009521,[29 23] ; [18 32],[23.96078431 28.03921569] ; [23.03921569 26.96078431],0
r2,1,0.05529,3.673308,[49  3] ; [41  9],[45.88235294  6.11764706] ; [44.11764706  5.88235294],0
u1,1,0.056803,3.628345,[ 6 46] ; [ 1 49],[ 3.56862745 48.43137255] ; [ 3.43137255 46.56862745],0
p12,1,0.056803,3.628345,[ 6 46] ; [ 1 49],[ 3.56862745 48.43137255] ; [ 3.43137255 46.56862745],0
d5,1,0.061952,3.484346,[41 11] ; [31 19],[36.70588235 15.29411765] ; [35.29411765 14.70588235],0
v4,1,0.0657,3.38731,[50  2] ; [42  7],[47.36633663  4.63366337] ; [44.63366337  4.36633663],0
n5,1,0.088309,2.904937,[23 29] ; [14 36],[18.8627451 33.1372549] ; [18.1372549 31.8627451],0
s2,1,0.153532,2.036803,[26 26] ; [18 32],[22.43137255 29.56862745] ; [21.56862745 28.43137255],0
s3,1,0.161349,1.961538,[28 24] ; [20 30],[24.47058824 27.52941176] ; [23.52941176 26.47058824],0
p5,1,0.165489,1.923341,[ 6 46] ; [ 2 47],[ 4.11881188 47.88118812] ; [ 3.88118812 45.11881188],0
n1,1,0.173273,1.854396,[ 3 11] ; [6 7],[4.66666667 9.33333333] ; [4.33333333 8.66666667],0
p1,1,0.218357,1.515138,[ 2 49] ; [ 5 44],[ 3.57 47.43] ; [ 3.43 45.57],0
b3,1,0.225253,1.470588,[10 15] ; [ 6 19],[ 8. 17.] ; [ 8. 17.],0
b2,1,0.225253,1.470588,[10 15] ; [ 6 19],[ 8. 17.] ; [ 8. 17.],0
p4,1,0.24126,1.373216,[33 19] ; [26 24],[30.07843137 21.92156863] ; [28.92156863 21.07843137],0
n6,1,0.294507,1.098901,[35 15] ; [30 20],[32.5 17.5] ; [32.5 17.5],0
p2,1,0.367369,0.812545,[41 11] ; [42  7],[42.73267327  9.26732673] ; [40.26732673  8.73267327],0
s1,1,0.534847,0.385175,[ 1 51] ; [ 2 48],[ 1.52941176 50.47058824] ; [ 1.47058824 48.52941176],0
a1,1,0.534847,0.385175,[ 1 51] ; [ 2 48],[ 1.52941176 50.47058824] ; [ 1.47058824 48.52941176],0
a8,1,0.557056,0.344828,[ 1 44] ; [ 2 43],[ 1.5 43.5] ; [ 1.5 43.5],0
p11,1,0.564069,0.332707,[41 11] ; [37 13],[39.76470588 12.23529412] ; [38.23529412 11.76470588],0
n2,1,0.579997,0.30624,[11  3] ; [9 4],[10.37037037  3.62962963] ; [9.62962963 3.37037037],0
u2,1,0.598976,0.276543,[11  7] ; [16 14],[10.125  7.875] ; [16.875 13.125],0
p10,1,0.602575,0.27113,[38 14] ; [38 11],[39.12871287 12.87128713] ; [36.87128713 12.12871287],0
d2,1,0.606507,0.265293,[17 35] ; [14 36],[15.80392157 36.19607843] ; [15.19607843 34.80392157],0
p7,1,0.639371,0.219566,[39 12] ; [34 13],[37.98979592 13.01020408] ; [35.01020408 11.98979592],0
b5,1,0.639424,0.219497,[32 20] ; [33 17],[33.1372549 18.8627451] ; [31.8627451 18.1372549],0
p3,1,0.686056,0.163389,[26 26] ; [23 27],[24.98039216 27.01960784] ; [24.01960784 25.98039216],0
b1,1,0.730558,0.1186,[14 38] ; [15 35],[14.78431373 37.21568627] ; [14.21568627 35.78431373],0
d3,1,0.730558,0.1186,[38 14] ; [35 15],[37.21568627 14.78431373] ; [35.78431373 14.21568627],0
p9,1,0.73096,0.118232,[41 11] ; [38 12],[40.2745098 11.7254902] ; [38.7254902 11.2745098],0
s6,1,0.777794,0.079634,[33 18] ; [31 19],[32.31683168 18.68316832] ; [31.68316832 18.31683168],0
p6,1,0.798323,0.065289,[20 31] ; [18 31],[19.38 31.62] ; [18.62 30.38],0
n3,1,0.816334,0.053946,[8 6] ; [8 5],[8.2962963 5.7037037] ; [7.7037037 5.2962963],0
u3,1,0.881087,0.022378,[10  8] ; [16 14],[9.75 8.25] ; [16.25 13.75],0
s5,1,0.881664,0.022159,[15 34] ; [16 34],[15.34343434 33.65656566] ; [15.65656566 34.34343434],0
s7,1,0.949838,0.003958,[18 33] ; [17 32],[17.85 33.15] ; [17.15 31.85],0
s8,1,0.961756,0.002299,[20 32] ; [19 31],[19.88235294 32.11764706] ; [19.11764706 30.88235294],0
