Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,91.478453,[244  56] ; [115 155],[188.94736842 111.05263158] ; [170.05263158  99.94736842],1
p4,1,0.0,68.321433,[232  69] ; [120 156],[183.62564991 117.37435009] ; [168.37435009 107.62564991],1
p3,1,0.0,48.35135,[193 108] ; [ 97 179],[151.28249567 149.71750433] ; [138.71750433 137.28249567],1
p2,1,0.0,41.181232,[276  27] ; [193  82],[245.85986159  57.14013841] ; [223.14013841  51.85986159],1
p6,1,0.0,35.982888,[146 156] ; [ 66 207],[111.34608696 190.65391304] ; [100.65391304 172.34608696],1
p5,1,0.0,28.70999,[ 65 238] ; [ 16 256],[ 42.68347826 260.31652174] ; [ 38.31652174 233.68347826],1
p11,1,0.0,28.511959,[265  38] ; [192  85],[238.74310345  64.25689655] ; [218.25689655  58.74310345],1
r4,1,1e-06,23.445531,[285  18] ; [224  53],[265.90862069  37.09137931] ; [243.09137931  33.90862069],1
p10,1,3e-06,21.819265,[272  30] ; [206  67],[251.05391304  50.94608696] ; [226.94608696  46.05391304],1
v4,1,3e-06,21.782968,[294   7] ; [242  34],[279.6117851  21.3882149] ; [256.3882149  19.6117851],1
p9,1,8e-06,19.85435,[274  26] ; [213  60],[254.97382199  45.02617801] ; [232.02617801  40.97382199],1
v1,1,9.7e-05,15.185182,[193 105] ; [129 137],[170.13475177 127.86524823] ; [151.86524823 114.13475177],1
n6,1,0.000183,13.994278,[280  21] ; [229  47],[265.52686308  35.47313692] ; [243.47313692  32.52686308],1
s5,1,0.000198,13.852737,[111 186] ; [ 62 208],[ 90.61904762 206.38095238] ; [ 82.38095238 187.61904762],1
s8,1,0.000214,13.702163,[156 143] ; [102 175],[133.92708333 165.07291667] ; [124.07291667 152.92708333],1
r1,1,0.000557,11.915248,[256  46] ; [201  74],[239.19237435  62.80762565] ; [217.80762565  57.19237435],1
v2,1,0.001696,9.853022,[188 107] ; [133 130],[169.70430108 125.29569892] ; [151.29569892 111.70430108],0
a5,1,0.003492,8.530554,[241  62] ; [191  86],[225.68275862  77.31724138] ; [206.31724138  70.68275862],0
r3,1,0.004572,8.041401,[288  14] ; [245  30],[278.97053726  23.02946274] ; [254.02946274  20.97053726],0
a7,1,0.008891,6.844553,[224  78] ; [177  99],[209.51903114  92.48096886] ; [191.48096886  84.51903114],0
d4,1,0.010659,6.52133,[254  47] ; [208  66],[241.84695652  59.15304348] ; [220.15304348  53.84695652],0
p1,1,0.015348,5.876044,[ 39 263] ; [ 19 258],[ 30.25215889 271.74784111] ; [ 27.74784111 249.25215889],0
r2,1,0.019966,5.414904,[287  12] ; [251  24],[280.24738676  18.75261324] ; [257.75261324  17.24738676],0
p12,1,0.021181,5.311829,[ 35 266] ; [ 17 260],[ 27.07958478 273.92041522] ; [ 24.92041522 252.07958478],0
s7,1,0.023812,5.108273,[156 127] ; [120 144],[142.79341865 140.20658135] ; [133.20658135 130.79341865],0
v3,1,0.032591,4.567146,[145 151] ; [106 159],[132.43493761 163.56506239] ; [118.56506239 146.43493761],0
b5,1,0.040281,4.205994,[166 137] ; [175 102],[178.14310345 124.85689655] ; [162.85689655 114.14310345],0
s6,1,0.045838,3.987551,[202  95] ; [165 110],[190.55769231 106.44230769] ; [176.44230769  98.55769231],0
s1,1,0.050732,3.81709,[  5 296] ; [ 12 258],[  8.9614711 292.0385289] ; [  8.0385289 261.9614711],0
d1,1,0.055429,3.66912,[190 113] ; [152 125],[178.66551724 124.33448276] ; [163.33448276 113.66551724],0
n4,1,0.082837,3.008347,[277  26] ; [240  36],[270.55440415  32.44559585] ; [246.44559585  29.55440415],0
d3,1,0.107402,2.592038,[206  96] ; [170 105],[196.79722704 105.20277296] ; [179.20277296  95.79722704],0
a3,1,0.121131,2.402633,[226  74] ; [192  84],[217.70833333  82.29166667] ; [200.29166667  75.70833333],0
a8,1,0.204166,1.612322,[ 53 220] ; [ 38 212],[ 47.50095602 225.49904398] ; [ 43.49904398 206.50095602],0
n2,1,0.218951,1.511234,[38  9] ; [59 24],[35.06923077 11.93076923] ; [61.93076923 21.06923077],0
u4,1,0.296346,1.090566,[ 11 292] ; [  6 271],[  8.88103448 294.11896552] ; [  8.11896552 268.88103448],0
u2,1,0.319882,0.989429,[45 32] ; [42 41],[41.86875 35.13125] ; [45.13125 37.86875],0
s2,1,0.340215,0.909622,[151 149] ; [127 147],[145.29616725 154.70383275] ; [132.70383275 141.29616725],0
n3,1,0.396204,0.719817,[28 18] ; [56 26],[30.1875 15.8125] ; [53.8125 28.1875],0
b1,1,0.412055,0.672864,[120 183] ; [119 158],[124.85689655 178.14310345] ; [114.14310345 162.85689655],0
s3,1,0.453994,0.560661,[167 131] ; [145 129],[162.54545455 135.45454545] ; [149.45454545 124.54545455],0
b4,1,0.48937,0.477911,[173 130] ; [166 111],[177.09827586 125.90172414] ; [161.90172414 115.09827586],0
u3,1,0.503221,0.448136,[43 34] ; [43 42],[40.87654321 36.12345679] ; [45.12345679 39.87654321],0
a6,1,0.577024,0.31107,[204  97] ; [193  83],[207.10051993  93.89948007] ; [189.89948007  86.10051993],0
a2,1,0.597541,0.278721,[ 73 230] ; [ 72 205],[ 75.75 227.25] ; [ 69.25 207.75],0
a4,1,0.677972,0.172418,[136 165] ; [129 146],[138.48090278 162.51909722] ; [126.51909722 148.48090278],0
u1,1,0.68413,0.165514,[ 54 249] ; [ 53 224],[ 55.89827586 247.10172414] ; [ 51.10172414 225.89827586],0
d2,1,0.77837,0.079211,[153 149] ; [141 131],[154.68292683 147.31707317] ; [139.31707317 132.68292683],0
a1,1,0.787411,0.072724,[ 17 286] ; [ 17 260],[ 17.76206897 285.23793103] ; [ 16.23793103 260.76206897],0
b2,1,0.820638,0.051404,[ 84 110] ; [ 75 103],[ 82.91935484 111.08064516] ; [ 76.08064516 101.91935484],0
b3,1,0.820638,0.051404,[ 84 110] ; [ 75 103],[ 82.91935484 111.08064516] ; [ 76.08064516 101.91935484],0
n1,1,0.864462,0.029137,[22 24] ; [37 43],[21.53968254 24.46031746] ; [37.46031746 42.53968254],0
d5,1,0.991288,0.000119,[242  59] ; [222  54],[242.05199307  58.94800693] ; [221.94800693  54.05199307],0
