Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,42.650793,[74 19] ; [ 3 24],[59.675 33.325] ; [17.325  9.675],1
v4,1,1e-06,25.11733,[82 10] ; [12 15],[72.67226891 19.32773109] ; [21.32773109  5.67226891],1
p11,1,5e-06,20.992952,[69 24] ; [ 7 20],[58.9 34.1] ; [17.1  9.9],1
p9,1,7.1e-05,15.795185,[70 22] ; [ 8 16],[61.86206897 30.13793103] ; [16.13793103  7.86206897],1
s6,1,0.000483,12.178768,[55 36] ; [ 6 21],[47.04237288 43.95762712] ; [13.95762712 13.04237288],1
v2,1,0.00253,9.118677,[35 52] ; [ 2 23],[28.74107143 58.25892857] ; [ 8.25892857 16.74107143],0
r2,1,0.003318,8.623602,[83 10] ; [17  9],[78.1512605 14.8487395] ; [21.8487395  4.1512605],0
p10,1,0.003424,8.566593,[58 34] ; [ 8 18],[51.45762712 40.54237288] ; [14.54237288 11.45762712],0
a4,1,0.004439,8.094766,[47 46] ; [ 5 21],[40.63865546 52.36134454] ; [11.36134454 14.63865546],0
d5,1,0.007874,7.061849,[61 32] ; [10 17],[55.025 37.975] ; [15.975 11.025],0
r1,1,0.007874,7.061849,[61 32] ; [10 17],[55.025 37.975] ; [15.975 11.025],0
p4,1,0.009102,6.802766,[35 58] ; [ 3 24],[29.45 63.55] ; [ 8.55 18.45],0
n3,1,0.010764,6.503946,[23 10] ; [ 5 11],[18.85714286 14.14285714] ; [9.14285714 6.85714286],0
s7,1,0.01307,6.159571,[38 50] ; [ 4 21],[32.7079646 55.2920354] ; [ 9.2920354 15.7079646],0
u3,1,0.013787,6.065153,[14 16] ; [ 1 12],[10.46511628 19.53488372] ; [4.53488372 8.46511628],0
n6,1,0.015096,5.905287,[70 22] ; [14 13],[64.94117647 27.05882353] ; [19.05882353  7.94117647],0
v1,1,0.015157,5.898148,[40 50] ; [ 5 22],[34.61538462 55.38461538] ; [10.38461538 16.61538462],0
p2,1,0.01797,5.599078,[55 38] ; [ 9 18],[49.6 43.4] ; [14.4 12.6],0
a5,1,0.020319,5.384309,[61 32] ; [11 16],[55.8 37.2] ; [16.2 10.8],0
u2,1,0.020524,5.366792,[16 14] ; [ 2 11],[12.55813953 17.44186047] ; [5.44186047 7.55813953],0
d4,1,0.02069,5.352678,[64 29] ; [12 15],[58.9 34.1] ; [17.1  9.9],0
b5,1,0.023486,5.132185,[54 39] ; [ 9 18],[48.825 44.175] ; [14.175 12.825],0
n2,1,0.030053,4.706255,[27  8] ; [8 9],[23.55769231 11.44230769] ; [11.44230769  5.55769231],0
s2,1,0.034849,4.45258,[37 54] ; [ 5 22],[32.38983051 58.61016949] ; [ 9.61016949 17.38983051],0
n5,1,0.040623,4.191693,[60 33] ; [23  4],[64.325 28.675] ; [18.675  8.325],0
s8,1,0.040623,4.191693,[33 60] ; [ 4 23],[28.675 64.325] ; [ 8.325 18.675],0
d1,1,0.050479,3.82548,[40 53] ; [ 6 21],[35.65 57.35] ; [10.35 16.65],0
p8,1,0.077839,3.10946,[21 72] ; [ 2 25],[17.825 75.175] ; [ 5.175 21.825],0
s3,1,0.087033,2.928409,[42 50] ; [ 7 19],[38.20338983 53.79661017] ; [10.79661017 15.20338983],0
b4,1,0.119037,2.429943,[57 36] ; [12 15],[53.475 39.525] ; [15.525 11.475],0
a3,1,0.129553,2.297847,[63 30] ; [14 13],[59.675 33.325] ; [17.325  9.675],0
p3,1,0.166742,1.911991,[30 63] ; [ 5 22],[27.125 65.875] ; [ 7.875 19.125],0
a1,1,0.183797,1.766649,[ 4 89] ; [ 3 24],[ 5.425 87.575] ; [ 1.575 25.425],0
v3,1,0.2247,1.4741,[23 62] ; [ 4 22],[20.67567568 64.32432432] ; [ 6.32432432 19.67567568],0
b1,1,0.233425,1.419869,[43 50] ; [16 11],[45.725 47.275] ; [13.275 13.725],0
p1,1,0.247952,1.334804,[ 7 86] ; [ 4 23],[ 8.525 84.475] ; [ 2.475 24.525],0
s1,1,0.300368,1.072558,[ 5 87] ; [ 3 24],[ 6.18487395 85.81512605] ; [ 1.81512605 25.18487395],0
s5,1,0.336355,0.924275,[20 65] ; [ 4 23],[18.21428571 66.78571429] ; [ 5.78571429 21.21428571],0
n1,1,0.365842,0.817739,[17 18] ; [ 6 11],[15.48076923 19.51923077] ; [7.51923077 9.48076923],0
d2,1,0.453702,0.561387,[43 49] ; [10 16],[41.3220339 50.6779661] ; [11.6779661 14.3220339],0
d3,1,0.466357,0.530595,[31 62] ; [ 7 20],[29.45 63.55] ; [ 8.55 18.45],0
s4,1,0.474705,0.511004,[12 80] ; [ 5 22],[13.14285714 78.85714286] ; [ 3.85714286 23.14285714],0
a6,1,0.683856,0.165817,[42 51] ; [11 16],[41.075 51.925] ; [11.925 15.075],0
b2,1,0.708992,0.139286,[27 33] ; [9 9],[27.69230769 32.30769231] ; [8.30769231 9.69230769],0
b3,1,0.708992,0.139286,[27 33] ; [9 9],[27.69230769 32.30769231] ; [8.30769231 9.69230769],0
p5,1,0.717761,0.130648,[ 5 87] ; [ 1 26],[ 4.63865546 87.36134454] ; [ 1.36134454 25.63865546],0
n4,1,0.86517,0.028831,[67 26] ; [19  8],[66.65 26.35] ; [19.35  7.65],0
p12,1,0.871629,0.026111,[ 6 86] ; [ 2 25],[ 6.18487395 85.81512605] ; [ 1.81512605 25.18487395],0
