Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,24.815589,[ 5 21] ; [58 20],[15.75 10.25] ; [47.25 30.75],1
d4,1,8.9e-05,15.360155,[18  7] ; [76  2],[22.81553398  2.18446602] ; [71.18446602  6.81553398],1
a3,1,9.2e-05,15.286843,[ 7 18] ; [56 22],[15.29126214  9.70873786] ; [47.70873786 30.29126214],1
a4,1,0.001474,10.111111,[ 5 21] ; [43 35],[12. 14.] ; [36. 42.],0
d5,1,0.002093,9.466254,[16 10] ; [69  9],[21.25  4.75] ; [63.75 14.25],0
p10,1,0.003914,8.323492,[15  9] ; [68  9],[19.72277228  4.27722772] ; [63.27722772 13.72277228],0
d2,1,0.003975,8.295402,[ 6 19] ; [44 33],[12.25490196 12.74509804] ; [37.74509804 39.25490196],0
b3,1,0.005158,7.823348,[ 1 13] ; [22 23],[5.45762712 8.54237288] ; [17.54237288 27.45762712],0
b2,1,0.005158,7.823348,[ 1 13] ; [22 23],[5.45762712 8.54237288] ; [17.54237288 27.45762712],0
s8,1,0.024305,5.072743,[ 2 24] ; [23 55],[ 6.25 19.75] ; [18.75 59.25],0
r4,1,0.033467,4.521739,[20  6] ; [72  6],[23.  3.] ; [69.  9.],0
p4,1,0.038542,4.280961,[ 9 16] ; [46 31],[13.48039216 11.51960784] ; [41.51960784 35.48039216],0
a8,1,0.045006,4.018399,[ 5 19] ; [ 5 70],[ 2.42424242 21.57575758] ; [ 7.57575758 67.42424242],0
p5,1,0.06024,3.530769,[ 1 23] ; [16 62],[ 4. 20.] ; [13. 65.],0
p11,1,0.066747,3.361255,[24  2] ; [59 19],[20.75  5.25] ; [62.25 15.75],0
d3,1,0.076093,3.14643,[13 13] ; [54 24],[16.75  9.25] ; [50.25 27.75],0
u1,1,0.076297,3.142072,[ 1 25] ; [14 64],[ 3.75 22.25] ; [11.25 66.75],0
a6,1,0.099771,2.709197,[13 13] ; [53 25],[16.5  9.5] ; [49.5 28.5],0
n5,1,0.140803,2.169162,[14 11] ; [56 22],[16.99029126  8.00970874] ; [53.00970874 24.99029126],0
p3,1,0.149288,2.079514,[ 9 16] ; [41 37],[12.13592233 12.86407767] ; [37.86407767 40.13592233],0
r2,1,0.150286,2.069346,[23  3] ; [74  3],[24.48543689  1.51456311] ; [72.51456311  4.48543689],0
s6,1,0.15043,2.067888,[15 10] ; [57 19],[17.82178218  7.17821782] ; [54.17821782 21.82178218],0
v1,1,0.22318,1.483809,[12 13] ; [47 29],[14.6039604 10.3960396] ; [44.3960396 31.6039604],0
n4,1,0.280899,1.162733,[15 11] ; [54 24],[17.25  8.75] ; [51.75 26.25],0
p9,1,0.292613,1.10756,[18  6] ; [65 12],[19.72277228  4.27722772] ; [63.27722772 13.72277228],0
p12,1,0.327753,0.957755,[ 1 24] ; [ 8 69],[ 2.20588235 22.79411765] ; [ 6.79411765 70.20588235],0
p8,1,0.332275,0.940009,[11 14] ; [43 35],[13.10679612 11.89320388] ; [40.89320388 37.10679612],0
v2,1,0.332559,0.938909,[11 15] ; [40 35],[13.12871287 12.87128713] ; [37.87128713 37.12871287],0
r1,1,0.338794,0.914989,[19  7] ; [63 14],[20.69902913  5.30097087] ; [61.30097087 15.69902913],0
s4,1,0.380567,0.768868,[ 3 22] ; [15 61],[ 4.45544554 20.54455446] ; [13.54455446 62.45544554],0
p1,1,0.394021,0.726496,[ 4 20] ; [ 8 70],[ 2.82352941 21.17647059] ; [ 9.17647059 68.82352941],0
a7,1,0.397408,0.716156,[14 11] ; [51 27],[15.77669903  9.22330097] ; [49.22330097 28.77669903],0
v3,1,0.402901,0.699651,[ 6 19] ; [25 51],[ 7.67326733 17.32673267] ; [23.32673267 52.67326733],0
s1,1,0.415691,0.662464,[ 1 25] ; [ 1 76],[ 0.50485437 25.49514563] ; [ 1.49514563 75.50485437],0
p6,1,0.420253,0.649607,[ 6 18] ; [26 51],[ 7.6039604 16.3960396] ; [24.3960396 52.6039604],0
u3,1,0.42681,0.631488,[11  8] ; [10 12],[9.73170732 9.26829268] ; [11.26829268 10.73170732],0
s3,1,0.462397,0.540086,[11 15] ; [38 37],[12.61386139 13.38613861] ; [36.38613861 38.61386139],0
n1,1,0.481556,0.495338,[2 2] ; [4 9],[1.41176471 2.58823529] ; [4.58823529 8.41176471],0
p7,1,0.557802,0.343524,[14 10] ; [50 27],[15.20792079  8.79207921] ; [48.79207921 28.20792079],0
