Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.000105,15.036424,[24 21] ; [ 1 21],[16.79104478 28.20895522] ; [ 8.20895522 13.79104478],1
d5,1,0.000618,11.7195,[37  8] ; [ 9 13],[30.89552239 14.10447761] ; [15.10447761  6.89552239],1
d3,1,0.004228,8.183088,[29 16] ; [ 6 16],[23.50746269 21.49253731] ; [11.49253731 10.50746269],0
a3,1,0.017792,5.616551,[31 14] ; [ 8 13],[26.59090909 18.40909091] ; [12.40909091  8.59090909],0
p3,1,0.019016,5.5,[16 28] ; [ 2 20],[12. 32.] ; [ 6. 16.],0
u2,1,0.021947,5.25,[11  3] ; [5 9],[8. 6.] ; [8. 6.],0
a7,1,0.046201,3.974251,[28 17] ; [ 8 14],[24.17910448 20.82089552] ; [11.82089552 10.17910448],0
r3,1,0.05099,3.808618,[35 10] ; [12 10],[31.56716418 13.43283582] ; [15.43283582  6.56716418],0
n5,1,0.058886,3.568478,[12 33] ; [11 11],[15.44776119 29.55223881] ; [ 7.55223881 14.44776119],0
r1,1,0.058886,3.568478,[33 12] ; [11 11],[29.55223881 15.44776119] ; [14.44776119  7.55223881],0
v2,1,0.065716,3.386913,[19 26] ; [ 4 17],[15.68181818 29.31818182] ; [ 7.31818182 13.68181818],0
a2,1,0.095485,2.779378,[ 9 36] ; [ 1 21],[ 6.71641791 38.28358209] ; [ 3.28358209 18.71641791],0
a5,1,0.096439,2.763468,[30 15] ; [10 12],[26.86567164 18.13432836] ; [13.13432836  8.86567164],0
s6,1,0.104418,2.636732,[17 28] ; [ 4 18],[14.10447761 30.89552239] ; [ 6.89552239 15.10447761],0
a1,1,0.178767,1.807843,[ 2 43] ; [ 3 19],[ 3.35820896 41.64179104] ; [ 1.64179104 20.35820896],0
p10,1,0.188036,1.732935,[10 35] ; [ 2 20],[ 8.05970149 36.94029851] ; [ 3.94029851 18.05970149],0
p1,1,0.188264,1.731148,[ 2 42] ; [ 3 19],[ 3.33333333 40.66666667] ; [ 1.66666667 20.33333333],0
d2,1,0.191576,1.705455,[24 21] ; [ 8 14],[21.49253731 23.50746269] ; [10.50746269 11.49253731],0
n3,1,0.20009,1.641719,[7 9] ; [10  5],[8.77419355 7.22580645] ; [8.22580645 6.77419355],0
a4,1,0.234758,1.411802,[19 26] ; [ 6 16],[16.79104478 28.20895522] ; [ 8.20895522 13.79104478],0
u3,1,0.255623,1.292308,[9 5] ; [6 8],[7.5 6.5] ; [7.5 6.5],0
a6,1,0.257637,1.281409,[29 16] ; [11 11],[26.86567164 18.13432836] ; [13.13432836  8.86567164],0
r4,1,0.260843,1.264275,[27 18] ; [10 12],[24.85074627 20.14925373] ; [12.14925373  9.85074627],0
s2,1,0.262189,1.257161,[14 31] ; [ 4 18],[12.08955224 32.91044776] ; [ 5.91044776 16.08955224],0
s3,1,0.294266,1.1,[22 22] ; [ 8 14],[20. 24.] ; [10. 12.],0
v3,1,0.304725,1.053403,[11 32] ; [ 3 18],[ 9.40625 33.59375] ; [ 4.59375 16.40625],0
p8,1,0.305385,1.050529,[14 31] ; [ 4 17],[12.27272727 32.72727273] ; [ 5.72727273 15.27272727],0
p2,1,0.339439,0.912551,[24 21] ; [ 9 13],[22.1641791 22.8358209] ; [10.8358209 11.1641791],0
b1,1,0.340811,0.907377,[28 17] ; [11 11],[26.19402985 18.80597015] ; [12.80597015  9.19402985],0
b4,1,0.340811,0.907377,[28 17] ; [11 11],[26.19402985 18.80597015] ; [12.80597015  9.19402985],0
s1,1,0.363722,0.825,[ 3 41] ; [ 3 19],[ 4. 40.] ; [ 2. 20.],0
n1,1,0.371949,0.797143,[ 4 12] ; [6 9],[ 5.16129032 10.83870968] ; [ 4.83870968 10.16129032],0
v1,1,0.372965,0.793762,[15 30] ; [ 5 17],[13.43283582 31.56716418] ; [ 6.56716418 15.43283582],0
p7,1,0.434891,0.609726,[16 29] ; [10 12],[17.46268657 27.53731343] ; [ 8.53731343 13.46268657],0
s5,1,0.446725,0.578947,[ 7 37] ; [ 2 20],[ 6. 38.] ; [ 3. 19.],0
s8,1,0.466169,0.531042,[ 7 38] ; [ 2 20],[ 6.04477612 38.95522388] ; [ 2.95522388 19.04477612],0
b2,1,0.540089,0.375375,[ 8 22] ; [5 9],[ 8.86363636 21.13636364] ; [4.13636364 9.86363636],0
b3,1,0.540089,0.375375,[ 8 22] ; [5 9],[ 8.86363636 21.13636364] ; [4.13636364 9.86363636],0
v4,1,0.575062,0.314286,[31 14] ; [13  8],[30. 15.] ; [14.  7.],0
p6,1,0.613212,0.255524,[ 8 35] ; [ 3 19],[ 7.27692308 35.72307692] ; [ 3.72307692 18.27692308],0
s7,1,0.63704,0.222635,[ 8 32] ; [ 3 17],[ 7.33333333 32.66666667] ; [ 3.66666667 16.33333333],0
r2,1,0.684594,0.165,[34 10] ; [16  6],[33.33333333 10.66666667] ; [16.66666667  5.33333333],0
a8,1,0.699525,0.148966,[ 3 40] ; [ 1 21],[ 2.64615385 40.35384615] ; [ 1.35384615 20.64615385],0
s4,1,0.78522,0.074269,[ 7 38] ; [ 4 18],[ 7.3880597 37.6119403] ; [ 3.6119403 18.3880597],0
n4,1,0.791552,0.069852,[23 22] ; [12 10],[23.50746269 21.49253731] ; [11.49253731 10.50746269],0
p4,1,0.80563,0.060549,[13 32] ; [ 7 15],[13.43283582 31.56716418] ; [ 6.56716418 15.43283582],0
n2,1,0.86583,0.028547,[9 8] ; [8 8],[8.75757576 8.24242424] ; [8.24242424 7.75757576],0
b5,1,0.918486,0.010474,[19 26] ; [ 9 13],[18.80597015 26.19402985] ; [ 9.19402985 12.80597015],0
p11,1,0.948346,0.004197,[16 29] ; [ 8 14],[16.11940299 28.88059701] ; [ 7.88059701 14.11940299],0
