Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,8e-06,19.90528,[69 26] ; [ 2 13],[61.31818182 33.68181818] ; [9.68181818 5.31818182],1
r2,1,0.000891,11.04176,[80 15] ; [7 8],[75.13636364 19.86363636] ; [11.86363636  3.13636364],1
r3,1,0.005463,7.719298,[80 15] ; [8 7],[76. 19.] ; [12.  3.],0
p1,1,0.03086,4.660708,[ 2 93] ; [ 2 13],[ 3.45454545 91.54545455] ; [ 0.54545455 14.45454545],0
p9,1,0.032588,4.567274,[63 29] ; [6 9],[59.3271028 32.6728972] ; [9.6728972 5.3271028],0
v2,1,0.037874,4.310667,[38 54] ; [ 2 13],[34.39252336 57.60747664] ; [5.60747664 9.39252336],0
u2,1,0.039473,4.240385,[24 15] ; [1 5],[21.66666667 17.33333333] ; [3.33333333 2.66666667],0
s1,1,0.041101,4.171827,[ 5 90] ; [ 3 12],[ 6.90909091 88.09090909] ; [ 1.09090909 13.90909091],0
n6,1,0.043714,4.067557,[58 37] ; [ 5 10],[54.40909091 40.59090909] ; [8.59090909 6.40909091],0
d5,1,0.053948,3.714298,[62 32] ; [6 9],[58.64220183 35.35779817] ; [9.35779817 5.64220183],0
p2,1,0.087704,2.916028,[65 29] ; [7 8],[62.09174312 31.90825688] ; [9.90825688 5.09174312],0
r1,1,0.105616,2.618623,[59 36] ; [6 9],[56.13636364 38.86363636] ; [8.86363636 6.13636364],0
a4,1,0.134495,2.239837,[21 74] ; [6 9],[23.31818182 71.68181818] ; [ 3.68181818 11.31818182],0
p10,1,0.141762,2.15873,[56 37] ; [6 9],[53.38888889 39.61111111] ; [8.61111111 6.38888889],0
n2,1,0.142822,2.147283,[24 13] ; [2 4],[22.37209302 14.62790698] ; [3.62790698 2.37209302],0
d3,1,0.1653,1.92506,[55 38] ; [6 9],[52.52777778 40.47222222] ; [8.47222222 6.52777778],0
p4,1,0.209832,1.572582,[34 59] ; [ 3 12],[31.86111111 61.13888889] ; [5.13888889 9.86111111],0
b4,1,0.244589,1.353949,[48 47] ; [10  5],[50.09090909 44.90909091] ; [7.90909091 7.09090909],0
v3,1,0.244899,1.352171,[17 73] ; [ 1 14],[15.42857143 74.57142857] ; [ 2.57142857 12.42857143],0
s3,1,0.291542,1.112487,[20 75] ; [ 5 10],[21.59090909 73.40909091] ; [ 3.40909091 11.59090909],0
b1,1,0.330597,0.946558,[38 57] ; [8 7],[39.72727273 55.27272727] ; [6.27272727 8.72727273],0
b5,1,0.330597,0.946558,[57 38] ; [7 8],[55.27272727 39.72727273] ; [8.72727273 6.27272727],0
s7,1,0.342395,0.901445,[12 79] ; [ 3 10],[13.125 77.875] ; [ 1.875 11.125],0
a6,1,0.363122,0.827068,[50 45] ; [6 9],[48.36363636 46.63636364] ; [7.63636364 7.36363636],0
p3,1,0.372198,0.796313,[22 71] ; [ 2 13],[20.66666667 72.33333333] ; [ 3.33333333 11.66666667],0
a7,1,0.388328,0.744172,[61 33] ; [8 7],[59.50458716 34.49541284] ; [9.49541284 5.50458716],0
d1,1,0.400854,0.705764,[36 59] ; [ 4 11],[34.54545455 60.45454545] ; [5.45454545 9.54545455],0
p11,1,0.51761,0.418653,[59 36] ; [8 7],[57.86363636 37.13636364] ; [9.13636364 5.86363636],0
d2,1,0.518308,0.417259,[30 65] ; [6 9],[31.09090909 63.90909091] ; [ 4.90909091 10.09090909],0
n1,1,0.528758,0.396779,[ 8 29] ; [2 4],[ 8.60465116 28.39534884] ; [1.39534884 4.60465116],0
s5,1,0.547913,0.361069,[ 8 86] ; [ 2 13],[ 8.62385321 85.37614679] ; [ 1.37614679 13.62385321],0
p7,1,0.627136,0.235964,[43 49] ; [6 9],[42.13084112 49.86915888] ; [6.86915888 8.13084112],0
p6,1,0.628744,0.233768,[17 75] ; [ 2 13],[16.3364486 75.6635514] ; [ 2.6635514 12.3364486],0
p8,1,0.630747,0.231049,[33 61] ; [ 4 10],[32.2037037 61.7962963] ; [4.7962963 9.2037037],0
a5,1,0.648008,0.208421,[44 51] ; [6 9],[43.18181818 51.81818182] ; [6.81818182 8.18181818],0
v1,1,0.665249,0.18721,[30 63] ; [ 4 11],[29.27777778 63.72222222] ; [ 4.72222222 10.27777778],0
b2,1,0.719654,0.128824,[14 36] ; [2 7],[13.55932203 36.44067797] ; [2.44067797 6.55932203],0
b3,1,0.719654,0.128824,[14 36] ; [2 7],[13.55932203 36.44067797] ; [2.44067797 6.55932203],0
s4,1,0.745881,0.105024,[10 85] ; [ 2 13],[10.36363636 84.63636364] ; [ 1.63636364 13.36363636],0
d4,1,0.76178,0.091896,[66 29] ; [11  4],[66.5 28.5] ; [10.5  4.5],0
s2,1,0.794765,0.067667,[15 79] ; [ 2 13],[14.66055046 79.33944954] ; [ 2.33944954 12.66055046],0
a2,1,0.817796,0.053075,[ 8 87] ; [ 1 14],[ 7.77272727 87.22727273] ; [ 1.22727273 13.77272727],0
n5,1,0.95704,0.002902,[32 62] ; [ 5 10],[31.90825688 62.09174312] ; [5.09174312 9.90825688],0
u1,1,0.958739,0.002677,[ 6 89] ; [ 1 14],[ 6.04545455 88.95454545] ; [ 0.95454545 14.04545455],0
a3,1,0.975115,0.000973,[56 38] ; [9 6],[56.05504587 37.94495413] ; [8.94495413 6.05504587],0
n3,1,0.981947,0.000512,[23 15] ; [3 2],[22.97674419 15.02325581] ; [3.02325581 1.97674419],0
