Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4e-06,21.218722,[25 45] ; [45 14],[37.98449612 32.01550388] ; [32.01550388 26.98449612],1
p7,1,0.00136,10.259884,[33 35] ; [45 14],[41.76377953 26.23622047] ; [36.23622047 22.76377953],0
p8,1,0.005014,7.874387,[28 40] ; [39 20],[35.87401575 32.12598425] ; [31.12598425 27.87401575],0
n2,1,0.016605,5.737654,[22  2] ; [5 4],[19.63636364  4.36363636] ; [7.36363636 1.63636364],0
p6,1,0.020409,5.376601,[16 53] ; [25 34],[22.1015625 46.8984375] ; [18.8984375 40.1015625],0
v2,1,0.024636,5.049263,[25 40] ; [33 23],[31.15702479 33.84297521] ; [26.84297521 29.15702479],0
a4,1,0.027213,4.877277,[11 59] ; [19 40],[16.27906977 53.72093023] ; [13.72093023 45.27906977],0
p9,1,0.028995,4.767926,[61  8] ; [58  1],[64.1484375  4.8515625] ; [54.8515625  4.1484375],0
p11,1,0.03691,4.354548,[53 17] ; [53  6],[57.51937984 12.48062016] ; [48.48062016 10.51937984],0
p5,1,0.04098,4.176858,[ 4 66] ; [10 49],[ 7.59689922 62.40310078] ; [ 6.40310078 52.59689922],0
v3,1,0.043535,4.074489,[18 51] ; [25 33],[23.36220472 45.63779528] ; [19.63779528 38.36220472],0
d2,1,0.04494,4.020907,[11 59] ; [18 41],[15.73643411 54.26356589] ; [13.26356589 45.73643411],0
p12,1,0.04544,4.002228,[ 2 68] ; [ 7 52],[ 4.88372093 65.11627907] ; [ 4.11627907 54.88372093],0
r3,1,0.052078,3.773249,[60  9] ; [57  2],[63.0703125  5.9296875] ; [53.9296875  5.0703125],0
n4,1,0.054414,3.699965,[45 25] ; [47 12],[49.92248062 20.07751938] ; [42.07751938 16.92248062],0
p1,1,0.054659,3.692468,[ 6 64] ; [12 47],[ 9.76744186 60.23255814] ; [ 8.23255814 50.76744186],0
r4,1,0.056295,3.643307,[54 16] ; [53  6],[58.0620155 11.9379845] ; [48.9379845 10.0620155],0
a2,1,0.060271,3.529901,[ 3 67] ; [ 8 51],[ 5.96899225 64.03100775] ; [ 5.03100775 53.96899225],0
s2,1,0.06203,3.482257,[33 35] ; [19 40],[27.84251969 40.15748031] ; [24.15748031 34.84251969],0
a5,1,0.065441,3.393818,[35 35] ; [39 20],[40.15503876 29.84496124] ; [33.84496124 25.15503876],0
n5,1,0.09516,2.784846,[52 18] ; [50  8],[55.78125 14.21875] ; [46.21875 11.78125],0
d1,1,0.116738,2.460552,[ 1 69] ; [ 4 55],[ 2.71317829 67.28682171] ; [ 2.28682171 56.71317829],0
