Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,56.002749,[  9 107] ; [26 14],[26.02564103 89.97435897] ; [ 8.97435897 31.02564103],1
s2,1,0.0,28.056838,[27 88] ; [28 12],[40.80645161 74.19354839] ; [14.19354839 25.80645161],1
s6,1,2.6e-05,17.664844,[42 73] ; [30 10],[53.41935484 61.58064516] ; [18.58064516 21.41935484],1
s3,1,4.2e-05,16.775597,[45 68] ; [31  9],[56.13071895 56.86928105] ; [19.86928105 20.13071895],1
s4,1,0.000216,13.687187,[ 15 101] ; [16 24],[23.05128205 92.94871795] ; [ 7.94871795 32.05128205],1
s5,1,0.003273,8.648693,[16 97] ; [14 25],[22.30263158 90.69736842] ; [ 7.69736842 31.30263158],0
u3,1,0.008691,6.885185,[28 44] ; [12  4],[32.72727273 39.27272727] ; [7.27272727 8.72727273],0
d1,1,0.015871,5.817075,[24 92] ; [16 24],[29.74358974 86.25641026] ; [10.25641026 29.74358974],0
a3,1,0.019005,5.501082,[44 70] ; [24 16],[50.33766234 63.66233766] ; [17.66233766 22.33766234],0
p6,1,0.024497,5.059113,[16 98] ; [11 25],[20.52 93.48] ; [ 6.48 29.52],0
d5,1,0.02529,5.003946,[57 58] ; [28 12],[63.06451613 51.93548387] ; [21.93548387 18.06451613],0
d4,1,0.037233,4.339744,[68 47] ; [31  9],[73.4516129 41.5483871] ; [25.5483871 14.4516129],0
p10,1,0.04086,4.18182,[62 51] ; [28 10],[67.35099338 45.64900662] ; [22.64900662 15.35099338],0
p1,1,0.048083,3.907079,[  6 108] ; [ 6 34],[  8.88311688 105.11688312] ; [ 3.11688312 36.88311688],0
v3,1,0.051146,3.803489,[23 90] ; [14 25],[27.50657895 85.49342105] ; [ 9.49342105 29.50657895],0
r2,1,0.060765,3.516381,[96 20] ; [37  2],[99.53548387 16.46451613] ; [33.46451613  5.53548387],0
r4,1,0.07139,3.250774,[75 41] ; [32  8],[79.56410256 36.43589744] ; [27.43589744 12.56410256],0
v2,1,0.081086,3.043,[39 68] ; [20 18],[43.53793103 63.46206897] ; [15.46206897 22.53793103],0
s1,1,0.099295,2.716831,[  4 111] ; [ 4 35],[  5.97402597 109.02597403] ; [ 2.02597403 36.97402597],0
a7,1,0.100238,2.701754,[69 45] ; [30 10],[73.28571429 40.71428571] ; [25.71428571 14.28571429],0
r1,1,0.134413,2.240784,[62 53] ; [27 13],[66.03225806 48.96774194] ; [22.96774194 17.03225806],0
n4,1,0.144457,2.129827,[57 59] ; [25 15],[60.97435897 55.02564103] ; [21.02564103 18.97435897],0
n2,1,0.151537,2.056709,[26 15] ; [11  2],[28.09259259 12.90740741] ; [8.90740741 4.09259259],0
p9,1,0.153405,2.038065,[72 41] ; [29  9],[75.58278146 37.41721854] ; [25.41721854 12.58278146],0
p8,1,0.193479,1.690926,[30 86] ; [14 24],[33.14285714 82.85714286] ; [10.85714286 27.14285714],0
d3,1,0.195667,1.674427,[52 62] ; [23 17],[55.51948052 58.48051948] ; [19.48051948 20.51948052],0
b5,1,0.215073,1.536946,[71 45] ; [20 20],[67.66666667 48.33333333] ; [23.33333333 16.66666667],0
