Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000201,13.818351,[ 9 33] ; [32 22],[17.9375 24.0625] ; [23.0625 30.9375],1
p3,1,0.000527,12.018842,[ 9 32] ; [31 23],[17.26315789 23.73684211] ; [22.73684211 31.26315789],1
p2,1,0.002161,9.407431,[24 18] ; [46  8],[30.625 11.375] ; [39.375 14.625],0
p4,1,0.005831,7.601784,[13 29] ; [32 22],[19.6875 22.3125] ; [25.3125 28.6875],0
a3,1,0.030476,4.682251,[24 18] ; [42 12],[28.875 13.125] ; [37.125 16.875],0
p6,1,0.039517,4.238482,[ 6 35] ; [17 34],[10.25 30.75] ; [12.75 38.25],0
p11,1,0.050881,3.812171,[24 18] ; [41 13],[28.4375 13.5625] ; [36.5625 17.4375],0
r1,1,0.093298,2.816536,[27 15] ; [43 11],[30.625 11.375] ; [39.375 14.625],0
b5,1,0.10704,2.597387,[22 20] ; [37 17],[25.8125 16.1875] ; [33.1875 20.8125],0
d5,1,0.118167,2.441444,[34  8] ; [36 18],[30.625 11.375] ; [39.375 14.625],0
n6,1,0.130992,2.280703,[23 19] ; [37 16],[26.52631579 15.47368421] ; [33.47368421 19.52631579],0
n5,1,0.17335,1.853733,[14 28] ; [25 28],[17.24210526 24.75789474] ; [21.75789474 31.24210526],0
b1,1,0.177839,1.815588,[13 29] ; [24 30],[16.1875 25.8125] ; [20.8125 33.1875],0
a5,1,0.201914,1.628475,[26 16] ; [40 14],[28.875 13.125] ; [37.125 16.875],0
u1,1,0.241706,1.370614,[ 3 39] ; [ 8 46],[ 4.8125 37.1875] ; [ 6.1875 47.8125],0
p9,1,0.291619,1.112131,[36  5] ; [43 11],[34.09473684  6.90526316] ; [44.90526316  9.09473684],0
p10,1,0.315963,1.005583,[29 12] ; [43 11],[31.07368421  9.92631579] ; [40.92631579 13.07368421],0
s7,1,0.323894,0.973157,[14 27] ; [23 29],[16.31182796 24.68817204] ; [20.68817204 31.31182796],0
d1,1,0.340387,0.908974,[22 20] ; [23 31],[19.6875 22.3125] ; [25.3125 28.6875],0
n3,1,0.372944,0.793833,[13  9] ; [11  4],[14.27027027  7.72972973] ; [9.72972973 5.27027027],0
d4,1,0.399728,0.709144,[33  9] ; [46  8],[34.5625  7.4375] ; [44.4375  9.5625],0
a1,1,0.440003,0.596273,[ 1 41] ; [ 3 51],[ 1.75 40.25] ; [ 2.25 51.75],0
