Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.008386,6.949091,[6 9] ; [10  1],[9.23076923 5.76923077] ; [6.76923077 4.23076923],0
a6,1,0.023353,5.142078,[ 7 18] ; [16 11],[11.05769231 13.94230769] ; [11.94230769 15.05769231],0
p9,1,0.048933,3.877636,[15 10] ; [22  4],[18.1372549  6.8627451] ; [18.8627451  7.1372549],0
p10,1,0.056686,3.631788,[14 11] ; [21  5],[17.15686275  7.84313725] ; [17.84313725  8.15686275],0
a4,1,0.06811,3.328,[ 3 22] ; [ 9 18],[ 5.76923077 19.23076923] ; [ 6.23076923 20.76923077],0
b3,1,0.080438,3.05602,[ 2 13] ; [ 7 10],[ 4.21875 10.78125] ; [ 4.78125 12.21875],0
b2,1,0.080438,3.05602,[ 2 13] ; [ 7 10],[ 4.21875 10.78125] ; [ 4.78125 12.21875],0
s4,1,0.09754,2.74532,[ 6 19] ; [ 2 25],[ 3.84615385 21.15384615] ; [ 4.15384615 22.84615385],0
v4,1,0.105431,2.621399,[20  5] ; [16 11],[17.30769231  7.69230769] ; [18.69230769  8.30769231],0
s7,1,0.123413,2.373463,[ 4 19] ; [ 9 15],[ 6.36170213 16.63829787] ; [ 6.63829787 17.36170213],0
p11,1,0.141681,2.159605,[17  8] ; [23  4],[19.23076923  5.76923077] ; [20.76923077  6.23076923],0
a3,1,0.165205,1.925926,[10 15] ; [16 11],[12.5 12.5] ; [13.5 13.5],0
d5,1,0.173689,1.850815,[13 12] ; [19  8],[15.38461538  9.61538462] ; [16.61538462 10.38461538],0
s8,1,0.198517,1.653254,[ 6 19] ; [11 16],[ 8.17307692 16.82692308] ; [ 8.82692308 18.17307692],0
r1,1,0.218555,1.513833,[ 7 18] ; [12 15],[ 9.13461538 15.86538462] ; [ 9.86538462 17.13461538],0
p7,1,0.271175,1.210794,[11 14] ; [16 11],[12.98076923 12.01923077] ; [14.01923077 12.98076923],0
s3,1,0.322009,0.980769,[10 15] ; [ 7 19],[ 8.33333333 16.66666667] ; [ 8.66666667 17.33333333],0
v1,1,0.334606,0.93099,[ 7 18] ; [11 16],[ 8.65384615 16.34615385] ; [ 9.34615385 17.65384615],0
a8,1,0.334975,0.929567,[ 5 18] ; [ 3 23],[ 3.75510204 19.24489796] ; [ 4.24489796 21.75510204],0
p12,1,0.336311,0.924444,[ 1 24] ; [ 3 24],[ 1.92307692 23.07692308] ; [ 2.07692308 24.92307692],0
a1,1,0.336311,0.924444,[ 1 24] ; [ 3 24],[ 1.92307692 23.07692308] ; [ 2.07692308 24.92307692],0
s1,1,0.336311,0.924444,[ 1 24] ; [ 3 24],[ 1.92307692 23.07692308] ; [ 2.07692308 24.92307692],0
p8,1,0.391691,0.733686,[10 15] ; [14 13],[11.53846154 13.46153846] ; [12.46153846 14.53846154],0
s6,1,0.405033,0.693333,[11 14] ; [15 12],[12.5 12.5] ; [13.5 13.5],0
a7,1,0.415801,0.662152,[12 13] ; [16 11],[13.46153846 11.53846154] ; [14.53846154 12.46153846],0
v3,1,0.422996,0.641975,[ 5 20] ; [ 8 19],[ 6.25 18.75] ; [ 6.75 20.25],0
d4,1,0.431629,0.618436,[16  9] ; [20  7],[17.30769231  7.69230769] ; [18.69230769  8.30769231],0
p6,1,0.46049,0.544704,[ 7 18] ; [ 5 21],[ 5.88235294 19.11764706] ; [ 6.11764706 19.88235294],0
d2,1,0.48762,0.481773,[ 7 18] ; [10 17],[ 8.17307692 16.82692308] ; [ 8.82692308 18.17307692],0
p5,1,0.515095,0.423704,[ 3 22] ; [ 5 22],[ 3.84615385 21.15384615] ; [ 4.15384615 22.84615385],0
b5,1,0.554464,0.349381,[15 10] ; [14 13],[13.94230769 11.05769231] ; [15.05769231 11.94230769],0
b1,1,0.571254,0.320588,[14 11] ; [13 14],[12.98076923 12.01923077] ; [14.01923077 12.98076923],0
n5,1,0.609156,0.261405,[14 11] ; [17 10],[14.90384615 10.09615385] ; [16.09615385 10.90384615],0
n2,1,0.639207,0.21978,[7 3] ; [6 4],[6.5 3.5] ; [6.5 3.5],0
p3,1,0.692005,0.156923,[ 9 16] ; [ 8 18],[ 8.33333333 16.66666667] ; [ 8.66666667 17.33333333],0
b4,1,0.764334,0.089877,[14 11] ; [14 13],[13.46153846 11.53846154] ; [14.53846154 12.46153846],0
d3,1,0.781354,0.077037,[13 12] ; [13 14],[12.5 12.5] ; [13.5 13.5],0
p4,1,0.797205,0.066032,[13 12] ; [15 12],[13.46153846 11.53846154] ; [14.53846154 12.46153846],0
s5,1,0.810445,0.057529,[ 4 21] ; [ 5 22],[ 4.32692308 20.67307692] ; [ 4.67307692 22.32692308],0
r4,1,0.826318,0.048148,[10 15] ; [10 17],[ 9.61538462 15.38461538] ; [10.38461538 16.61538462],0
n6,1,0.842992,0.039231,[17  8] ; [17  9],[16.66666667  8.33333333] ; [17.33333333  8.66666667],0
u3,1,0.872518,0.025748,[ 5 10] ; [4 7],[5.19230769 9.80769231] ; [3.80769231 7.19230769],0
v2,1,0.877192,0.02388,[11 14] ; [12 14],[11.2745098 13.7254902] ; [11.7254902 14.2745098],0
d1,1,0.896885,0.016795,[ 7 18] ; [ 8 19],[ 7.21153846 17.78846154] ; [ 7.78846154 19.21153846],0
p2,1,0.896885,0.016795,[18  7] ; [19  8],[17.78846154  7.21153846] ; [19.21153846  7.78846154],0
s2,1,0.924558,0.008967,[ 8 17] ; [ 8 18],[ 7.84313725 17.15686275] ; [ 8.15686275 17.84313725],0
n4,1,0.956623,0.002958,[15 10] ; [16 11],[14.90384615 10.09615385] ; [16.09615385 10.90384615],0
n3,1,1.0,0.0,[7 3] ; [7 3],[7. 3.] ; [7. 3.],0
n1,1,1.0,0.0,[3 7] ; [3 7],[3. 7.] ; [3. 7.],0
