Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,55.287493,[111  34] ; [20 59],[84.79910714 60.20089286] ; [46.20089286 32.79910714],1
a6,1,0.0,45.760965,[123  23] ; [32 47],[100.57777778  45.42222222] ; [54.42222222 24.57777778],1
a2,1,1.2e-05,19.203688,[ 44 102] ; [ 4 75],[ 31.14666667 114.85333333] ; [16.85333333 62.14666667],1
r4,1,3.7e-05,17.00604,[123  23] ; [47 32],[110.31111111  35.68888889] ; [59.68888889 19.31111111],1
r1,1,0.000256,13.367119,[110  35] ; [41 38],[97.74553571 47.25446429] ; [53.25446429 25.74553571],1
d5,1,0.000554,11.924429,[118  28] ; [47 32],[107.06666667  38.93333333] ; [57.93333333 21.06666667],1
r3,1,0.001569,9.995821,[130  15] ; [58 21],[121.69642857  23.30357143] ; [66.30357143 12.69642857],0
d1,1,0.003531,8.510655,[87 59] ; [31 48],[76.56888889 69.43111111] ; [41.43111111 37.56888889],0
a5,1,0.004682,7.998515,[113  33] ; [47 32],[103.82222222  42.17777778] ; [56.17777778 22.82222222],0
p3,1,0.004967,7.891393,[71 74] ; [23 55],[61.12107623 83.87892377] ; [32.87892377 45.12107623],0
p4,1,0.006775,7.33167,[79 67] ; [27 50],[69.39910314 76.60089686] ; [36.60089686 40.39910314],0
b5,1,0.010558,6.538162,[87 59] ; [33 46],[77.86666667 68.13333333] ; [42.13333333 36.86666667],0
r2,1,0.015907,5.813136,[132  12] ; [62 15],[126.40723982  17.59276018] ; [67.59276018  9.40723982],0
p10,1,0.023733,5.114025,[116  29] ; [51 26],[109.07657658  35.92342342] ; [57.92342342 19.07657658],0
n4,1,0.034928,4.448711,[127  19] ; [60 19],[121.34222222  24.65777778] ; [65.65777778 13.34222222],0
p2,1,0.038243,4.294162,[112  34] ; [49 28],[105.40807175  40.59192825] ; [55.59192825 21.40807175],0
u1,1,0.040936,4.178664,[ 23 123] ; [ 5 74],[ 18.16888889 127.83111111] ; [ 9.83111111 69.16888889],0
v4,1,0.06077,3.516235,[131  15] ; [63 15],[126.44642857  19.55357143] ; [67.55357143 10.44642857],0
p9,1,0.070575,3.269589,[116  28] ; [53 23],[110.61818182  33.38181818] ; [58.38181818 17.61818182],0
p6,1,0.072837,3.217898,[ 45 100] ; [15 61],[ 39.36651584 105.63348416] ; [20.63348416 55.36651584],0
a4,1,0.082038,3.024058,[72 74] ; [29 49],[65.83035714 80.16964286] ; [35.16964286 42.83035714],0
d4,1,0.089868,2.87673,[111  35] ; [51 27],[105.58928571  40.41071429] ; [56.41071429 21.58928571],0
p11,1,0.093339,2.815828,[113  33] ; [53 26],[107.71555556  38.28444444] ; [58.28444444 20.71555556],0
u3,1,0.101809,2.676981,[22 24] ; [ 8 20],[18.64864865 27.35135135] ; [11.35135135 16.64864865],0
p8,1,0.130929,2.281455,[72 71] ; [31 47],[66.64705882 76.35294118] ; [36.35294118 41.64705882],0
a8,1,0.214429,1.54127,[ 18 111] ; [ 6 68],[ 15.25123153 113.74876847] ; [ 8.74876847 65.25123153],0
u2,1,0.226512,1.462633,[22 24] ; [ 9 18],[19.53424658 26.46575342] ; [11.46575342 15.53424658],0
n3,1,0.250005,1.323275,[25  9] ; [18 12],[22.84375 11.15625] ; [20.15625  9.84375],0
b4,1,0.282258,1.156184,[83 63] ; [39 40],[79.16444444 66.83555556] ; [42.83555556 36.16444444],0
s5,1,0.297153,1.086929,[ 15 127] ; [12 66],[ 17.42727273 124.57272727] ; [ 9.57272727 68.42727273],0
s3,1,0.304026,1.056452,[ 42 102] ; [18 61],[ 38.74439462 105.25560538] ; [21.25560538 57.74439462],0
s2,1,0.325623,0.966227,[ 32 112] ; [13 65],[ 29.18918919 114.81081081] ; [15.81081081 62.18918919],0
v3,1,0.368489,0.808754,[55 86] ; [26 53],[51.91363636 89.08636364] ; [29.08636364 49.91363636],0
n6,1,0.406878,0.687906,[120  25] ; [61 17],[117.69058296  27.30941704] ; [63.30941704 14.69058296],0
s1,1,0.454676,0.558968,[  3 140] ; [ 3 76],[  3.86486486 139.13513514] ; [ 2.13513514 76.86486486],0
a3,1,0.455316,0.557385,[100  44] ; [51 28],[97.50672646 46.49327354] ; [53.49327354 25.50672646],0
v2,1,0.480968,0.496669,[71 68] ; [35 41],[68.53023256 70.46976744] ; [37.46976744 38.53023256],0
n2,1,0.500769,0.453307,[26  9] ; [20 10],[24.76923077 10.23076923] ; [21.23076923  8.76923077],0
v1,1,0.527788,0.398649,[71 73] ; [35 43],[68.75675676 75.24324324] ; [37.24324324 40.75675676],0
p5,1,0.531798,0.390955,[  8 136] ; [ 6 72],[  9.08108108 134.91891892] ; [ 4.91891892 73.08108108],0
n1,1,0.549166,0.358814,[15 18] ; [11 18],[13.83870968 19.16129032] ; [12.16129032 16.83870968],0
b1,1,0.571986,0.319371,[59 87] ; [35 44],[60.99555556 85.00444444] ; [33.00444444 45.99555556],0
p1,1,0.615884,0.251695,[ 14 132] ; [ 6 73],[ 12.97777778 133.02222222] ; [ 7.02222222 71.97777778],0
b2,1,0.620836,0.244695,[36 48] ; [25 28],[37.40145985 46.59854015] ; [23.59854015 29.40145985],0
b3,1,0.620836,0.244695,[36 48] ; [25 28],[37.40145985 46.59854015] ; [23.59854015 29.40145985],0
d2,1,0.700908,0.147529,[70 76] ; [39 38],[71.3632287 74.6367713] ; [37.6367713 39.3632287],0
p12,1,0.718014,0.130404,[  5 140] ; [ 2 76],[  4.55156951 140.44843049] ; [ 2.44843049 75.55156951],0
p7,1,0.784026,0.075118,[79 66] ; [41 37],[78.02690583 66.97309417] ; [41.97309417 36.02690583],0
s8,1,0.787764,0.072477,[ 31 115] ; [18 61],[ 31.79555556 114.20444444] ; [17.20444444 61.79555556],0
a1,1,0.794302,0.067979,[  8 138] ; [ 5 74],[  8.43555556 137.56444444] ; [ 4.56444444 74.43555556],0
s7,1,0.904357,0.014438,[ 33 105] ; [18 55],[ 33.35545024 104.64454976] ; [17.64454976 55.35545024],0
s4,1,0.986882,0.00027,[ 11 135] ; [ 6 73],[ 11.03111111 134.96888889] ; [ 5.96888889 73.03111111],0
