Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-06,22.956737,[ 1 36] ; [6 3],[ 5.63043478 31.36956522] ; [1.36956522 7.63043478],1
p6,1,0.003964,8.300305,[ 1 35] ; [3 6],[ 3.2 32.8] ; [0.8 8.2],0
p2,1,0.00518,7.815505,[ 7 29] ; [6 3],[10.4 25.6] ; [2.6 6.4],0
s2,1,0.006492,7.408353,[ 3 34] ; [4 5],[ 5.63043478 31.36956522] ; [1.36956522 7.63043478],0
p4,1,0.007161,7.232143,[ 5 31] ; [5 4],[ 8. 28.] ; [2. 7.],0
s5,1,0.026586,4.91749,[ 3 34] ; [3 5],[ 4.93333333 32.06666667] ; [1.06666667 6.93333333],0
p10,1,0.029262,4.752155,[10 26] ; [6 3],[12.8 23.2] ; [3.2 5.8],0
n6,1,0.030975,4.654334,[14 23] ; [7 2],[16.89130435 20.10869565] ; [4.10869565 4.89130435],0
s3,1,0.032671,4.562963,[ 7 28] ; [5 4],[ 9.54545455 25.45454545] ; [2.45454545 6.54545455],0
u1,1,0.033417,4.524292,[ 1 36] ; [2 7],[ 2.41304348 34.58695652] ; [0.58695652 8.41304348],0
p9,1,0.034098,4.489796,[10 25] ; [6 3],[12.72727273 22.27272727] ; [3.27272727 5.72727273],0
r1,1,0.084887,2.968758,[13 24] ; [6 3],[15.2826087 21.7173913] ; [3.7173913 5.2826087],0
v4,1,0.086431,2.939621,[17 20] ; [7 2],[19.30434783 17.69565217] ; [4.69565217 4.30434783],0
p1,1,0.091587,2.846253,[ 4 33] ; [3 6],[ 5.63043478 31.36956522] ; [1.36956522 7.63043478],0
s6,1,0.107382,2.592333,[ 7 30] ; [4 5],[ 8.84782609 28.15217391] ; [2.15217391 6.84782609],0
d3,1,0.117657,2.448233,[14 23] ; [6 3],[16.08695652 20.91304348] ; [3.91304348 5.08695652],0
s4,1,0.159456,1.979374,[ 5 32] ; [3 6],[ 6.43478261 30.56521739] ; [1.56521739 7.43478261],0
p8,1,0.172356,1.862331,[ 5 31] ; [3 6],[ 6.4 29.6] ; [1.6 7.4],0
a7,1,0.207079,1.591728,[16 21] ; [6 3],[17.69565217 19.30434783] ; [4.30434783 4.69565217],0
n2,1,0.233703,1.418182,[9 9] ; [6 2],[10.38461538  7.61538462] ; [4.61538462 3.38461538],0
n5,1,0.253943,1.301478,[26 11] ; [8 1],[27.34782609  9.65217391] ; [6.65217391 2.34782609],0
p12,1,0.267274,1.230685,[ 1 36] ; [1 8],[ 1.60869565 35.39130435] ; [0.39130435 8.60869565],0
b5,1,0.332961,0.937347,[14 23] ; [5 4],[15.2826087 21.7173913] ; [3.7173913 5.2826087],0
r4,1,0.361946,0.831131,[ 4 33] ; [2 7],[ 4.82608696 32.17391304] ; [1.17391304 7.82608696],0
a2,1,0.361946,0.831131,[ 4 33] ; [2 7],[ 4.82608696 32.17391304] ; [1.17391304 7.82608696],0
n1,1,0.395416,0.722222,[ 8 10] ; [5 3],[9. 9.] ; [4. 4.],0
a6,1,0.415107,0.664126,[15 22] ; [5 4],[16.08695652 20.91304348] ; [3.91304348 5.08695652],0
b2,1,0.415439,0.663182,[11 13] ; [2 5],[10.06451613 13.93548387] ; [2.93548387 4.06451613],0
b3,1,0.415439,0.663182,[11 13] ; [2 5],[10.06451613 13.93548387] ; [2.93548387 4.06451613],0
d4,1,0.493629,0.468607,[20 17] ; [6 3],[20.91304348 16.08695652] ; [5.08695652 3.91304348],0
d1,1,0.497409,0.46046,[12 25] ; [4 5],[12.86956522 24.13043478] ; [3.13043478 5.86956522],0
b4,1,0.506012,0.442305,[21 16] ; [4 5],[20.10869565 16.89130435] ; [4.89130435 4.10869565],0
v2,1,0.537261,0.380639,[ 5 31] ; [2 7],[ 5.6 30.4] ; [1.4 7.6],0
p7,1,0.537471,0.380247,[ 7 28] ; [1 8],[ 6.36363636 28.63636364] ; [1.63636364 7.36363636],0
v1,1,0.580941,0.304716,[ 9 28] ; [3 6],[ 9.65217391 27.34782609] ; [2.34782609 6.65217391],0
u2,1,0.61209,0.257143,[ 3 12] ; [1 2],[ 3.33333333 11.66666667] ; [0.66666667 2.33333333],0
n3,1,0.67844,0.171887,[ 7 10] ; [4 4],[7.48 9.52] ; [3.52 4.48],0
a4,1,0.714112,0.134205,[14 21] ; [3 6],[13.52272727 21.47727273] ; [3.47727273 5.52272727],0
v3,1,0.768448,0.086675,[10 27] ; [2 7],[ 9.65217391 27.34782609] ; [2.34782609 6.65217391],0
s1,1,0.774304,0.082225,[ 3 34] ; [1 8],[ 3.2173913 33.7826087] ; [0.7826087 8.2173913],0
u3,1,0.813945,0.055385,[ 4 11] ; [1 2],[ 4.16666667 10.83333333] ; [0.83333333 2.16666667],0
d5,1,0.820853,0.051279,[19 18] ; [5 4],[19.30434783 17.69565217] ; [4.69565217 4.30434783],0
a5,1,0.820853,0.051279,[18 19] ; [4 5],[17.69565217 19.30434783] ; [4.30434783 4.69565217],0
a3,1,0.832192,0.044898,[22 13] ; [6 3],[22.27272727 12.72727273] ; [5.72727273 3.27272727],0
p3,1,0.852179,0.034722,[ 7 29] ; [2 7],[ 7.2 28.8] ; [1.8 7.2],0
r2,1,0.863361,0.029617,[23 12] ; [5 3],[22.79069767 12.20930233] ; [5.20930233 2.79069767],0
d2,1,0.880048,0.022773,[15 21] ; [4 5],[15.2 20.8] ; [3.8 5.2],0
b1,1,0.918927,0.01036,[24 13] ; [6 3],[24.13043478 12.86956522] ; [5.86956522 3.13043478],0
n4,1,0.958762,0.002674,[25 12] ; [6 3],[24.93478261 12.06521739] ; [6.06521739 2.93478261],0
