Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000117,14.83871,[25 20] ; [21 72],[15. 30.] ; [31. 62.],1
s2,1,0.000281,13.195247,[22 25] ; [17 78],[12.9084507 34.0915493] ; [26.0915493 68.9084507],1
s6,1,0.000824,11.186243,[26 19] ; [27 68],[17.03571429 27.96428571] ; [35.96428571 59.03571429],1
v3,1,0.001002,10.824048,[18 27] ; [14 80],[10.35971223 34.64028777] ; [21.64028777 72.35971223],0
u3,1,0.011086,6.451556,[11  8] ; [13 38],[ 6.51428571 12.48571429] ; [17.48571429 33.51428571],0
p10,1,0.011594,6.37185,[35 11] ; [49 42],[28.20437956 17.79562044] ; [55.79562044 35.20437956],0
p3,1,0.01536,5.874676,[20 25] ; [23 72],[13.82142857 31.17857143] ; [29.17857143 65.82142857],0
p9,1,0.015462,5.863037,[39  8] ; [58 34],[32.79856115 14.20143885] ; [64.20143885 27.79856115],0
s3,1,0.020619,5.358692,[22 25] ; [25 67],[15.89208633 31.10791367] ; [31.10791367 60.89208633],0
s5,1,0.022451,5.210528,[11 34] ; [ 9 83],[ 6.56934307 38.43065693] ; [13.43065693 78.56934307],0
p4,1,0.027633,4.850841,[23 23] ; [29 65],[17.08571429 28.91428571] ; [34.91428571 59.08571429],0
v4,1,0.034886,4.450758,[41  6] ; [67 27],[36. 11.] ; [72. 22.],0
a6,1,0.049889,3.845169,[19 28] ; [55 40],[24.49295775 22.50704225] ; [49.50704225 45.49295775],0
a7,1,0.054466,3.698361,[32 15] ; [48 46],[26.66666667 20.33333333] ; [53.33333333 40.66666667],0
a5,1,0.065304,3.397281,[27 20] ; [39 56],[21.84507042 25.15492958] ; [44.15492958 50.84507042],0
p5,1,0.066276,3.37293,[ 6 41] ; [ 4 89],[ 3.35714286 43.64285714] ; [ 6.64285714 86.35714286],0
a8,1,0.080059,3.063712,[ 1 43] ; [10 80],[ 3.6119403 40.3880597] ; [ 7.3880597 82.6119403],0
a3,1,0.108493,2.576036,[28 19] ; [43 52],[23.5 23.5] ; [47.5 47.5],0
d4,1,0.119026,2.430096,[34 13] ; [56 39],[29.78873239 17.21126761] ; [60.21126761 34.78873239],0
d1,1,0.125675,2.345131,[21 26] ; [30 65],[16.88028169 30.11971831] ; [34.11971831 60.88028169],0
s8,1,0.127216,2.326156,[ 8 39] ; [ 8 87],[ 5.29577465 41.70422535] ; [10.70422535 84.29577465],0
b1,1,0.171303,1.871505,[25 22] ; [39 56],[21.18309859 25.81690141] ; [42.81690141 52.18309859],0
s1,1,0.197762,1.658824,[ 3 44] ; [ 2 92],[ 1.66666667 45.33333333] ; [ 3.33333333 90.66666667],0
n5,1,0.217115,1.523336,[33 14] ; [56 38],[29.66666667 17.33333333] ; [59.33333333 34.66666667],0
d5,1,0.217115,1.523336,[33 14] ; [56 38],[29.66666667 17.33333333] ; [59.33333333 34.66666667],0
p2,1,0.231987,1.428635,[32 14] ; [55 38],[28.79136691 17.20863309] ; [58.20863309 34.79136691],0
p11,1,0.240789,1.375966,[32 15] ; [55 40],[28.79577465 18.20422535] ; [58.20422535 36.79577465],0
n4,1,0.246073,1.345462,[31 16] ; [53 42],[27.8028169 19.1971831] ; [56.1971831 38.8028169],0
a4,1,0.300784,1.070717,[17 30] ; [26 68],[14.33333333 32.66666667] ; [28.66666667 65.33333333],0
s4,1,0.303247,1.059859,[ 9 38] ; [12 83],[ 6.95070423 40.04929577] ; [14.04929577 80.95070423],0
p12,1,0.353523,0.86077,[ 3 43] ; [ 3 92],[ 1.95744681 44.04255319] ; [ 4.04255319 90.95744681],0
p8,1,0.356827,0.849029,[19 27] ; [31 62],[16.54676259 29.45323741] ; [33.45323741 59.54676259],0
u1,1,0.382113,0.763893,[ 1 46] ; [ 5 90],[ 1.98591549 45.01408451] ; [ 4.01408451 90.98591549],0
p7,1,0.391024,0.735754,[23 24] ; [38 54],[20.62589928 26.37410072] ; [40.37410072 51.62589928],0
d3,1,0.439298,0.598116,[27 20] ; [47 46],[24.84285714 22.15714286] ; [49.15714286 43.84285714],0
n1,1,0.457726,0.551449,[5 9] ; [ 8 24],[ 3.95652174 10.04347826] ; [ 9.04347826 22.95652174],0
n2,1,0.480079,0.498684,[10  4] ; [20 13],[8.93617021 5.06382979] ; [21.06382979 11.93617021],0
r4,1,0.511937,0.430106,[26 21] ; [47 48],[24.16197183 22.83802817] ; [48.83802817 46.16197183],0
n6,1,0.597221,0.279208,[35 12] ; [66 28],[33.66666667 13.33333333] ; [67.33333333 26.66666667],0
r2,1,0.635704,0.224405,[35 12] ; [65 27],[33.81294964 13.18705036] ; [66.18705036 25.81294964],0
r3,1,0.646503,0.210337,[36 10] ; [71 24],[34.90780142 11.09219858] ; [72.09219858 22.90780142],0
u2,1,0.655181,0.19943,[ 8 10] ; [20 32],[ 7.2 10.8] ; [20.8 31.2],0
a2,1,0.66901,0.182762,[ 3 44] ; [ 8 87],[ 3.64084507 43.35915493] ; [ 7.35915493 87.64084507],0
p1,1,0.680582,0.169471,[ 5 42] ; [ 8 86],[ 4.33333333 42.66666667] ; [ 8.66666667 85.33333333],0
b4,1,0.759705,0.093556,[27 20] ; [52 43],[26.14788732 20.85211268] ; [52.85211268 42.14788732],0
n3,1,0.812405,0.056323,[9 5] ; [20 13],[8.63829787 5.36170213] ; [20.36170213 12.63829787],0
p6,1,0.832667,0.04464,[10 35] ; [19 73],[ 9.52554745 35.47445255] ; [19.47445255 72.52554745],0
b5,1,0.865972,0.028486,[29 18] ; [60 35],[29.45774648 17.54225352] ; [59.54225352 35.45774648],0
b2,1,0.907464,0.013511,[ 8 17] ; [17 34],[ 8.22368421 16.77631579] ; [16.77631579 34.22368421],0
b3,1,0.907464,0.013511,[ 8 17] ; [17 34],[ 8.22368421 16.77631579] ; [16.77631579 34.22368421],0
d2,1,0.962297,0.002235,[18 29] ; [36 57],[18.12857143 28.87142857] ; [35.87142857 57.12857143],0
a1,1,0.985591,0.000326,[ 4 43] ; [ 8 87],[ 3.97183099 43.02816901] ; [ 8.02816901 86.97183099],0
