Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,36.438028,[100   5] ; [3 6],[94.86842105 10.13157895] ; [8.13157895 0.86842105],1
r3,1,0.0,27.062687,[104   2] ; [6 4],[100.51724138   5.48275862] ; [9.48275862 0.51724138],1
r1,1,0.001024,10.783099,[93 12] ; [5 5],[89.47826087 15.52173913] ; [8.52173913 1.47826087],0
v4,1,0.00256,9.097205,[101   5] ; [7 3],[98.68965517  7.31034483] ; [9.31034483 0.68965517],0
s1,1,0.003004,8.805105,[  2 102] ; [2 8],[  3.64912281 100.35087719] ; [0.35087719 9.64912281],0
p7,1,0.011824,6.337059,[77 28] ; [3 6],[73.68421053 31.31578947] ; [6.31578947 2.68421053],0
a5,1,0.045576,3.997182,[83 23] ; [5 5],[80.4137931 25.5862069] ; [7.5862069 2.4137931],0
n1,1,0.050088,3.838503,[ 5 16] ; [5 3],[ 7.24137931 13.75862069] ; [2.75862069 5.24137931],0
d1,1,0.063017,3.456153,[64 42] ; [3 7],[61.22413793 44.77586207] ; [5.77586207 4.22413793],0
s6,1,0.068208,3.325622,[72 33] ; [4 6],[69.39130435 35.60869565] ; [6.60869565 3.39130435],0
p2,1,0.075903,3.150513,[88 18] ; [6 4],[85.89655172 20.10344828] ; [8.10344828 1.89655172],0
a6,1,0.087978,2.910979,[71 35] ; [4 6],[68.53448276 37.46551724] ; [6.46551724 3.53448276],0
v3,1,0.088637,2.89896,[50 54] ; [2 8],[47.43859649 56.56140351] ; [4.56140351 5.43859649],0
v2,1,0.097887,2.739631,[59 44] ; [3 7],[56.51327434 46.48672566] ; [5.48672566 4.51327434],0
d5,1,0.114801,2.486847,[86 20] ; [6 4],[84.06896552 21.93103448] ; [7.93103448 2.06896552],0
b5,1,0.119927,2.418268,[59 47] ; [3 7],[56.65517241 49.34482759] ; [5.34482759 4.65517241],0
p3,1,0.134564,2.239042,[58 48] ; [3 7],[55.74137931 50.25862069] ; [5.25862069 4.74137931],0
n2,1,0.144377,2.130682,[13  9] ; [7 1],[14.66666667  7.33333333] ; [5.33333333 2.66666667],0
p11,1,0.185758,1.750943,[91 15] ; [7 3],[89.55172414 16.44827586] ; [8.44827586 1.55172414],0
p5,1,0.223412,1.482317,[16 90] ; [3 7],[17.36206897 88.63793103] ; [1.63793103 8.36206897],0
p6,1,0.227456,1.456698,[45 60] ; [2 7],[43.28947368 61.71052632] ; [3.71052632 5.28947368],0
d3,1,0.251394,1.31554,[72 34] ; [5 5],[70.36206897 35.63793103] ; [6.63793103 3.36206897],0
n4,1,0.263847,1.248459,[89 17] ; [7 3],[87.72413793 18.27586207] ; [8.27586207 1.72413793],0
s5,1,0.284795,1.144066,[28 74] ; [1 8],[26.64864865 75.35135135] ; [2.35135135 6.64864865],0
u2,1,0.298223,1.082126,[21  7] ; [2 2],[20.125  7.875] ; [2.875 1.125],0
a7,1,0.358197,0.844205,[78 28] ; [6 4],[76.75862069 29.24137931] ; [7.24137931 2.75862069],0
a3,1,0.358197,0.844205,[78 28] ; [6 4],[76.75862069 29.24137931] ; [7.24137931 2.75862069],0
b2,1,0.37325,0.792817,[35 41] ; [2 5],[33.87951807 42.12048193] ; [3.12048193 3.87951807],0
b3,1,0.37325,0.792817,[35 41] ; [2 5],[33.87951807 42.12048193] ; [3.12048193 3.87951807],0
d4,1,0.398658,0.71237,[86 20] ; [7 3],[84.98275862 21.01724138] ; [8.01724138 1.98275862],0
s7,1,0.403094,0.699077,[58 45] ; [7 3],[59.24778761 43.75221239] ; [5.75221239 4.24778761],0
d2,1,0.404371,0.695289,[57 49] ; [4 6],[55.74137931 50.25862069] ; [5.25862069 4.74137931],0
a2,1,0.414838,0.664892,[22 84] ; [1 9],[21.01724138 84.98275862] ; [1.98275862 8.01724138],0
a4,1,0.522828,0.40831,[42 64] ; [5 5],[42.94827586 63.05172414] ; [4.05172414 5.94827586],0
u1,1,0.525971,0.40217,[19 87] ; [1 9],[18.27586207 87.72413793] ; [1.72413793 8.27586207],0
p8,1,0.531013,0.392453,[62 41] ; [5 5],[61.07079646 41.92920354] ; [5.92920354 4.07079646],0
p4,1,0.562569,0.335276,[63 43] ; [5 5],[62.13793103 43.86206897] ; [5.86206897 4.13793103],0
u3,1,0.683178,0.16657,[17 11] ; [2 2],[16.625 11.375] ; [2.375 1.625],0
n6,1,0.74621,0.104743,[89 17] ; [8 2],[88.63793103 17.36206897] ; [8.36206897 1.63793103],0
n5,1,0.768059,0.086975,[78 27] ; [7 3],[77.60869565 27.39130435] ; [7.39130435 2.60869565],0
p1,1,0.781654,0.07682,[ 8 98] ; [1 9],[ 8.22413793 97.77586207] ; [0.77586207 9.22413793],0
s3,1,0.877603,0.023719,[34 71] ; [3 7],[33.7826087 71.2173913] ; [3.2173913 6.7826087],0
v1,1,0.883367,0.021522,[54 49] ; [5 5],[53.77876106 49.22123894] ; [5.22123894 4.77876106],0
p9,1,0.891565,0.018584,[93 12] ; [9 1],[93.13043478 11.86956522] ; [8.86956522 1.13043478],0
b4,1,0.934699,0.006713,[65 41] ; [6 4],[64.87931034 41.12068966] ; [6.12068966 3.87931034],0
s4,1,0.970121,0.001403,[11 95] ; [1 9],[10.96551724 95.03448276] ; [1.03448276 8.96551724],0
n3,1,0.976445,0.000872,[13  8] ; [5 3],[13.03448276  7.96551724] ; [4.96551724 3.03448276],0
b1,1,0.981396,0.000544,[42 64] ; [4 6],[42.03448276 63.96551724] ; [3.96551724 6.03448276],0
