Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,43.97521,[27 33] ; [118  14],[45.3125 14.6875] ; [99.6875 32.3125],1
d4,1,3e-06,21.563729,[32 28] ; [111  20],[44.92146597 15.07853403] ; [98.07853403 32.92146597],1
r2,1,4.1e-05,16.830271,[41 19] ; [120  11],[50.57591623  9.42408377] ; [110.42408377  20.57591623],1
v2,1,0.000459,12.274415,[17 42] ; [69 53],[28.03314917 30.96685083] ; [57.96685083 64.03314917],1
r3,1,0.002753,8.964356,[47 13] ; [123   9],[53.125  6.875] ; [116.875  15.125],0
d1,1,0.003694,8.428668,[17 43] ; [67 65],[26.25 33.75] ; [57.75 74.25],0
v3,1,0.006248,7.477322,[ 7 51] ; [38 85],[14.4198895 43.5801105] ; [30.5801105 92.4198895],0
u2,1,0.010937,6.475593,[13 19] ; [32 14],[18.46153846 13.53846154] ; [26.53846154 19.46153846],0
p2,1,0.013708,6.075358,[34 25] ; [98 32],[41.20634921 17.79365079] ; [90.79365079 39.20634921],0
d5,1,0.02034,5.382492,[34 26] ; [97 35],[40.9375 19.0625] ; [90.0625 41.9375],0
b1,1,0.020983,5.32823,[31 29] ; [45 87],[23.75 36.25] ; [52.25 79.75],0
d3,1,0.021695,5.270097,[29 30] ; [88 44],[36.14136126 22.85863874] ; [80.85863874 51.14136126],0
a7,1,0.026784,4.904712,[35 25] ; [98 34],[41.5625 18.4375] ; [91.4375 40.5625],0
v1,1,0.027374,4.867078,[18 41] ; [61 67],[24.92513369 34.07486631] ; [54.07486631 73.92513369],0
v4,1,0.033669,4.511455,[49 10] ; [121   9],[53.06878307  5.93121693] ; [116.93121693  13.06878307],0
a3,1,0.035928,4.400514,[28 31] ; [84 48],[34.59685864 24.40314136] ; [77.40314136 54.59685864],0
a6,1,0.036575,4.370101,[31 29] ; [89 43],[37.5 22.5] ; [82.5 49.5],0
a4,1,0.053421,3.730689,[13 47] ; [47 85],[18.75 41.25] ; [41.25 90.75],0
a5,1,0.055142,3.677785,[27 33] ; [79 53],[33.125 26.875] ; [72.875 59.125],0
u3,1,0.060016,3.536954,[14 18] ; [30 16],[18.05128205 13.94871795] ; [25.94871795 20.05128205],0
s6,1,0.061825,3.487745,[22 37] ; [68 63],[27.94736842 31.05263158] ; [62.05263158 68.94736842],0
u1,1,0.069444,3.296122,[ 2 58] ; [ 15 117],[ 5.3125 54.6875] ; [ 11.6875 120.3125],0
b4,1,0.090673,2.862391,[29 31] ; [81 51],[34.375 25.625] ; [75.625 56.375],0
a2,1,0.098062,2.736775,[ 5 55] ; [ 23 109],[ 8.75 51.25] ; [ 19.25 112.75],0
s7,1,0.109475,2.561786,[10 48] ; [35 89],[14.34065934 43.65934066] ; [30.65934066 93.34065934],0
s8,1,0.128966,2.304907,[12 48] ; [40 91],[16.33507853 43.66492147] ; [35.66492147 95.33507853],0
p10,1,0.153425,2.037864,[33 25] ; [88 42],[37.32978723 20.67021277] ; [83.67021277 46.32978723],0
p11,1,0.184489,1.761085,[35 25] ; [90 42],[39.0625 20.9375] ; [85.9375 46.0625],0
p8,1,0.232909,1.423006,[22 37] ; [61 70],[25.77368421 33.22631579] ; [57.22631579 73.77368421],0
p1,1,0.241371,1.37257,[ 4 55] ; [  4 126],[ 2.4973545 56.5026455] ; [  5.5026455 124.4973545],0
a1,1,0.242499,1.366008,[ 4 56] ; [  4 128],[ 2.5 57.5] ; [  5.5 126.5],0
p12,1,0.319892,0.989386,[ 1 59] ; [  6 125],[ 2.19895288 57.80104712] ; [  4.80104712 126.19895288],0
p9,1,0.352554,0.864242,[39 19] ; [96 34],[41.64893617 16.35106383] ; [93.35106383 36.64893617],0
s3,1,0.403765,0.697086,[22 38] ; [56 74],[24.63157895 35.36842105] ; [53.36842105 76.63157895],0
p3,1,0.45128,0.567435,[17 42] ; [45 86],[19.25263158 39.74736842] ; [42.74736842 88.25263158],0
p7,1,0.476411,0.507068,[28 30] ; [69 59],[30.24731183 27.75268817] ; [66.75268817 61.24731183],0
