Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.1e-05,19.364813,[2 5] ; [104  13],[5.98387097 1.01612903] ; [100.01612903  16.98387097],1
d4,1,0.01359,6.090693,[1 6] ; [72 45],[4.12096774 2.87903226] ; [68.87903226 48.12096774],0
p3,1,0.017983,5.59785,[1 6] ; [70 47],[4.00806452 2.99193548] ; [66.99193548 50.00806452],0
s6,1,0.024709,5.044151,[2 5] ; [78 34],[4.70588235 2.29411765] ; [75.29411765 36.70588235],0
n6,1,0.049564,3.85614,[4 3] ; [99 17],[5.86178862 1.13821138] ; [97.13821138 18.86178862],0
r1,1,0.069555,3.293486,[3 4] ; [87 30],[5.08064516 1.91935484] ; [84.91935484 32.08064516],0
n1,1,0.087398,2.921655,[4 1] ; [10 16],[2.25806452 2.74193548] ; [11.74193548 14.25806452],0
p9,1,0.088486,2.901707,[4 3] ; [97 20],[5.7016129 1.2983871] ; [95.2983871 21.7016129],0
s1,1,0.090131,2.872032,[1 6] ; [  3 113],[0.22764228 6.77235772] ; [  3.77235772 112.22764228],0
b1,1,0.150531,2.066858,[5 2] ; [51 66],[3.16129032 3.83870968] ; [52.83870968 64.16129032],0
s7,1,0.166522,1.913981,[5 1] ; [60 50],[3.36206897 2.63793103] ; [61.63793103 48.36206897],0
s5,1,0.180422,1.794147,[1 6] ; [44 67],[2.66949153 4.33050847] ; [42.33050847 68.66949153],0
n4,1,0.261329,1.261701,[4 3] ; [89 28],[5.25 1.75] ; [87.75 29.25],0
s4,1,0.288362,1.127255,[2 5] ; [16 99],[1.03278689 5.96721311] ; [16.96721311 98.03278689],0
a6,1,0.326077,0.964414,[3 4] ; [72 45],[4.23387097 2.76612903] ; [70.76612903 46.23387097],0
a4,1,0.348066,0.880495,[1 6] ; [36 80],[2.10569106 4.89430894] ; [34.89430894 81.10569106],0
p4,1,0.438355,0.600584,[4 3] ; [83 34],[4.91129032 2.08870968] ; [82.08870968 34.91129032],0
v2,1,0.439424,0.597786,[3 4] ; [67 49],[3.98373984 3.01626016] ; [66.01626016 49.98373984],0
p11,1,0.482451,0.493318,[5 2] ; [96 21],[5.7016129 1.2983871] ; [95.2983871 21.7016129],0
n2,1,0.522007,0.409927,[4 1] ; [17  9],[3.38709677 1.61290323] ; [17.61290323  8.38709677],0
n3,1,0.522007,0.409927,[4 1] ; [17  9],[3.38709677 1.61290323] ; [17.61290323  8.38709677],0
d5,1,0.555103,0.348254,[3 4] ; [63 53],[3.75609756 3.24390244] ; [62.24390244 53.75609756],0
a7,1,0.558831,0.341733,[4 3] ; [78 37],[4.70491803 2.29508197] ; [77.29508197 37.70491803],0
n5,1,0.574438,0.315313,[6 1] ; [88 27],[5.39344262 1.60655738] ; [88.60655738 26.39344262],0
b3,1,0.576129,0.312534,[3 2] ; [32 36],[2.39726027 2.60273973] ; [32.60273973 35.39726027],0
b2,1,0.576129,0.312534,[3 2] ; [32 36],[2.39726027 2.60273973] ; [32.60273973 35.39726027],0
r2,1,0.610005,0.260168,[6 1] ; [106  10],[6.37398374 0.62601626] ; [105.62601626  10.37398374],0
p10,1,0.629013,0.233401,[5 2] ; [91 24],[5.50819672 1.49180328] ; [90.49180328 24.50819672],0
v1,1,0.648544,0.207741,[3 4] ; [60 56],[3.58536585 3.41463415] ; [59.41463415 56.58536585],0
p5,1,0.653725,0.201236,[2 5] ; [25 92],[1.52419355 5.47580645] ; [25.47580645 91.52419355],0
b5,1,0.661934,0.191182,[5 2] ; [74 43],[4.45967742 2.54032258] ; [74.54032258 42.45967742],0
u3,1,0.664558,0.188034,[2 1] ; [28 24],[1.63636364 1.36363636] ; [28.36363636 23.63636364],0
p8,1,0.693947,0.154845,[5 2] ; [75 42],[4.51612903 2.48387097] ; [75.48387097 41.51612903],0
v3,1,0.722782,0.125843,[3 4] ; [42 74],[2.56097561 4.43902439] ; [42.43902439 73.56097561],0
a5,1,0.729929,0.119177,[4 3] ; [59 58],[3.55645161 3.44354839] ; [59.44354839 57.55645161],0
s2,1,0.74681,0.104231,[4 3] ; [59 57],[3.58536585 3.41463415] ; [59.41463415 56.58536585],0
p7,1,0.791531,0.069867,[5 1] ; [101  15],[5.21311475 0.78688525] ; [100.78688525  15.21311475],0
a3,1,0.899645,0.015904,[4 3] ; [64 53],[3.83870968 3.16129032] ; [64.16129032 52.83870968],0
s8,1,0.918895,0.010369,[3 4] ; [52 64],[3.1300813 3.8699187] ; [51.8699187 64.1300813],0
b4,1,0.934558,0.006742,[4 3] ; [65 52],[3.89516129 3.10483871] ; [65.10483871 51.89516129],0
p2,1,0.963616,0.002081,[6 1] ; [101  16],[6.04032258 0.95967742] ; [100.95967742  16.04032258],0
p1,1,0.963616,0.002081,[1 6] ; [ 16 101],[0.95967742 6.04032258] ; [ 16.04032258 100.95967742],0
d2,1,0.963616,0.002081,[1 6] ; [ 16 101],[0.95967742 6.04032258] ; [ 16.04032258 100.95967742],0
s3,1,0.983709,0.000417,[3 3] ; [59 58],[3.02439024 2.97560976] ; [58.97560976 58.02439024],0
d3,1,0.989704,0.000167,[3 4] ; [49 66],[2.98360656 4.01639344] ; [49.01639344 65.98360656],0
