Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,70.296416,[68 15] ; [ 43 123],[37. 46.] ; [74. 92.],1
s8,1,0.000403,12.516844,[42 40] ; [ 47 119],[29.42741935 52.57258065] ; [ 59.57258065 106.42741935],1
r4,1,0.000498,12.121804,[76  7] ; [121  46],[65.404 17.596] ; [131.596  35.404],1
s6,1,0.000833,11.166302,[60 22] ; [84 81],[47.80566802 34.19433198] ; [96.19433198 68.80566802],1
s2,1,0.001198,10.493496,[47 34] ; [ 59 104],[35.18852459 45.81147541] ; [70.81147541 92.18852459],0
p5,1,0.001401,10.204539,[12 69] ; [  6 161],[ 5.87903226 75.12096774] ; [ 12.12096774 154.87903226],0
d5,1,0.001896,9.648031,[71 12] ; [112  55],[60.756 22.244] ; [122.244  44.756],0
a3,1,0.002568,9.091592,[67 16] ; [102  63],[56.56048387 26.43951613] ; [112.43951613  52.56048387],0
s3,1,0.002838,8.908734,[51 31] ; [68 94],[39.99180328 42.00819672] ; [79.00819672 82.99180328],0
p8,1,0.005385,7.745392,[30 53] ; [ 33 133],[21. 62.] ; [ 42. 124.],0
n6,1,0.005514,7.702652,[79  4] ; [137  29],[72. 11.] ; [144.  22.],0
p10,1,0.005816,7.606326,[69 14] ; [109  55],[59.81376518 23.18623482] ; [118.18623482  45.81376518],0
d1,1,0.006086,7.524704,[55 28] ; [80 87],[44.82 38.18] ; [90.18 76.82],0
p9,1,0.006917,7.294462,[73 10] ; [118  44],[64.70612245 18.29387755] ; [126.29387755  35.70612245],0
v4,1,0.010351,6.573506,[79  4] ; [140  27],[72.708 10.292] ; [146.292  20.708],0
s7,1,0.012843,6.19056,[39 36] ; [ 57 106],[30.25210084 44.74789916] ; [65.74789916 97.25210084],0
s5,1,0.013687,6.078073,[25 52] ; [ 29 131],[17.5443038 59.4556962] ; [ 36.4556962 123.5443038],0
r3,1,0.015912,5.812558,[77  6] ; [134  31],[70.61693548 12.38306452] ; [140.38306452  24.61693548],0
r2,1,0.017048,5.691429,[80  3] ; [144  22],[74.66666667  8.33333333] ; [149.33333333  16.66666667],0
v1,1,0.022509,5.206008,[43 36] ; [63 99],[34.74688797 44.25311203] ; [71.25311203 90.74688797],0
u1,1,0.029599,4.732434,[20 63] ; [ 22 145],[13.944 69.056] ; [ 28.056 138.944],0
n4,1,0.029616,4.731421,[77  6] ; [138  29],[71.38 11.62] ; [143.62  23.38],0
d2,1,0.037782,4.314788,[51 31] ; [79 85],[43.33333333 38.66666667] ; [86.66666667 77.33333333],0
p11,1,0.043161,4.089068,[65 18] ; [110  57],[58.1 24.9] ; [116.9  50.1],0
v2,1,0.045331,4.00628,[43 38] ; [62 95],[35.73529412 45.26470588] ; [69.26470588 87.73529412],0
p6,1,0.06118,3.5051,[18 64] ; [ 21 144],[12.94736842 69.05263158] ; [ 26.05263158 138.94736842],0
r1,1,0.068831,3.310682,[64 19] ; [110  57],[57.768 25.232] ; [116.232  50.768],0
p12,1,0.08242,3.01652,[11 72] ; [ 11 155],[ 7.33333333 75.66666667] ; [ 14.66666667 151.33333333],0
p1,1,0.09765,2.743509,[12 71] ; [ 13 154],[ 8.3 74.7] ; [ 16.7 150.3],0
d4,1,0.146846,2.104709,[67 16] ; [120  46],[62.33333333 20.66666667] ; [124.66666667  41.33333333],0
p2,1,0.160371,1.970728,[61 22] ; [108  59],[56.108 26.892] ; [112.892  54.108],0
u4,1,0.172449,1.861526,[ 4 79] ; [  3 164],[ 2.324 80.676] ; [  4.676 162.324],0
a5,1,0.173311,1.854072,[64 19] ; [115  52],[59.428 23.572] ; [119.572  47.428],0
a8,1,0.176932,1.823206,[ 5 68] ; [ 20 136],[ 7.96943231 65.03056769] ; [ 17.03056769 138.96943231],0
