Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,24.750953,[18 36] ; [101  39],[33.12371134 20.87628866] ; [85.87628866 54.12371134],1
d3,1,1.4e-05,18.878917,[24 30] ; [107  32],[36.65284974 17.34715026] ; [94.34715026 44.65284974],1
a2,1,0.001569,9.995987,[ 5 49] ; [44 97],[13.56923077 40.43076923] ; [ 35.43076923 105.56923077],0
r1,1,0.002217,9.36094,[33 21] ; [114  25],[41.12953368 12.87046632] ; [105.87046632  33.12953368],0
d5,1,0.004295,8.154739,[36 18] ; [119  21],[43.1443299 10.8556701] ; [111.8556701  28.1443299],0
u1,1,0.006811,7.322031,[ 3 51] ; [ 31 110],[ 9.41538462 44.58461538] ; [ 24.58461538 116.41538462],0
r2,1,0.014944,5.923031,[47  7] ; [135   5],[50.65979381  3.34020619] ; [131.34020619   8.65979381],0
a5,1,0.032413,4.576498,[30 24] ; [101  40],[36.27692308 17.72307692] ; [94.72307692 46.27692308],0
b1,1,0.049444,3.860222,[33 21] ; [64 77],[26.86153846 27.13846154] ; [70.13846154 70.86153846],0
b5,1,0.09689,2.756006,[32 22] ; [101  40],[36.83076923 17.16923077] ; [96.16923077 44.83076923],0
d1,1,0.103147,2.656197,[24 30] ; [81 60],[29.07692308 24.92307692] ; [75.92307692 65.07692308],0
a3,1,0.144105,2.133573,[30 23] ; [95 45],[34.32642487 18.67357513] ; [90.67357513 49.32642487],0
a1,1,0.149903,2.073235,[ 4 50] ; [  4 137],[ 2.21538462 51.78461538] ; [  5.78461538 135.21538462],0
n1,1,0.167404,1.906036,[11 11] ; [15 31],[ 8.41176471 13.58823529] ; [17.58823529 28.41176471],0
r4,1,0.187445,1.737589,[44 10] ; [125  16],[46.8  7.2] ; [122.2  18.8],0
b4,1,0.18768,1.735739,[34 20] ; [74 67],[29.90769231 24.09230769] ; [78.09230769 62.90769231],0
p10,1,0.188549,1.728923,[25 28] ; [78 57],[29.03723404 23.96276596] ; [73.96276596 61.03723404],0
s5,1,0.309496,1.032823,[20 31] ; [41 90],[17.09340659 33.90659341] ; [43.90659341 87.09340659],0
p4,1,0.324301,0.97152,[29 24] ; [65 74],[25.94791667 27.05208333] ; [68.05208333 70.94791667],0
d4,1,0.357663,0.846082,[40 13] ; [114  26],[42.29015544 10.70984456] ; [111.70984456  28.29015544],0
p7,1,0.382748,0.761858,[30 24] ; [67 71],[27.28125 26.71875] ; [69.71875 68.28125],0
p8,1,0.424246,0.638523,[20 33] ; [44 95],[17.66666667 35.33333333] ; [46.33333333 92.66666667],0
p9,1,0.474784,0.510821,[32 21] ; [89 46],[34.11170213 18.88829787] ; [86.88829787 48.11170213],0
s2,1,0.497978,0.459244,[26 28] ; [75 65],[28.11340206 25.88659794] ; [72.88659794 67.11340206],0
p5,1,0.503197,0.448188,[ 5 49] ; [  9 130],[ 3.91709845 50.08290155] ; [ 10.08290155 128.91709845],0
n6,1,0.512446,0.42907,[35 17] ; [101  39],[36.83333333 15.16666667] ; [99.16666667 40.83333333],0
b3,1,0.515872,0.422139,[10 20] ; [18 49],[ 8.65979381 21.34020619] ; [19.34020619 47.65979381],0
b2,1,0.515872,0.422139,[10 20] ; [18 49],[ 8.65979381 21.34020619] ; [19.34020619 47.65979381],0
s6,1,0.549097,0.358937,[32 19] ; [93 45],[33.73015873 17.26984127] ; [91.26984127 46.73015873],0
u2,1,0.572473,0.318562,[10 14] ; [21 22],[11.10447761 12.89552239] ; [19.89552239 23.10447761],0
p2,1,0.582835,0.301673,[36 18] ; [99 41],[37.57731959 16.42268041] ; [97.42268041 42.57731959],0
p6,1,0.610276,0.259773,[15 38] ; [44 93],[16.45789474 36.54210526] ; [42.54210526 94.45789474],0
n2,1,0.612108,0.257117,[16  6] ; [32 16],[15.08571429  6.91428571] ; [32.91428571 15.08571429],0
n5,1,0.628758,0.233748,[29 24] ; [82 58],[30.48186528 22.51813472] ; [80.51813472 59.48186528],0
p3,1,0.633528,0.227307,[23 31] ; [54 85],[21.54404145 32.45595855] ; [55.45595855 83.54404145],0
v4,1,0.713502,0.134805,[49  4] ; [128  13],[48.3556701  4.6443299] ; [128.6443299  12.3556701],0
u3,1,0.719692,0.128788,[12 12] ; [24 20],[12.70588235 11.29411765] ; [23.29411765 20.70588235],0
s4,1,0.732337,0.116977,[10 44] ; [ 29 111],[10.8556701 43.1443299] ; [ 28.1443299 111.8556701],0
s3,1,0.736128,0.113559,[30 23] ; [76 65],[28.95876289 24.04123711] ; [77.04123711 63.95876289],0
n3,1,0.769966,0.085509,[14  7] ; [33 14],[14.51470588  6.48529412] ; [32.48529412 14.51470588],0
v1,1,0.772686,0.083442,[23 30] ; [64 76],[23.89119171 29.10880829] ; [63.10880829 76.89119171],0
d2,1,0.776186,0.080823,[29 25] ; [72 68],[28.11340206 25.88659794] ; [72.88659794 67.11340206],0
s1,1,0.816506,0.053843,[ 4 50] ; [  9 130],[ 3.6373057 50.3626943] ; [  9.3626943 129.6373057],0
a8,1,0.817364,0.053332,[ 7 45] ; [ 15 108],[ 6.53714286 45.46285714] ; [ 15.46285714 107.53714286],0
v2,1,0.835026,0.043372,[26 27] ; [68 66],[26.64171123 26.35828877] ; [67.35828877 66.64171123],0
v3,1,0.85695,0.032493,[16 33] ; [46 89],[16.51086957 32.48913043] ; [45.48913043 89.51086957],0
s7,1,0.89709,0.016728,[22 26] ; [61 69],[22.38202247 25.61797753] ; [60.61797753 69.38202247],0
u4,1,0.903227,0.014783,[ 1 53] ; [  3 138],[ 1.10769231 52.89230769] ; [  2.89230769 138.10769231],0
p12,1,0.906273,0.013863,[ 1 52] ; [  3 136],[ 1.10416667 51.89583333] ; [  2.89583333 136.10416667],0
n4,1,0.915141,0.011354,[33 20] ; [86 54],[32.67875648 20.32124352] ; [86.32124352 53.67875648],0
p1,1,0.916288,0.011048,[ 4 50] ; [ 11 129],[ 4.17525773 49.82474227] ; [ 10.82474227 129.17525773],0
s8,1,0.939397,0.00578,[20 33] ; [52 88],[19.77202073 33.22797927] ; [52.22797927 87.77202073],0
a4,1,0.95255,0.003541,[24 30] ; [62 79],[23.81538462 30.18461538] ; [62.18461538 78.81538462],0
