Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,8.2e-05,15.517787,[ 62 170] ; [25 19],[ 73.13043478 158.86956522] ; [13.86956522 30.13043478],1
u1,1,0.005629,7.665259,[ 17 218] ; [ 9 35],[ 21.89964158 213.10035842] ; [ 4.10035842 39.89964158],0
p5,1,0.019059,5.496114,[ 14 220] ; [ 7 36],[ 17.7400722 216.2599278] ; [ 3.2599278 39.7400722],0
s6,1,0.044385,4.041853,[ 96 135] ; [25 18],[102.01094891 128.98905109] ; [18.98905109 24.01094891],0
n4,1,0.054246,3.705117,[152  83] ; [35  9],[157.50896057  77.49103943] ; [29.49103943 14.50896057],0
u3,1,0.067254,3.348808,[49 53] ; [11  4],[52.30769231 49.69230769] ; [7.69230769 7.30769231],0
r2,1,0.06791,3.332837,[198  34] ; [42  2],[201.73913043  30.26086957] ; [38.26086957  5.73913043],0
b1,1,0.092201,2.835514,[ 96 139] ; [24 20],[101.07526882 133.92473118] ; [18.92473118 25.07526882],0
r1,1,0.095578,2.777823,[139  95] ; [32 12],[143.9352518  90.0647482] ; [27.0647482 16.9352518],0
p3,1,0.096689,2.759328,[ 78 156] ; [20 23],[ 82.78700361 151.21299639] ; [15.21299639 27.78700361],0
b5,1,0.099612,2.711748,[140  95] ; [32 12],[144.87455197  90.12544803] ; [27.12544803 16.87455197],0
a6,1,0.110416,2.548258,[141  94] ; [32 12],[145.71684588  89.28315412] ; [27.28315412 16.71684588],0
p11,1,0.117841,2.445781,[157  78] ; [24 20],[152.45519713  82.54480287] ; [28.54480287 15.45519713],0
s2,1,0.13874,2.191873,[ 69 164] ; [18 26],[ 73.18050542 159.81949458] ; [13.81949458 30.18050542],0
n3,1,0.164342,1.933814,[46 32] ; [6 1],[47.71764706 30.28235294] ; [4.28235294 2.71764706],0
a3,1,0.180157,1.796332,[131 101] ; [29 14],[134.98181818  97.01818182] ; [25.01818182 17.98181818],0
r4,1,0.189277,1.72324,[170  65] ; [36  8],[173.5125448  61.4874552] ; [32.4874552 11.5125448],0
p1,1,0.201134,1.634123,[ 18 215] ; [ 6 38],[ 20.18772563 212.81227437] ; [ 3.81227437 40.18772563],0
