Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4.1e-05,16.813494,[ 7 26] ; [44 24],[16.66336634 16.33663366] ; [34.33663366 33.66336634],1
v4,1,0.000193,13.89586,[21 12] ; [65  5],[27.55339806  5.44660194] ; [58.44660194 11.55339806],1
p11,1,0.002155,9.41251,[16 18] ; [54 16],[22.88461538 11.11538462] ; [47.11538462 22.88461538],0
p4,1,0.00463,8.018677,[ 8 26] ; [37 33],[14.71153846 19.28846154] ; [30.28846154 39.71153846],0
r3,1,0.004873,7.925895,[20 13] ; [59 10],[25.55882353  7.44117647] ; [53.44117647 15.55882353],0
a7,1,0.00604,7.538423,[12 21] ; [45 24],[18.44117647 14.55882353] ; [38.55882353 30.44117647],0
n6,1,0.006103,7.519666,[16 17] ; [53 17],[22.10679612 10.89320388] ; [46.89320388 23.10679612],0
a1,1,0.006447,7.420843,[ 5 29] ; [ 1 69],[ 1.96153846 32.03846154] ; [ 4.03846154 65.96153846],0
p6,1,0.007065,7.256282,[ 4 29] ; [26 42],[ 9.8019802 23.1980198] ; [20.1980198 47.8019802],0
p9,1,0.008204,6.988439,[16 15] ; [53 15],[21.60606061  9.39393939] ; [47.39393939 20.60606061],0
p10,1,0.008502,6.924543,[14 18] ; [49 20],[19.96039604 12.03960396] ; [43.03960396 25.96039604],0
d5,1,0.013393,6.116505,[ 9 25] ; [36 33],[14.85436893 19.14563107] ; [30.14563107 38.85436893],0
r4,1,0.013946,6.044981,[17 17] ; [52 18],[22.55769231 11.44230769] ; [46.44230769 23.55769231],0
p8,1,0.0169,5.706683,[10 24] ; [36 30],[15.64 18.36] ; [30.36 35.64],0
s7,1,0.033931,4.498156,[ 3 30] ; [18 47],[ 7.07142857 25.92857143] ; [13.92857143 51.07142857],0
r1,1,0.036357,4.380295,[14 19] ; [45 25],[18.90291262 14.09708738] ; [40.09708738 29.90291262],0
v2,1,0.044484,4.038102,[ 7 23] ; [30 37],[11.44329897 18.55670103] ; [25.55670103 41.44329897],0
b5,1,0.068938,3.308121,[16 18] ; [46 24],[20.26923077 13.73076923] ; [41.73076923 28.26923077],0
s5,1,0.072201,3.232264,[ 2 30] ; [14 55],[ 5.06930693 26.93069307] ; [10.93069307 58.06930693],0
b3,1,0.082119,3.022448,[12 11] ; [11 26],[ 8.81666667 14.18333333] ; [14.18333333 22.81666667],0
b2,1,0.082119,3.022448,[12 11] ; [11 26],[ 8.81666667 14.18333333] ; [14.18333333 22.81666667],0
u2,1,0.082194,3.020979,[ 7 14] ; [19 14],[10.11111111 10.88888889] ; [15.88888889 17.11111111],0
p3,1,0.105402,2.621849,[ 9 25] ; [30 40],[12.75 21.25] ; [26.25 43.75],0
s6,1,0.106258,2.609015,[ 8 25] ; [28 41],[11.64705882 21.35294118] ; [24.35294118 44.64705882],0
v3,1,0.115417,2.478437,[11 22] ; [13 55],[ 7.84158416 25.15841584] ; [16.15841584 51.84158416],0
a3,1,0.20206,1.627422,[13 20] ; [37 33],[16.01941748 16.98058252] ; [33.98058252 36.01941748],0
a2,1,0.208294,1.583242,[ 2 32] ; [10 60],[ 3.92307692 30.07692308] ; [ 8.07692308 61.92307692],0
v1,1,0.222518,1.488061,[10 23] ; [30 40],[12.81553398 20.18446602] ; [27.18446602 42.81553398],0
n3,1,0.306136,1.047273,[7 5] ; [18  6],[8.33333333 3.66666667] ; [16.66666667  7.33333333],0
d3,1,0.322009,0.980769,[ 6 28] ; [18 50],[ 8. 26.] ; [16. 52.],0
