Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,90.444018,[338  82] ; [ 72 104],[288.9261745 131.0738255] ; [121.0738255  54.9261745],1
d3,1,0.0,74.825054,[331  89] ; [ 75 101],[286.10738255 133.89261745] ; [119.89261745  56.10738255],1
a2,1,0.0,38.936744,[143 280] ; [ 16 160],[112.28213689 310.71786311] ; [ 46.71786311 129.28213689],1
u1,1,0.0,29.02632,[108 315] ; [ 11 165],[ 84.03505843 338.96494157] ; [ 34.96494157 141.03505843],1
b5,1,1e-06,23.947281,[283 140] ; [80 96],[256.34223706 166.65776294] ; [106.65776294  69.34223706],1
r4,1,1.7e-05,18.480821,[398  25] ; [146  30],[384.16026711  38.83973289] ; [159.83973289  16.16026711],1
r1,1,0.000208,13.756451,[352  68] ; [124  52],[335.43624161  84.56375839] ; [140.56375839  35.43624161],1
d1,1,0.000308,13.021979,[276 147] ; [87 89],[256.34223706 166.65776294] ; [106.65776294  69.34223706],1
b1,1,0.000878,11.06793,[143 280] ; [85 91],[161.00834725 261.99165275] ; [ 66.99165275 109.00834725],1
r2,1,0.003759,8.396768,[403  16] ; [156  17],[395.64358108  23.35641892] ; [163.35641892   9.64358108],0
v4,1,0.005062,7.857286,[409  12] ; [161  14],[402.63422819  18.36577181] ; [167.36577181   7.63422819],0
u3,1,0.008168,6.996251,[67 43] ; [16 27],[59.67320261 50.32679739] ; [23.32679739 19.67320261],0
v2,1,0.009632,6.701657,[251 154] ; [85 84],[237.07317073 167.92682927] ; [98.92682927 70.07317073],0
d5,1,0.010524,6.543984,[357  64] ; [133  42],[346.12416107  74.87583893] ; [143.87583893  31.12416107],0
r3,1,0.030489,4.681496,[405  14] ; [163  13],[399.98655462  19.01344538] ; [168.01344538   7.98655462],0
a5,1,0.051647,3.787152,[334  89] ; [126  50],[324.84140234  98.15859766] ; [135.15859766  40.84140234],0
d4,1,0.052943,3.74573,[353  68] ; [135  40],[344.7114094  76.2885906] ; [143.2885906  31.7114094],0
b3,1,0.055258,3.674288,[ 95 160] ; [55 60],[103.37837838 151.62162162] ; [46.62162162 68.37837838],0
b2,1,0.055258,3.674288,[ 95 160] ; [55 60],[103.37837838 151.62162162] ; [46.62162162 68.37837838],0
u2,1,0.095817,2.773832,[65 45] ; [19 24],[60.39215686 49.60784314] ; [23.60784314 19.39215686],0
p4,1,0.148882,2.083666,[288 133] ; [109  66],[280.43120805 140.56879195] ; [116.56879195  58.43120805],0
a8,1,0.149904,2.073226,[ 65 311] ; [ 21 148],[ 59.33211009 316.66788991] ; [ 26.66788991 142.33211009],0
a4,1,0.17833,1.811487,[212 209] ; [78 98],[204.50586265 216.49413735] ; [85.49413735 90.50586265],0
s2,1,0.185666,1.751675,[235 183] ; [88 87],[227.67959528 190.32040472] ; [95.32040472 79.67959528],0
b4,1,0.192542,1.698059,[248 175] ; [93 83],[240.80634391 182.19365609] ; [100.19365609  75.80634391],0
p1,1,0.259938,1.269085,[ 44 379] ; [ 13 162],[ 40.31939799 382.68060201] ; [ 16.68060201 158.31939799],0
p3,1,0.297003,1.087603,[238 184] ; [90 84],[232.24161074 189.75838926] ; [95.75838926 78.24161074],0
p12,1,0.301626,1.066992,[ 46 376] ; [ 14 159],[ 42.55462185 379.44537815] ; [ 17.44537815 155.55462185],0
n2,1,0.316292,1.004218,[60 12] ; [38 12],[57.83606557 14.16393443] ; [40.16393443  9.83606557],0
s8,1,0.338146,0.917449,[201 218] ; [92 84],[206.33109244 212.66890756] ; [86.66890756 89.33109244],0
p10,1,0.338726,0.915247,[393  29] ; [159  16],[390.19095477  31.80904523] ; [161.80904523  13.19095477],0
s3,1,0.355518,0.853662,[250 166] ; [98 77],[244.95431472 171.04568528] ; [103.04568528  71.95431472],0
s7,1,0.37776,0.77798,[215 184] ; [99 72],[219.8 179.2] ; [94.2 76.8],0
v1,1,0.391415,0.734541,[253 157] ; [99 72],[248.39931153 161.60068847] ; [103.60068847  67.39931153],0
s6,1,0.434623,0.610438,[299 116] ; [117  53],[295.11111111 119.88888889] ; [120.88888889  49.11111111],0
s5,1,0.43703,0.604067,[145 262] ; [ 66 103],[149.09201389 257.90798611] ; [ 61.90798611 107.09201389],0
s4,1,0.495888,0.463725,[ 66 349] ; [ 32 144],[ 68.81556684 346.18443316] ; [ 29.18443316 146.81556684],0
p8,1,0.498907,0.457261,[244 173] ; [96 77],[240.30508475 176.69491525] ; [99.69491525 73.30508475],0
p6,1,0.518373,0.417129,[180 242] ; [ 68 103],[176.4856661 245.5143339] ; [71.5143339 99.4856661],0
n6,1,0.56521,0.330763,[384  37] ; [157  18],[382.14932886  38.85067114] ; [158.85067114  16.14932886],0
s1,1,0.581389,0.303995,[ 13 402] ; [  4 170],[ 11.97792869 403.02207131] ; [  5.02207131 168.97792869],0
p7,1,0.58223,0.302644,[281 132] ; [113  59],[278.15726496 134.84273504] ; [115.84273504  56.15726496],0
a1,1,0.625941,0.237606,[ 20 403] ; [ 10 166],[ 21.18530885 401.81469115] ; [  8.81469115 167.18530885],0
p5,1,0.626013,0.237507,[ 61 359] ; [ 28 146],[ 62.92929293 357.07070707] ; [ 26.07070707 147.92929293],0
n3,1,0.687282,0.162044,[52 20] ; [37 12],[52.95867769 19.04132231] ; [36.04132231 12.95867769],0
n4,1,0.780347,0.077767,[375  47] ; [155  21],[374.01337793  47.98662207] ; [155.98662207  20.01337793],0
a3,1,0.788694,0.071828,[313 107] ; [133  43],[314.29530201 105.70469799] ; [131.70469799  44.29530201],0
p2,1,0.816791,0.053673,[367  56] ; [148  24],[366.12605042  56.87394958] ; [148.87394958  23.12605042],0
u4,1,0.875783,0.024435,[ 13 409] ; [  5 171],[ 12.70234114 409.29765886] ; [  5.29765886 170.70234114],0
n1,1,0.90715,0.013604,[32 39] ; [22 28],[31.68595041 39.31404959] ; [22.31404959 27.68595041],0
v3,1,0.987299,0.000253,[175 228] ; [75 98],[174.91319444 228.08680556] ; [75.08680556 97.91319444],0
d2,1,0.987478,0.000246,[212 209] ; [88 87],[211.91275168 209.08724832] ; [88.08724832 86.91275168],0
p11,1,0.993704,6.2e-05,[358  65] ; [149  27],[358.03171953  64.96828047] ; [148.96828047  27.03171953],0
