Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,87.923809,[355  25] ; [14 20],[338.69565217  41.30434783] ; [30.30434783  3.69565217],1
r1,1,0.0,30.720344,[297  82] ; [12 22],[283.56174334  95.43825666] ; [25.43825666  8.56174334],1
v4,1,0.0,26.882229,[358  20] ; [24 10],[350.47572816  27.52427184] ; [31.52427184  2.47572816],1
d1,1,0.000431,12.392149,[209 171] ; [ 8 26],[199.17874396 180.82125604] ; [17.82125604 16.17874396],1
a3,1,0.000516,12.056188,[257 122] ; [13 21],[247.77239709 131.22760291] ; [22.22760291 11.77239709],1
a6,1,0.000632,11.679282,[264 114] ; [14 20],[255.05825243 122.94174757] ; [22.94174757 11.05825243],1
a4,1,0.007144,7.236498,[156 223] ; [ 6 28],[148.66343826 230.33656174] ; [13.33656174 20.66343826],0
u3,1,0.007573,7.131845,[67 54] ; [ 5 16],[61.35211268 59.64788732] ; [10.64788732 10.35211268],0
a2,1,0.009306,6.763083,[ 82 298] ; [ 1 33],[ 76.18357488 303.81642512] ; [ 6.81642512 27.18357488],0
s5,1,0.011146,6.441955,[106 258] ; [ 3 31],[ 99.68844221 264.31155779] ; [ 9.31155779 24.68844221],0
d5,1,0.011407,6.400857,[295  83] ; [20 14],[289.00485437  88.99514563] ; [25.99514563  8.00485437],0
s3,1,0.012573,6.228258,[205 170] ; [11 23],[198.04400978 176.95599022] ; [17.95599022 16.04400978],0
a5,1,0.014338,5.996033,[257 122] ; [16 18],[250.52542373 128.47457627] ; [22.47457627 11.52542373],0
a8,1,0.018897,5.511046,[ 37 315] ; [ 8 25],[ 41.14285714 310.85714286] ; [ 3.85714286 29.14285714],0
s7,1,0.019886,5.421895,[161 204] ; [ 7 24],[154.84848485 210.15151515] ; [13.15151515 17.84848485],0
s2,1,0.024077,5.089105,[176 202] ; [ 9 25],[169.73300971 208.26699029] ; [15.26699029 18.73300971],0
d2,1,0.029986,4.710106,[173 205] ; [ 9 25],[166.98058252 211.01941748] ; [15.01941748 18.98058252],0
d3,1,0.032279,4.58363,[256 120] ; [17 17],[250.36097561 125.63902439] ; [22.63902439 11.36097561],0
d4,1,0.039352,4.245607,[301  76] ; [22 12],[296.27980535  80.72019465] ; [26.72019465  7.27980535],0
u1,1,0.045808,3.988636,[ 59 321] ; [ 1 33],[ 55.07246377 324.92753623] ; [ 4.92753623 29.07246377],0
v2,1,0.070264,3.276835,[158 205] ; [ 9 24],[153.08333333 209.91666667] ; [13.91666667 19.08333333],0
n4,1,0.097576,2.744725,[264 115] ; [19 15],[259.70217918 119.29782082] ; [23.29782082 10.70217918],0
a7,1,0.098706,2.726329,[273 105] ; [20 14],[268.82038835 109.17961165] ; [24.17961165  9.82038835],0
s6,1,0.099473,2.713969,[230 144] ; [16 18],[225.5 148.5] ; [20.5 13.5],0
n6,1,0.180881,1.790371,[305  75] ; [24 10],[301.98067633  78.01932367] ; [27.01932367  6.98067633],0
b1,1,0.185521,1.75283,[146 234] ; [17 17],[149.61352657 230.38647343] ; [13.38647343 20.61352657],0
p7,1,0.207914,1.585891,[216 155] ; [16 18],[212.52345679 158.47654321] ; [19.47654321 14.52345679],0
n3,1,0.23078,1.436045,[77 29] ; [9 1],[78.5862069 27.4137931] ; [7.4137931 2.5862069],0
p6,1,0.266761,1.233327,[111 264] ; [ 7 27],[108.19070905 266.80929095] ; [ 9.80929095 24.19070905],0
p5,1,0.295961,1.092306,[ 26 351] ; [ 4 30],[ 27.51824818 349.48175182] ; [ 2.48175182 31.51824818],0
n5,1,0.319244,0.99204,[243 134] ; [19 15],[240.32603406 136.67396594] ; [21.67396594 12.32603406],0
p3,1,0.339035,0.914078,[154 224] ; [11 23],[151.38349515 226.61650485] ; [13.61650485 20.38349515],0
p9,1,0.341157,0.906078,[290  83] ; [24 10],[287.76904177  85.23095823] ; [26.23095823  7.76904177],0
p2,1,0.343068,0.898932,[293  84] ; [24 10],[290.77615572  86.22384428] ; [26.22384428  7.77615572],0
p1,1,0.370988,0.800354,[ 26 350] ; [ 1 33],[ 24.76097561 351.23902439] ; [ 2.23902439 31.76097561],0
b4,1,0.390047,0.738797,[217 163] ; [22 12],[219.37198068 160.62801932] ; [19.62801932 14.37198068],0
p10,1,0.396217,0.719776,[278  96] ; [23 11],[275.91666667  98.08333333] ; [25.08333333  8.91666667],0
b5,1,0.464574,0.534852,[210 170] ; [21 13],[212.02898551 167.97101449] ; [18.97101449 15.02898551],0
p4,1,0.482971,0.492146,[189 186] ; [15 19],[187.04156479 187.95843521] ; [16.95843521 17.04156479],0
s4,1,0.520958,0.411997,[ 72 303] ; [ 5 29],[ 70.599022 304.400978] ; [ 6.400978 27.599022],0
v3,1,0.565575,0.330144,[103 263] ; [ 8 26],[101.565 264.435] ; [ 9.435 24.565],0
u2,1,0.667055,0.185066,[63 58] ; [12  9],[63.9084507 57.0915493] ; [11.0915493  9.9084507],0
b2,1,0.710864,0.137416,[ 62 142] ; [ 5 14],[ 61.29147982 142.70852018] ; [ 5.70852018 13.29147982],0
b3,1,0.710864,0.137416,[ 62 142] ; [ 5 14],[ 61.29147982 142.70852018] ; [ 5.70852018 13.29147982],0
s1,1,0.760428,0.092975,[ 15 360] ; [ 1 33],[ 14.66992665 360.33007335] ; [ 1.33007335 32.66992665],0
a1,1,0.770581,0.08504,[ 15 365] ; [ 1 33],[ 14.68599034 365.31400966] ; [ 1.31400966 32.68599034],0
p8,1,0.787067,0.072966,[167 207] ; [16 18],[167.75 206.25] ; [15.25 18.75],0
s8,1,0.826672,0.047949,[130 250] ; [11 23],[129.42028986 250.57971014] ; [11.57971014 22.42028986],0
n1,1,0.877603,0.023719,[34 71] ; [3 7],[33.7826087 71.2173913] ; [3.2173913 6.7826087],0
p12,1,0.889007,0.019477,[ 20 356] ; [ 2 32],[ 20.17560976 355.82439024] ; [ 1.82439024 32.17560976],0
p11,1,0.903798,0.014608,[283  97] ; [25  9],[282.70531401  97.29468599] ; [25.29468599  8.70531401],0
n2,1,0.980429,0.000602,[76 32] ; [7 3],[75.96610169 32.03389831] ; [7.03389831 2.96610169],0
