Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.040095,4.213857,[ 8 28] ; [11 12],[11.59322034 24.40677966] ; [ 7.40677966 15.59322034],0
b2,1,0.040095,4.213857,[ 8 28] ; [11 12],[11.59322034 24.40677966] ; [ 7.40677966 15.59322034],0
s5,1,0.042731,4.106018,[ 8 50] ; [12 27],[11.95876289 46.04123711] ; [ 8.04123711 30.95876289],0
a1,1,0.064259,3.423904,[ 1 61] ; [ 4 38],[ 2.98076923 59.01923077] ; [ 2.01923077 39.98076923],0
n1,1,0.079736,3.070275,[ 4 16] ; [8 9],[ 6.48648649 13.51351351] ; [ 5.51351351 11.48648649],0
s8,1,0.096198,2.767472,[13 49] ; [15 27],[16.69230769 45.30769231] ; [11.30769231 30.69230769],0
p1,1,0.102586,2.664877,[ 4 57] ; [ 7 35],[ 6.51456311 54.48543689] ; [ 4.48543689 37.51456311],0
v3,1,0.126857,2.330555,[12 45] ; [14 26],[15.27835052 41.72164948] ; [10.72164948 29.27835052],0
s7,1,0.151386,2.05823,[14 41] ; [15 23],[17.15053763 37.84946237] ; [11.84946237 26.15053763],0
p4,1,0.172118,1.864397,[28 34] ; [13 28],[24.67961165 37.32038835] ; [16.32038835 24.67961165],0
s6,1,0.183482,1.769193,[25 37] ; [22 19],[28.29126214 33.70873786] ; [18.70873786 22.29126214],0
p11,1,0.264256,1.24632,[30 32] ; [25 17],[32.78846154 29.21153846] ; [22.21153846 19.78846154],0
a7,1,0.270727,1.213062,[42 20] ; [24 18],[39.34615385 22.65384615] ; [26.65384615 15.34615385],0
v2,1,0.291658,1.111954,[22 36] ; [19 20],[24.51546392 33.48453608] ; [16.48453608 22.51546392],0
s4,1,0.292267,1.109151,[14 48] ; [ 6 36],[11.92307692 50.07692308] ; [ 8.07692308 33.92307692],0
d1,1,0.299337,1.077144,[33 29] ; [18 24],[30.40384615 31.59615385] ; [20.59615385 21.40384615],0
p7,1,0.350202,0.872726,[28 33] ; [15 26],[25.71568627 35.28431373] ; [17.28431373 23.71568627],0
p9,1,0.35583,0.852557,[33 29] ; [25 15],[35.25490196 26.74509804] ; [22.74509804 17.25490196],0
d2,1,0.376287,0.782796,[26 36] ; [14 28],[23.84615385 38.15384615] ; [16.15384615 25.84615385],0
u2,1,0.38536,0.753532,[17  9] ; [11  3],[18.2  7.8] ; [9.8 4.2],0
a4,1,0.390364,0.737808,[20 42] ; [17 25],[22.05769231 39.94230769] ; [14.94230769 27.05769231],0
v4,1,0.417238,0.658083,[49 13] ; [35  6],[50.5631068 11.4368932] ; [33.4368932  7.5631068],0
n4,1,0.417485,0.657383,[24 38] ; [13 29],[22.05769231 39.94230769] ; [14.94230769 27.05769231],0
d5,1,0.488756,0.479263,[48 14] ; [30 12],[46.5 15.5] ; [31.5 10.5],0
s2,1,0.492477,0.471109,[21 41] ; [17 25],[22.65384615 39.34615385] ; [15.34615385 26.65384615],0
a6,1,0.507103,0.44004,[38 24] ; [23 19],[36.36538462 25.63461538] ; [24.63461538 17.36538462],0
a3,1,0.524116,0.405787,[36 26] ; [27 15],[37.55769231 24.44230769] ; [25.44230769 16.55769231],0
s1,1,0.564003,0.332821,[ 4 58] ; [ 4 38],[ 4.76923077 57.23076923] ; [ 3.23076923 38.76923077],0
r2,1,0.564054,0.332733,[52  9] ; [34  8],[50.93203883 10.06796117] ; [35.06796117  6.93203883],0
p2,1,0.574445,0.315301,[39 23] ; [28 13],[40.33009709 21.66990291] ; [26.66990291 14.33009709],0
p3,1,0.585273,0.297787,[23 39] ; [17 23],[24.31372549 37.68627451] ; [15.68627451 24.31372549],0
r3,1,0.591944,0.287318,[54  8] ; [35  7],[53.05769231  8.94230769] ; [35.94230769  6.05769231],0
p8,1,0.594477,0.283406,[24 37] ; [14 27],[22.7254902 38.2745098] ; [15.2745098 25.7254902],0
b5,1,0.672324,0.178895,[38 24] ; [24 18],[36.96153846 25.03846154] ; [25.03846154 16.96153846],0
p6,1,0.68208,0.167794,[11 51] ; [ 8 30],[11.78 50.22] ; [ 7.22 30.78],0
s3,1,0.682332,0.167512,[28 33] ; [21 21],[29.01941748 31.98058252] ; [19.98058252 22.01941748],0
d4,1,0.699472,0.149021,[52 10] ; [34  8],[51.26923077 10.73076923] ; [34.73076923  7.26923077],0
u3,1,0.72158,0.126984,[17  8] ; [11  4],[17.5  7.5] ; [10.5  4.5],0
a8,1,0.727249,0.121652,[ 1 59] ; [ 1 36],[ 1.2371134 58.7628866] ; [ 0.7628866 36.2371134],0
p10,1,0.750206,0.101358,[33 29] ; [20 20],[32.21568627 29.78431373] ; [20.78431373 19.21568627],0
n2,1,0.768651,0.086518,[12  8] ; [11  6],[12.43243243  7.56756757] ; [10.56756757  6.43243243],0
n3,1,0.813381,0.055728,[13  6] ; [11  6],[12.66666667  6.33333333] ; [11.33333333  5.66666667],0
p5,1,0.832247,0.044868,[ 2 60] ; [ 1 39],[ 1.82352941 60.17647059] ; [ 1.17647059 38.82352941],0
d3,1,0.84627,0.037589,[41 21] ; [27 15],[40.53846154 21.46153846] ; [27.46153846 14.53846154],0
r1,1,0.850765,0.035398,[44 17] ; [31 11],[44.41747573 16.58252427] ; [30.58252427 11.41747573],0
b4,1,0.856461,0.032718,[38 24] ; [25 17],[37.55769231 24.44230769] ; [25.44230769 16.55769231],0
u1,1,0.862595,0.029954,[ 5 57] ; [ 3 39],[ 4.76923077 57.23076923] ; [ 3.23076923 38.76923077],0
b1,1,0.871744,0.026064,[32 30] ; [21 21],[31.59615385 30.40384615] ; [21.40384615 20.59615385],0
r4,1,0.89771,0.016526,[45 17] ; [30 12],[44.71153846 17.28846154] ; [30.28846154 11.71153846],0
a5,1,0.94961,0.003994,[38 24] ; [26 16],[38.15384615 23.84615385] ; [25.84615385 16.15384615],0
a2,1,0.97382,0.001077,[ 9 53] ; [ 6 36],[ 8.94230769 53.05769231] ; [ 6.05769231 35.94230769],0
