Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,44.889557,[89  3] ; [13 16],[77.55371901 14.44628099] ; [24.44628099  4.55371901],1
r3,1,0.0,41.282649,[88  4] ; [13 16],[76.79338843 15.20661157] ; [24.20661157  4.79338843],1
n6,1,0.0,32.953846,[77 14] ; [ 8 20],[65. 26.] ; [20.  8.],1
r2,1,0.0,26.715842,[88  3] ; [17 11],[80.29411765 10.70588235] ; [24.70588235  3.29411765],1
r1,1,1e-06,24.840658,[76 16] ; [10 19],[65.38842975 26.61157025] ; [20.61157025  8.38842975],1
s6,1,3.3e-05,17.263055,[59 32] ; [ 6 23],[49.29166667 41.70833333] ; [15.70833333 13.29166667],1
p11,1,0.001742,9.803263,[56 36] ; [ 8 21],[48.66115702 43.33884298] ; [15.33884298 13.66115702],0
p10,1,0.001954,9.592088,[63 27] ; [11 18],[55.96638655 34.03361345] ; [18.03361345 10.96638655],0
p9,1,0.002243,9.339002,[64 26] ; [11 17],[57.20338983 32.79661017] ; [17.79661017 10.20338983],0
s2,1,0.004068,8.253126,[43 48] ; [ 5 24],[36.4 54.6] ; [11.6 17.4],0
n3,1,0.006337,7.451772,[20  6] ; [ 6 11],[15.72093023 10.27906977] ; [10.27906977  6.72093023],0
s8,1,0.007993,7.035132,[33 58] ; [ 3 26],[27.3 63.7] ; [ 8.7 20.3],0
a1,1,0.026027,4.954221,[ 6 86] ; [ 6 23],[ 9.12396694 82.87603306] ; [ 2.87603306 26.12396694],0
s1,1,0.044063,4.05413,[ 5 87] ; [ 5 24],[ 7.60330579 84.39669421] ; [ 2.39669421 26.60330579],0
v1,1,0.046906,3.94875,[38 52] ; [ 6 22],[33.55932203 56.44067797] ; [10.44067797 17.55932203],0
u3,1,0.05653,3.636364,[20 12] ; [2 6],[17.6 14.4] ; [4.4 3.6],0
s5,1,0.056678,3.632031,[25 63] ; [ 3 25],[21.24137931 66.75862069] ; [ 6.75862069 21.24137931],0
