Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,46.854505,[15 95] ; [24  8],[30.21126761 79.78873239] ; [ 8.78873239 23.21126761],1
p8,1,0.003397,8.580796,[63 44] ; [ 9 22],[55.82608696 51.17391304] ; [16.17391304 14.82608696],0
p12,1,0.023064,5.16365,[  3 105] ; [ 4 27],[  5.43884892 102.56115108] ; [ 1.56115108 29.43884892],0
a1,1,0.024603,5.051621,[  3 107] ; [ 4 28],[  5.42253521 104.57746479] ; [ 1.57746479 30.42253521],0
d4,1,0.02822,4.814586,[79 31] ; [29  3],[83.66197183 26.33802817] ; [24.33802817  7.66197183],0
s5,1,0.046524,3.962507,[15 94] ; [ 9 22],[18.68571429 90.31428571] ; [ 5.31428571 25.68571429],0
s8,1,0.055273,3.673834,[23 87] ; [12 20],[27.11267606 82.88732394] ; [ 7.88732394 24.11267606],0
s7,1,0.08759,2.918109,[22 81] ; [11 19],[25.55639098 77.44360902] ; [ 7.44360902 22.55639098],0
s4,1,0.097361,2.74825,[  7 103] ; [ 5 27],[  9.29577465 100.70422535] ; [ 2.70422535 29.29577465],0
b5,1,0.131117,2.279224,[68 42] ; [15 17],[64.29577465 45.70422535] ; [18.70422535 13.29577465],0
a6,1,0.145721,2.116484,[77 33] ; [18 14],[73.5915493 36.4084507] ; [21.4084507 10.5915493],0
u3,1,0.162156,1.954001,[16 15] ; [7 2],[17.825 13.175] ; [5.175 3.825],0
s1,1,0.19142,1.706656,[  4 105] ; [ 3 29],[  5.41134752 103.58865248] ; [ 1.58865248 30.41134752],0
u1,1,0.199492,1.646087,[14 96] ; [ 7 25],[16.26760563 93.73239437] ; [ 4.73239437 27.26760563],0
p2,1,0.233845,1.417319,[94 15] ; [24  7],[91.87142857 17.12857143] ; [26.12857143  4.87142857],0
p10,1,0.268541,1.224185,[81 28] ; [26  5],[83.30714286 25.69285714] ; [23.69285714  7.30714286],0
d2,1,0.285756,1.139508,[53 57] ; [12 20],[50.35211268 59.64788732] ; [14.64788732 17.35211268],0
b2,1,0.354345,0.857834,[31 37] ; [12  9],[32.85393258 35.14606742] ; [10.14606742 10.85393258],0
b3,1,0.354345,0.857834,[31 37] ; [12  9],[32.85393258 35.14606742] ; [10.14606742 10.85393258],0
r3,1,0.366077,0.816937,[100   8] ; [28  4],[98.74285714  9.25714286] ; [29.25714286  2.74285714],0
d5,1,0.383551,0.759289,[84 26] ; [22 10],[82.11267606 27.88732394] ; [23.88732394  8.11267606],0
a7,1,0.440785,0.594237,[76 33] ; [20 12],[74.21276596 34.78723404] ; [21.78723404 10.21276596],0
b1,1,0.487318,0.482443,[44 66] ; [15 17],[45.70422535 64.29577465] ; [13.29577465 18.70422535],0
v3,1,0.51083,0.432367,[48 59] ; [15 14],[49.56617647 57.43382353] ; [13.43382353 15.56617647],0
a5,1,0.514549,0.424804,[82 28] ; [22 10],[80.56338028 29.43661972] ; [23.43661972  8.56338028],0
n2,1,0.525358,0.403361,[12  4] ; [5 3],[11.33333333  4.66666667] ; [5.66666667 2.33333333],0
b4,1,0.533547,0.387632,[55 55] ; [18 14],[56.54929577 53.45070423] ; [16.45070423 15.54929577],0
u2,1,0.582513,0.302189,[14 17] ; [5 4],[14.725 16.275] ; [4.275 4.725],0
p5,1,0.609623,0.260724,[11 99] ; [ 2 27],[10.28776978 99.71223022] ; [ 2.71223022 26.28776978],0
p11,1,0.639369,0.219569,[90 20] ; [25  7],[89.08450704 20.91549296] ; [25.91549296  6.08450704],0
p6,1,0.648065,0.208348,[33 73] ; [11 20],[34.04379562 71.95620438] ; [ 9.95620438 21.04379562],0
