Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,4e-06,21.508512,[ 5 27] ; [45 24],[15.84158416 16.15841584] ; [34.15841584 34.84158416],1
a3,1,1.6e-05,18.64441,[11 20] ; [55 14],[20.46 10.54] ; [45.54 23.46],1
d2,1,1.6e-05,18.563442,[ 6 27] ; [44 25],[16.17647059 16.82352941] ; [33.82352941 35.17647059],1
d5,1,0.000895,11.034037,[19 14] ; [60  9],[25.55882353  7.44117647] ; [53.44117647 15.55882353],1
d1,1,0.002464,9.166853,[10 23] ; [43 26],[17.14705882 15.85294118] ; [35.85294118 33.14705882],0
u1,1,0.005141,7.82932,[ 1 32] ; [18 51],[ 6.14705882 26.85294118] ; [12.85294118 56.14705882],0
n6,1,0.006231,7.482113,[17 16] ; [51 14],[22.89795918 10.10204082] ; [45.10204082 19.89795918],0
r1,1,0.007092,7.249428,[20 13] ; [56 10],[25.33333333  7.66666667] ; [50.66666667 15.33333333],0
a6,1,0.019948,5.41645,[14 19] ; [46 23],[19.41176471 13.58823529] ; [40.58823529 28.41176471],0
b5,1,0.024775,5.039526,[17 16] ; [51 18],[22. 11.] ; [46. 23.],0
p6,1,0.040989,4.176488,[ 6 26] ; [26 40],[10.44897959 21.55102041] ; [21.55102041 44.44897959],0
v2,1,0.054403,3.700279,[14 18] ; [43 24],[18.42424242 13.57575758] ; [38.57575758 28.42424242],0
r3,1,0.070245,3.277292,[25  7] ; [62  6],[27.84  4.16] ; [59.16  8.84],0
r4,1,0.09333,2.815972,[23 10] ; [58 11],[26.20588235  6.79411765] ; [54.79411765 14.20588235],0
a7,1,0.098361,2.73192,[20 13] ; [52 16],[23.52475248  9.47524752] ; [48.47524752 19.52475248],0
u2,1,0.126647,2.333133,[11  9] ; [ 4 10],[ 8.82352941 11.17647059] ; [6.17647059 7.82352941],0
p7,1,0.131005,2.280552,[13 19] ; [37 28],[16.49484536 15.50515464] ; [33.50515464 31.49484536],0
s8,1,0.170584,1.8778,[11 22] ; [32 35],[14.19 18.81] ; [28.81 38.19],0
v3,1,0.179705,1.800059,[10 22] ; [30 36],[13.06122449 18.93877551] ; [26.93877551 39.06122449],0
p3,1,0.198959,1.65,[12 21] ; [33 33],[15. 18.] ; [30. 36.],0
a8,1,0.205931,1.599803,[ 2 27] ; [10 50],[ 3.91011236 25.08988764] ; [ 8.08988764 51.91011236],0
p5,1,0.228154,1.452334,[ 5 28] ; [ 5 62],[ 3.3 29.7] ; [ 6.7 60.3],0
p8,1,0.260394,1.266659,[ 9 23] ; [27 41],[11.52 20.48] ; [24.48 43.52],0
s2,1,0.2616,1.260268,[16 17] ; [41 27],[18.62376238 14.37623762] ; [38.37623762 29.62376238],0
a1,1,0.289709,1.120972,[ 1 32] ; [ 6 63],[ 2.26470588 30.73529412] ; [ 4.73529412 64.26470588],0
d4,1,0.332724,0.938268,[24  9] ; [56 13],[25.88235294  7.11764706] ; [54.11764706 14.88235294],0
r2,1,0.350798,0.870567,[30  3] ; [65  3],[31.03960396  1.96039604] ; [63.96039604  4.03960396],0
b2,1,0.356744,0.849324,[ 4 13] ; [12 21],[ 5.44 11.56] ; [10.56 22.44],0
b3,1,0.356744,0.849324,[ 4 13] ; [12 21],[ 5.44 11.56] ; [10.56 22.44],0
d3,1,0.36452,0.82226,[21 12] ; [50 19],[22.97058824 10.02941176] ; [48.02941176 20.97058824],0
n4,1,0.365712,0.818182,[20 13] ; [46 20],[22. 11.] ; [44. 22.],0
s5,1,0.398107,0.714037,[10 21] ; [26 37],[11.87234043 19.12765957] ; [24.12765957 38.87234043],0
