Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,82.134415,[ 42 124] ; [190  82],[87.92694064 78.07305936] ; [144.07305936 127.92694064],1
r4,1,0.0,36.273799,[130  36] ; [266  10],[148.7239819  17.2760181] ; [247.2760181  28.7239819],1
p3,1,0.0,34.243897,[ 55 109] ; [171 103],[84.62100457 79.37899543] ; [141.37899543 132.62100457],1
p6,1,0.0,33.697355,[ 30 134] ; [124 147],[ 58.05977011 105.94022989] ; [ 95.94022989 175.05977011],1
p2,1,0.0,32.024204,[116  50] ; [248  25],[137.64009112  28.35990888] ; [226.35990888  46.64009112],1
p10,1,0.0,29.353737,[110  54] ; [242  32],[131.79908676  32.20091324] ; [220.20091324  53.79908676],1
p4,1,0.0,26.697927,[79 87] ; [197  76],[104.36446469  61.63553531] ; [171.63553531 101.36446469],1
p11,1,5e-06,20.907555,[113  53] ; [238  38],[131.82352941  34.17647059] ; [219.17647059  56.82352941],1
p9,1,8e-06,19.866529,[120  41] ; [248  26],[136.20229885  24.79770115] ; [231.79770115  42.20229885],1
a8,1,1.9e-05,18.272541,[  8 143] ; [ 51 190],[ 22.72704082 128.27295918] ; [ 36.27295918 204.72704082],1
v4,1,5e-05,16.439506,[147  19] ; [267   6],[156.54669704   9.45330296] ; [257.45330296  15.54669704],1
n4,1,0.000356,12.749224,[121  45] ; [238  37],[135.13378685  30.86621315] ; [223.86621315  51.13378685],1
v1,1,0.00051,12.07729,[71 87] ; [168 102],[88.22897196 69.77102804] ; [150.77102804 119.22897196],1
r2,1,0.000989,10.848358,[151  14] ; [266   5],[157.80963303   7.19036697] ; [259.19036697  11.80963303],1
r3,1,0.001889,9.654204,[152  13] ; [270   5],[158.25   6.75] ; [263.75  11.25],0
r1,1,0.002213,9.36417,[126  39] ; [240  34],[137.56264237  27.43735763] ; [228.43735763  45.56264237],0
n5,1,0.012849,6.189809,[116  49] ; [221  53],[126.66287016  38.33712984] ; [210.33712984  63.66287016],0
s5,1,0.012948,6.1762,[ 39 119] ; [ 98 172],[ 50.57476636 107.42523364] ; [ 86.42523364 183.57476636],0
s8,1,0.013648,6.083115,[ 64 101] ; [139 134],[76.47260274 88.52739726] ; [126.52739726 146.47260274],0
v3,1,0.016861,5.71081,[56 97] ; [128 135],[67.67307692 85.32692308] ; [116.32692308 146.67307692],0
p5,1,0.018043,5.591934,[ 11 152] ; [ 39 236],[ 18.60730594 144.39269406] ; [ 31.39269406 243.60730594],0
a3,1,0.021046,5.322988,[123  43] ; [228  46],[132.42272727  33.57727273] ; [218.57727273  55.42272727],0
n6,1,0.029076,4.763133,[133  33] ; [238  33],[140.92906178  25.07093822] ; [230.07093822  40.92906178],0
a5,1,0.03082,4.662943,[130  36] ; [238  38],[138.2081448  27.7918552] ; [229.7918552  46.2081448],0
n1,1,0.059944,3.53892,[27 34] ; [10 29],[22.57 38.43] ; [14.43 24.57],0
s7,1,0.061516,3.496021,[68 88] ; [140 124],[77.25714286 78.74285714] ; [130.74285714 133.25714286],0
d3,1,0.063064,3.454904,[139  27] ; [246  28],[145.25  20.75] ; [239.75  34.25],0
v2,1,0.072603,3.223158,[90 67] ; [177  91],[98.63294118 58.36705882] ; [168.36705882  99.63294118],0
a6,1,0.111151,2.537781,[115  51] ; [208  65],[122.13667426  43.86332574] ; [200.86332574  72.13667426],0
s6,1,0.112069,2.524805,[95 70] ; [176  94],[102.79310345  62.20689655] ; [168.20689655 101.79310345],0
a1,1,0.149573,2.076599,[  6 160] ; [ 19 257],[  9.38914027 156.61085973] ; [ 15.61085973 260.38914027],0
n3,1,0.164786,1.929745,[37 23] ; [30 10],[40.2 19.8] ; [26.8 13.2],0
n2,1,0.18305,1.772687,[38 23] ; [30 10],[41.06930693 19.93069307] ; [26.93069307 13.06930693],0
d2,1,0.23131,1.432789,[124  39] ; [194  80],[118.61327231  44.38672769] ; [199.38672769  74.61327231],0
a2,1,0.2595,1.271424,[ 52 114] ; [101 175],[ 57.46153846 108.53846154] ; [ 95.53846154 180.46153846],0
p1,1,0.319598,0.99059,[ 18 148] ; [ 22 252],[ 15.09090909 150.90909091] ; [ 24.90909091 249.09090909],0
b1,1,0.401681,0.703287,[68 98] ; [102 174],[ 63.84615385 102.15384615] ; [106.15384615 169.84615385],0
u1,1,0.438754,0.59954,[ 39 127] ; [ 74 202],[ 42.43891403 123.56108597] ; [ 70.56108597 205.43891403],0
u2,1,0.444796,0.58388,[25 18] ; [31 16],[26.75555556 16.24444444] ; [29.24444444 17.75555556],0
u4,1,0.458526,0.54949,[  7 159] ; [  8 268],[  5.63348416 160.36651584] ; [  9.36651584 266.63348416],0
a4,1,0.468914,0.524533,[100  65] ; [157 118],[96.375 68.625] ; [160.625 114.375],0
s2,1,0.497042,0.461246,[78 86] ; [139 134],[81.43707094 82.56292906] ; [135.56292906 137.43707094],0
b5,1,0.500842,0.453153,[104  62] ; [164 112],[100.65158371  65.34841629] ; [167.34841629 108.65158371],0
b2,1,0.548163,0.360619,[42 65] ; [ 78 104],[44.42906574 62.57093426] ; [ 75.57093426 106.42906574],0
b3,1,0.548163,0.360619,[42 65] ; [ 78 104],[44.42906574 62.57093426] ; [ 75.57093426 106.42906574],0
s3,1,0.60135,0.272965,[86 78] ; [148 121],[88.62817552 75.37182448] ; [145.37182448 123.62817552],0
u3,1,0.643609,0.214053,[28 15] ; [29 19],[26.93406593 16.06593407] ; [30.06593407 17.93406593],0
p12,1,0.70822,0.140061,[ 17 149] ; [ 25 248],[ 15.88154897 150.11845103] ; [ 26.11845103 246.88154897],0
s1,1,0.748539,0.102762,[  4 161] ; [  8 264],[  4.53089245 160.46910755] ; [  7.46910755 264.53089245],0
d4,1,0.779033,0.078725,[162   3] ; [268   4],[162.35697941   2.64302059] ; [267.64302059   4.35697941],0
b4,1,0.82539,0.048672,[101  65] ; [165 111],[99.90045249 66.09954751] ; [166.09954751 109.90045249],0
d5,1,0.885297,0.02081,[162   4] ; [267   6],[162.21867882   3.78132118] ; [266.78132118   6.21867882],0
a7,1,0.922313,0.00951,[128  37] ; [213  63],[127.58503401  37.41496599] ; [213.41496599  62.58503401],0
