Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.002196,9.37799,[26 64] ; [18 12],[33. 57.] ; [11. 19.],0
a8,1,0.00631,7.459474,[ 3 83] ; [ 5 21],[ 6.14285714 79.85714286] ; [ 1.85714286 24.14285714],0
n6,1,0.044451,4.039336,[51 40] ; [23  7],[55.65289256 35.34710744] ; [18.34710744 11.65289256],0
v4,1,0.046176,3.975155,[65 25] ; [27  3],[69. 21.] ; [23.  7.],0
b5,1,0.0559,3.655034,[46 46] ; [21  9],[50.52459016 41.47540984] ; [16.47540984 13.52459016],0
r2,1,0.084398,2.978106,[72 19] ; [27  2],[75.075 15.925] ; [23.925  5.075],0
p5,1,0.08898,2.892722,[ 1 90] ; [ 2 28],[ 2.25619835 88.74380165] ; [ 0.74380165 29.25619835],0
n2,1,0.099977,2.705908,[20 22] ; [7 2],[22.23529412 19.76470588] ; [4.76470588 4.23529412],0
n4,1,0.150846,2.063679,[54 38] ; [22  8],[57.31147541 34.68852459] ; [18.68852459 11.31147541],0
d3,1,0.169621,1.886292,[45 47] ; [19 11],[48.26229508 43.73770492] ; [15.73770492 14.26229508],0
s7,1,0.171502,1.869761,[14 73] ; [ 8 21],[16.5 70.5] ; [ 5.5 23.5],0
b4,1,0.181611,1.784394,[55 37] ; [22  8],[58.06557377 33.93442623] ; [18.93442623 11.06557377],0
r4,1,0.181611,1.784394,[55 37] ; [22  8],[58.06557377 33.93442623] ; [18.93442623 11.06557377],0
r3,1,0.235881,1.405044,[66 26] ; [24  5],[68.42975207 23.57024793] ; [21.57024793  7.42975207],0
v1,1,0.265907,1.237739,[24 68] ; [11 19],[26.39344262 65.60655738] ; [ 8.60655738 21.39344262],0
s6,1,0.280906,1.162703,[24 67] ; [11 19],[26.32231405 64.67768595] ; [ 8.67768595 21.32231405],0
u3,1,0.311695,1.023479,[21 25] ; [8 5],[22.61016949 23.38983051] ; [6.38983051 6.61016949],0
d4,1,0.316894,1.001721,[60 31] ; [22  7],[62.18333333 28.81666667] ; [19.81666667  9.18333333],0
