Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,43.206938,[  6 128] ; [16 18],[ 17.54761905 116.45238095] ; [ 4.45238095 29.54761905],1
s2,1,7e-06,20.29838,[ 17 117] ; [16 18],[ 26.32142857 107.67857143] ; [ 6.67857143 27.32142857],1
p6,1,0.0001,15.145309,[ 21 111] ; [16 18],[ 29.42168675 102.57831325] ; [ 7.57831325 26.42168675],1
p10,1,0.002218,9.359757,[70 61] ; [28  6],[77.80606061 53.19393939] ; [20.19393939 13.80606061],0
p7,1,0.002931,8.849954,[53 77] ; [23 10],[60.61349693 69.38650307] ; [15.38650307 17.61349693],0
s4,1,0.003319,8.623439,[ 11 123] ; [ 9 25],[ 15.95238095 118.04761905] ; [ 4.04761905 29.95238095],0
p3,1,0.003357,8.602497,[39 95] ; [19 15],[46.26190476 87.73809524] ; [11.73809524 22.26190476],0
p2,1,0.006265,7.472572,[85 48] ; [30  4],[91.58682635 41.41317365] ; [23.41317365 10.58682635],0
s5,1,0.007138,7.237814,[  8 123] ; [ 7 26],[ 11.98170732 119.01829268] ; [ 3.01829268 29.98170732],0
p4,1,0.011193,6.434342,[43 90] ; [19 15],[49.37724551 83.62275449] ; [12.62275449 21.37724551],0
u1,1,0.013046,6.162843,[  3 131] ; [ 4 30],[  5.58333333 128.41666667] ; [ 1.41666667 32.58333333],0
b2,1,0.013364,6.120243,[25 57] ; [13  9],[29.96153846 52.03846154] ; [ 8.03846154 13.96153846],0
b3,1,0.013364,6.120243,[25 57] ; [13  9],[29.96153846 52.03846154] ; [ 8.03846154 13.96153846],0
s3,1,0.022635,5.196324,[ 29 103] ; [14 20],[34.19277108 97.80722892] ; [ 8.80722892 25.19277108],0
a5,1,0.025502,4.989448,[58 76] ; [22 12],[63.80952381 70.19047619] ; [16.19047619 17.80952381],0
a3,1,0.03166,4.616821,[66 66] ; [24 10],[71.56626506 60.43373494] ; [18.43373494 15.56626506],0
n1,1,0.051878,3.779701,[14 25] ; [7 3],[16.71428571 22.28571429] ; [4.28571429 5.71428571],0
u3,1,0.057646,3.60385,[26 42] ; [7 3],[28.76923077 39.23076923] ; [4.23076923 5.76923077],0
p5,1,0.061281,3.502358,[  3 129] ; [ 3 30],[  4.8 127.2] ; [ 1.2 31.8],0
d4,1,0.07751,3.116362,[64 70] ; [22 12],[68.5952381 65.4047619] ; [17.4047619 16.5952381],0
n4,1,0.114153,2.495768,[74 59] ; [24 10],[78.04790419 54.95209581] ; [19.95209581 14.04790419],0
a8,1,0.196267,1.669936,[ 13 112] ; [ 6 26],[ 15.12738854 109.87261146] ; [ 3.87261146 28.12738854],0
v3,1,0.225252,1.470591,[ 30 100] ; [11 22],[32.6993865 97.3006135] ; [ 8.3006135 24.6993865],0
p11,1,0.236846,1.399268,[84 50] ; [25  9],[86.94047619 47.05952381] ; [22.05952381 11.94047619],0
d3,1,0.241384,1.372493,[44 88] ; [15 19],[46.91566265 85.08433735] ; [12.08433735 21.91566265],0
u2,1,0.262363,1.256244,[28 40] ; [6 4],[29.64102564 38.35897436] ; [4.35897436 5.64102564],0
b1,1,0.283448,1.150483,[65 69] ; [13 21],[62.21428571 71.78571429] ; [15.78571429 18.21428571],0
d2,1,0.291356,1.113344,[ 26 107] ; [ 4 30],[ 23.89221557 109.10778443] ; [ 6.10778443 27.89221557],0
n6,1,0.302055,1.065097,[84 49] ; [24  9],[86.53012048 46.46987952] ; [21.46987952 11.53012048],0
v4,1,0.312871,1.018519,[106  26] ; [29  4],[108.  24.] ; [27.  6.],0
n5,1,0.322401,0.979183,[77 55] ; [23 11],[79.51807229 52.48192771] ; [20.48192771 13.51807229],0
p9,1,0.38625,0.750716,[82 49] ; [24 10],[84.15757576 46.84242424] ; [21.84242424 12.15757576],0
b4,1,0.39389,0.726899,[74 60] ; [16 18],[71.78571429 62.21428571] ; [18.21428571 15.78571429],0
r4,1,0.427793,0.628806,[89 45] ; [25  9],[90.92857143 43.07142857] ; [23.07142857 10.92857143],0
v2,1,0.458317,0.550002,[45 82] ; [14 19],[46.83125 80.16875] ; [12.16875 20.83125],0
r1,1,0.47061,0.520542,[73 60] ; [21 13],[74.86227545 58.13772455] ; [19.13772455 14.86227545],0
n3,1,0.476343,0.507223,[27 11] ; [9 2],[27.91836735 10.08163265] ; [8.08163265 2.91836735],0
v1,1,0.486807,0.483576,[47 84] ; [14 19],[48.72560976 82.27439024] ; [12.27439024 20.72560976],0
p8,1,0.496194,0.463067,[42 89] ; [13 21],[43.66666667 87.33333333] ; [11.33333333 22.66666667],0
n2,1,0.503273,0.448027,[28 11] ; [9 2],[28.86 10.14] ; [8.14 2.86],0
r2,1,0.516877,0.42012,[107  26] ; [29  5],[108.31137725  24.68862275] ; [27.68862275  6.31137725],0
b5,1,0.540804,0.374052,[79 55] ; [22 12],[80.55952381 53.44047619] ; [20.44047619 13.55952381],0
r3,1,0.714532,0.133792,[105  27] ; [28  6],[105.75903614  26.24096386] ; [27.24096386  6.75903614],0
p1,1,0.769498,0.085867,[ 14 119] ; [ 3 31],[ 13.53892216 119.46107784] ; [ 3.46107784 30.53892216],0
p12,1,0.789951,0.070956,[  3 131] ; [ 1 32],[  3.20958084 130.79041916] ; [ 0.79041916 32.20958084],0
a4,1,0.824521,0.049166,[ 34 100] ; [ 8 26],[ 33.5 100.5] ; [ 8.5 25.5],0
a7,1,0.833078,0.044418,[75 57] ; [20 14],[75.54216867 56.45783133] ; [19.45783133 14.54216867],0
s1,1,0.852786,0.034434,[  9 124] ; [ 2 32],[  8.76047904 124.23952096] ; [ 2.23952096 31.76047904],0
a1,1,0.860616,0.030832,[  9 125] ; [ 2 32],[  8.77380952 125.22619048] ; [ 2.22619048 31.77380952],0
a6,1,0.872423,0.025786,[73 61] ; [18 16],[72.58333333 61.41666667] ; [18.41666667 15.58333333],0
d5,1,0.917084,0.010838,[60 73] ; [15 19],[59.73053892 73.26946108] ; [15.26946108 18.73053892],0
a2,1,0.984583,0.000373,[  8 126] ; [ 2 32],[  7.97619048 126.02380952] ; [ 2.02380952 31.97619048],0
