Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.000227,13.595585,[ 5 23] ; [13  5],[10.95652174 17.04347826] ; [ 7.04347826 10.95652174],1
p10,1,0.006027,7.542133,[ 5 22] ; [10  7],[ 9.20454545 17.79545455] ; [ 5.79545455 11.20454545],0
r3,1,0.012199,6.2817,[ 9 19] ; [12  5],[13.06666667 14.93333333] ; [7.93333333 9.06666667],0
s7,1,0.020884,5.336471,[ 1 24] ; [ 5 12],[ 3.57142857 21.42857143] ; [ 2.42857143 14.57142857],0
v2,1,0.028108,4.821429,[ 3 24] ; [ 7 11],[ 6. 21.] ; [ 4. 14.],0
n3,1,0.044888,4.022857,[6 9] ; [6 1],[8.18181818 6.81818182] ; [3.81818182 3.18181818],0
b4,1,0.096921,2.755498,[15 13] ; [14  4],[17.65217391 10.34782609] ; [11.34782609  6.65217391],0
p2,1,0.114682,2.488479,[ 6 21] ; [ 8 10],[ 8.4 18.6] ; [ 5.6 12.4],0
r4,1,0.136189,2.220499,[ 3 25] ; [ 5 13],[ 4.86956522 23.13043478] ; [ 3.13043478 14.86956522],0
p4,1,0.136189,2.220499,[ 3 25] ; [ 5 13],[ 4.86956522 23.13043478] ; [ 3.13043478 14.86956522],0
p9,1,0.140917,2.167917,[ 9 18] ; [9 7],[11.30232558 15.69767442] ; [6.69767442 9.30232558],0
d5,1,0.178663,1.808707,[13 15] ; [12  6],[15.2173913 12.7826087] ; [9.7826087 8.2173913],0
n2,1,0.191719,1.704359,[7 8] ; [6 2],[8.47826087 6.52173913] ; [4.52173913 3.47826087],0
n5,1,0.205886,1.60012,[15 13] ; [13  5],[17.04347826 10.95652174] ; [10.95652174  7.04347826],0
r1,1,0.228258,1.451681,[11 17] ; [ 4 14],[ 9.13043478 18.86956522] ; [ 5.86956522 12.13043478],0
d1,1,0.269964,1.216931,[ 8 20] ; [ 8 10],[ 9.73913043 18.26086957] ; [ 6.26086957 11.73913043],0
s2,1,0.277006,1.181723,[ 2 26] ; [ 3 14],[ 3.11111111 24.88888889] ; [ 1.88888889 15.11111111],0
p3,1,0.288918,1.124658,[ 3 25] ; [ 4 14],[ 4.26086957 23.73913043] ; [ 2.73913043 15.26086957],0
d4,1,0.301099,1.06932,[16 12] ; [13  5],[17.65217391 10.34782609] ; [11.34782609  6.65217391],0
d3,1,0.33687,0.922306,[10 18] ; [9 9],[11.56521739 16.43478261] ; [ 7.43478261 10.56521739],0
s1,1,0.353195,0.861943,[ 4 24] ; [ 1 17],[ 3.04347826 24.95652174] ; [ 1.95652174 16.04347826],0
a2,1,0.353195,0.861943,[ 4 24] ; [ 1 17],[ 3.04347826 24.95652174] ; [ 1.95652174 16.04347826],0
a4,1,0.367087,0.813502,[12 16] ; [ 5 12],[10.57777778 17.42222222] ; [ 6.42222222 10.57777778],0
b1,1,0.474355,0.511813,[17 11] ; [9 9],[15.82608696 12.17391304] ; [10.17391304  7.82608696],0
s3,1,0.507211,0.439817,[ 7 20] ; [ 6 11],[ 7.97727273 19.02272727] ; [ 5.02272727 11.97727273],0
a8,1,0.538462,0.378397,[ 3 24] ; [ 3 14],[ 3.68181818 23.31818182] ; [ 2.31818182 14.68181818],0
b2,1,0.542802,0.37037,[ 8 10] ; [4 8],[ 7.2 10.8] ; [4.8 7.2],0
b3,1,0.542802,0.37037,[ 8 10] ; [4 8],[ 7.2 10.8] ; [4.8 7.2],0
a5,1,0.545699,0.365079,[13 15] ; [10  8],[14. 14.] ; [9. 9.],0
n4,1,0.575207,0.314047,[18 10] ; [13  5],[18.86956522  9.13043478] ; [12.13043478  5.86956522],0
s5,1,0.597356,0.279002,[ 2 26] ; [ 2 15],[ 2.48888889 25.51111111] ; [ 1.51111111 15.48888889],0
n1,1,0.672754,0.178397,[8 7] ; [5 3],[8.47826087 6.52173913] ; [4.52173913 3.47826087],0
a7,1,0.712774,0.135522,[14 14] ; [ 8 10],[13.39130435 14.60869565] ; [8.60869565 9.39130435],0
p8,1,0.7203,0.128205,[ 4 23] ; [ 2 16],[ 3.6 23.4] ; [ 2.4 15.6],0
r2,1,0.724058,0.124638,[15 12] ; [8 8],[14.44186047 12.55813953] ; [8.55813953 7.44186047],0
b5,1,0.728742,0.12027,[11 17] ; [ 8 10],[11.56521739 16.43478261] ; [ 7.43478261 10.56521739],0
p1,1,0.755028,0.097354,[ 4 24] ; [ 2 16],[ 3.65217391 24.34782609] ; [ 2.34782609 15.65217391],0
d2,1,0.783309,0.07563,[12 16] ; [8 9],[12.44444444 15.55555556] ; [7.55555556 9.44444444],0
u2,1,0.798217,0.065359,[ 2 10] ; [1 7],[ 1.8 10.2] ; [1.2 6.8],0
a3,1,0.805348,0.060729,[16 11] ; [10  8],[15.6 11.4] ; [10.4  7.6],0
a6,1,0.812923,0.056006,[13 15] ; [9 9],[13.39130435 14.60869565] ; [8.60869565 9.39130435],0
v3,1,0.826328,0.048142,[ 4 24] ; [ 3 15],[ 4.26086957 23.73913043] ; [ 2.73913043 15.26086957],0
p7,1,0.829333,0.046465,[ 7 21] ; [ 4 14],[ 6.69565217 21.30434783] ; [ 4.30434783 13.69565217],0
v1,1,0.911385,0.012386,[ 7 21] ; [ 4 13],[ 6.84444444 21.15555556] ; [ 4.15555556 12.84444444],0
s4,1,0.966339,0.001781,[ 3 25] ; [ 2 16],[ 3.04347826 24.95652174] ; [ 1.95652174 16.04347826],0
