Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.4e-05,17.809684,[35 60] ; [23  5],[44.79674797 50.20325203] ; [13.20325203 14.79674797],1
b3,1,0.001189,10.507636,[13 44] ; [10  5],[18.20833333 38.79166667] ; [ 4.79166667 10.20833333],0
b2,1,0.001189,10.507636,[13 44] ; [10  5],[18.20833333 38.79166667] ; [ 4.79166667 10.20833333],0
p2,1,0.003643,8.453562,[59 38] ; [26  3],[65.43650794 31.56349206] ; [19.56349206  9.43650794],0
s7,1,0.011032,6.460084,[12 84] ; [ 9 18],[16.3902439 79.6097561] ; [ 4.6097561 22.3902439],0
p4,1,0.013252,6.13516,[26 70] ; [15 14],[31.488 64.512] ; [ 9.512 19.488],0
p8,1,0.022731,5.188911,[28 69] ; [15 14],[33.1031746 63.8968254] ; [ 9.8968254 19.1031746],0
n1,1,0.066327,3.371667,[ 9 23] ; [6 4],[11.42857143 20.57142857] ; [3.57142857 6.42857143],0
p5,1,0.073011,3.213995,[ 1 94] ; [ 2 27],[ 2.2983871 92.7016129] ; [ 0.7016129 28.2983871],0
v4,1,0.084146,2.982939,[76 20] ; [27  2],[79.104 16.896] ; [23.896  5.104],0
n3,1,0.100599,2.696021,[20 12] ; [9 1],[22.0952381  9.9047619] ; [6.9047619 3.0952381],0
b4,1,0.142106,2.155,[59 39] ; [13 16],[55.55905512 42.44094488] ; [16.44094488 12.55905512],0
v1,1,0.142448,2.151315,[26 70] ; [12 17],[29.184 66.816] ; [ 8.816 20.184],0
v2,1,0.147609,2.096785,[29 63] ; [13 15],[32.2 59.8] ; [ 9.8 18.2],0
s4,1,0.156563,2.007109,[ 8 90] ; [ 5 24],[10.03149606 87.96850394] ; [ 2.96850394 26.03149606],0
b5,1,0.166101,1.917781,[57 41] ; [21  8],[60.18897638 37.81102362] ; [17.81102362 11.18897638],0
r3,1,0.173748,1.850306,[76 21] ; [26  3],[78.52380952 18.47619048] ; [23.47619048  5.52380952],0
a7,1,0.179974,1.797836,[52 45] ; [19  9],[55.096 41.904] ; [15.904 12.096],0
p1,1,0.183585,1.768359,[ 6 91] ; [ 4 25],[ 7.6984127 89.3015873] ; [ 2.3015873 26.6984127],0
p3,1,0.18978,1.719326,[22 76] ; [10 19],[24.69291339 73.30708661] ; [ 7.30708661 21.69291339],0
r1,1,0.193833,1.688244,[54 44] ; [12 17],[50.92913386 47.07086614] ; [15.07086614 13.92913386],0
n5,1,0.197992,1.657125,[47 50] ; [18 11],[50.03968254 46.96031746] ; [14.96031746 14.03968254],0
d1,1,0.216497,1.527439,[32 66] ; [ 6 23],[29.32283465 68.67716535] ; [ 8.67716535 20.32283465],0
s8,1,0.223571,1.481304,[ 9 89] ; [ 5 24],[10.80314961 87.19685039] ; [ 3.19685039 25.80314961],0
u2,1,0.253242,1.305328,[25 33] ; [10  7],[27.06666667 30.93333333] ; [7.93333333 9.06666667],0
d4,1,0.253295,1.305037,[61 35] ; [15 14],[58.368 37.632] ; [17.632 11.368],0
r4,1,0.270777,1.212805,[60 38] ; [21  8],[62.50393701 35.49606299] ; [18.49606299 10.50393701],0
v3,1,0.292559,1.107807,[20 73] ; [ 9 20],[22.10655738 70.89344262] ; [ 6.89344262 22.10655738],0
a8,1,0.319052,0.992827,[ 8 84] ; [ 4 22],[ 9.3559322 82.6440678] ; [ 2.6440678 23.3559322],0
n4,1,0.361555,0.832484,[48 50] ; [17 12],[50.15748031 47.84251969] ; [14.84251969 14.15748031],0
a6,1,0.380915,0.767746,[45 53] ; [16 13],[47.07086614 50.92913386] ; [13.92913386 15.07086614],0
s2,1,0.411883,0.673358,[17 81] ; [ 7 22],[18.51968504 79.48031496] ; [ 5.48031496 23.51968504],0
p11,1,0.44819,0.575224,[60 38] ; [20  9],[61.73228346 36.26771654] ; [18.26771654 10.73228346],0
r2,1,0.478467,0.502355,[78 19] ; [25  4],[79.29365079 17.70634921] ; [23.70634921  5.29365079],0
d2,1,0.506865,0.440534,[26 71] ; [ 6 23],[24.63492063 72.36507937] ; [ 7.36507937 21.63492063],0
s5,1,0.518292,0.417291,[ 9 85] ; [ 4 25],[ 9.93495935 84.06504065] ; [ 3.06504065 25.93495935],0
a4,1,0.567473,0.32693,[18 80] ; [ 4 25],[16.97637795 81.02362205] ; [ 5.02362205 23.97637795],0
s1,1,0.712322,0.135969,[ 5 93] ; [ 1 28],[ 4.62992126 93.37007874] ; [ 1.37007874 27.62992126],0
n2,1,0.750492,0.101118,[20 11] ; [7 3],[20.41463415 10.58536585] ; [6.58536585 3.41463415],0
s3,1,0.752501,0.099441,[26 70] ; [ 7 22],[25.344 70.656] ; [ 7.656 21.344],0
p9,1,0.767794,0.08718,[60 36] ; [19 10],[60.672 35.328] ; [18.328 10.672],0
d5,1,0.774098,0.08238,[53 45] ; [16 12],[53.66666667 44.33333333] ; [15.33333333 12.66666667],0
p10,1,0.795339,0.06728,[55 40] ; [16 13],[54.39516129 40.60483871] ; [16.60483871 12.39516129],0
a3,1,0.878235,0.023473,[40 57] ; [12 16],[40.352 56.648] ; [11.648 16.352],0
u3,1,0.910352,0.012677,[23 35] ; [ 7 10],[23.2 34.8] ; [ 6.8 10.2],0
d3,1,0.911253,0.012423,[46 52] ; [13 14],[46.256 51.744] ; [12.744 14.256],0
u1,1,0.916508,0.01099,[ 3 95] ; [ 1 28],[ 3.08661417 94.91338583] ; [ 0.91338583 28.08661417],0
n6,1,0.935522,0.006545,[65 33] ; [19 10],[64.81889764 33.18110236] ; [19.18110236  9.81889764],0
b1,1,0.986306,0.000295,[37 61] ; [11 18],[37.03937008 60.96062992] ; [10.96062992 18.03937008],0
