Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000792,11.259144,[31 12] ; [ 8 18],[24.30434783 18.69565217] ; [14.69565217 11.30434783],1
v2,1,0.001024,10.783134,[ 5 37] ; [12 13],[10.65671642 31.34328358] ; [ 6.34328358 18.65671642],0
b5,1,0.006874,7.305558,[17 26] ; [19  7],[22.43478261 20.56521739] ; [13.56521739 12.43478261],0
p2,1,0.009385,6.748085,[11 31] ; [15 11],[16.05882353 25.94117647] ; [ 9.94117647 16.05882353],0
s6,1,0.019412,5.464024,[ 6 37] ; [10 16],[ 9.97101449 33.02898551] ; [ 6.02898551 19.97101449],0
s2,1,0.019412,5.464024,[ 6 37] ; [10 16],[ 9.97101449 33.02898551] ; [ 6.02898551 19.97101449],0
v4,1,0.030999,4.653014,[20 23] ; [19  7],[24.30434783 18.69565217] ; [14.69565217 11.30434783],0
d4,1,0.034936,4.448278,[24 19] ; [21  5],[28.04347826 14.95652174] ; [16.95652174  9.04347826],0
d3,1,0.05783,3.598553,[19 24] ; [17  8],[22.76470588 20.23529412] ; [13.23529412 11.76470588],0
n4,1,0.06402,3.430061,[28 15] ; [11 15],[24.30434783 18.69565217] ; [14.69565217 11.30434783],0
p7,1,0.088157,2.907714,[ 8 33] ; [10 16],[11.01492537 29.98507463] ; [ 6.98507463 19.01492537],0
a7,1,0.113113,2.510185,[18 25] ; [16 10],[21.1884058 21.8115942] ; [12.8115942 13.1884058],0
p6,1,0.116494,2.463832,[ 3 39] ; [ 5 20],[ 5.01492537 36.98507463] ; [ 2.98507463 22.01492537],0
s5,1,0.116494,2.463832,[ 3 39] ; [ 5 20],[ 5.01492537 36.98507463] ; [ 2.98507463 22.01492537],0
n1,1,0.127988,2.316739,[ 9 15] ; [ 2 12],[ 6.94736842 17.05263158] ; [4.05263158 9.94736842],0
a1,1,0.145491,2.118898,[ 9 34] ; [ 2 24],[ 6.85507246 36.14492754] ; [ 4.14492754 21.85507246],0
b3,1,0.166977,1.909874,[14 13] ; [3 8],[12.07894737 14.92105263] ; [4.92105263 6.07894737],0
b2,1,0.166977,1.909874,[14 13] ; [3 8],[12.07894737 14.92105263] ; [4.92105263 6.07894737],0
p9,1,0.182528,1.776923,[12 28] ; [12 14],[14.54545455 25.45454545] ; [ 9.45454545 16.54545455],0
a4,1,0.198282,1.654983,[16 26] ; [ 6 20],[13.58823529 28.41176471] ; [ 8.41176471 17.58823529],0
n6,1,0.234403,1.413944,[16 27] ; [13 12],[18.33823529 24.66176471] ; [10.66176471 14.33823529],0
d1,1,0.258753,1.275418,[14 29] ; [12 14],[16.20289855 26.79710145] ; [ 9.79710145 16.20289855],0
p1,1,0.266279,1.235817,[ 5 38] ; [ 1 25],[ 3.73913043 39.26086957] ; [ 2.26086957 23.73913043],0
p3,1,0.269793,1.217799,[ 7 35] ; [ 7 18],[ 8.7761194 33.2238806] ; [ 5.2238806 19.7761194],0
s3,1,0.287165,1.132866,[11 31] ; [10 16],[12.97058824 29.02941176] ; [ 8.02941176 17.97058824],0
d5,1,0.331986,0.941136,[23 20] ; [17  9],[24.92753623 18.07246377] ; [15.07246377 10.92753623],0
v1,1,0.363274,0.826543,[11 32] ; [ 9 16],[12.64705882 30.35294118] ; [ 7.35294118 17.64705882],0
p8,1,0.407143,0.687129,[ 5 37] ; [ 5 21],[ 6.17647059 35.82352941] ; [ 3.82352941 22.17647059],0
a3,1,0.426616,0.632018,[26 16] ; [13 12],[24.44776119 17.55223881] ; [14.55223881 10.44776119],0
p4,1,0.44658,0.579317,[ 8 34] ; [ 7 19],[ 9.26470588 32.73529412] ; [ 5.73529412 20.26470588],0
p10,1,0.524748,0.404551,[13 29] ; [10 16],[14.20588235 27.79411765] ; [ 8.79411765 17.20588235],0
u3,1,0.580498,0.30543,[ 4 13] ; [ 2 11],[ 3.4 13.6] ; [ 2.6 10.4],0
s4,1,0.587772,0.293837,[ 7 36] ; [ 3 23],[ 6.23188406 36.76811594] ; [ 3.76811594 22.23188406],0
n2,1,0.618228,0.248366,[10 14] ; [7 7],[10.73684211 13.26315789] ; [6.26315789 7.73684211],0
s7,1,0.679944,0.170189,[ 7 33] ; [ 5 18],[ 7.61904762 32.38095238] ; [ 4.38095238 18.61904762],0
v3,1,0.694466,0.154293,[10 33] ; [ 5 21],[ 9.34782609 33.65217391] ; [ 5.65217391 20.34782609],0
n3,1,0.717269,0.131125,[10 14] ; [5 9],[ 9.47368421 14.52631579] ; [5.52631579 8.47368421],0
