Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.001278,10.374737,[12  4] ; [ 7 21],[6.90909091 9.09090909] ; [12.09090909 15.90909091],0
p6,1,0.005541,7.693924,[9 8] ; [ 4 24],[ 4.91111111 12.08888889] ; [ 8.08888889 19.91111111],0
p11,1,0.005958,7.563025,[12  5] ; [ 8 20],[7.55555556 9.44444444] ; [12.44444444 15.55555556],0
p2,1,0.009381,6.748859,[15  2] ; [14 14],[10.95555556  6.04444444] ; [18.04444444  9.95555556],0
p4,1,0.017341,5.661552,[11  6] ; [ 8 20],[7.17777778 9.82222222] ; [11.82222222 16.17777778],0
p3,1,0.029695,4.726891,[9 8] ; [ 6 22],[ 5.66666667 11.33333333] ; [ 9.33333333 18.66666667],0
v2,1,0.085021,2.9662,[8 9] ; [ 6 21],[ 5.40909091 11.59090909] ; [ 8.59090909 18.40909091],0
u3,1,0.146924,2.103896,[2 5] ; [7 4],[3.5 3.5] ; [5.5 5.5],0
a6,1,0.155158,2.020793,[ 6 11] ; [16 12],[8.31111111 8.68888889] ; [13.68888889 14.31111111],0
s8,1,0.235446,1.407657,[ 3 13] ; [10 18],[ 4.72727273 11.27272727] ; [ 8.27272727 19.72727273],0
d4,1,0.256641,1.286786,[8 9] ; [18 10],[9.82222222 7.17777778] ; [16.17777778 11.82222222],0
p10,1,0.258595,1.276261,[12  5] ; [15 13],[10.2  6.8] ; [16.8 11.2],0
u2,1,0.279642,1.168831,[5 2] ; [5 6],[3.88888889 3.11111111] ; [6.11111111 4.88888889],0
b4,1,0.317023,1.001187,[9 8] ; [19  9],[10.57777778  6.42222222] ; [17.42222222 10.57777778],0
a2,1,0.384488,0.756303,[ 1 16] ; [ 4 24],[ 1.88888889 15.11111111] ; [ 3.11111111 24.88888889],0
v1,1,0.384488,0.756303,[ 7 10] ; [ 8 20],[ 5.66666667 11.33333333] ; [ 9.33333333 18.66666667],0
