Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.013922,6.048042,[ 5 23] ; [4 2],[ 7.41176471 20.58823529] ; [1.58823529 4.41176471],0
p1,1,0.07077,3.265079,[ 2 26] ; [2 4],[ 3.29411765 24.70588235] ; [0.70588235 5.29411765],0
s1,1,0.07077,3.265079,[ 2 26] ; [2 4],[ 3.29411765 24.70588235] ; [0.70588235 5.29411765],0
s2,1,0.155707,2.015435,[ 3 25] ; [2 4],[ 4.11764706 23.88235294] ; [0.88235294 5.11764706],0
r2,1,0.158147,1.991855,[14 13] ; [5 1],[15.54545455 11.45454545] ; [3.45454545 2.54545455],0
r3,1,0.178872,1.806973,[13 15] ; [1 5],[11.52941176 16.47058824] ; [2.47058824 3.52941176],0
s6,1,0.266716,1.23356,[ 4 24] ; [2 4],[ 4.94117647 23.05882353] ; [1.05882353 4.94117647],0
p3,1,0.266716,1.23356,[ 4 24] ; [2 4],[ 4.94117647 23.05882353] ; [1.05882353 4.94117647],0
a2,1,0.266716,1.23356,[ 4 24] ; [2 4],[ 4.94117647 23.05882353] ; [1.05882353 4.94117647],0
a1,1,0.266716,1.23356,[ 4 24] ; [2 4],[ 4.94117647 23.05882353] ; [1.05882353 4.94117647],0
p8,1,0.309947,1.030901,[ 4 22] ; [2 4],[ 4.875 21.125] ; [1.125 4.875],0
p9,1,0.338352,0.916667,[ 8 19] ; [3 3],[ 9. 18.] ; [2. 4.],0
s7,1,0.393942,0.72674,[ 2 24] ; [1 4],[ 2.51612903 23.48387097] ; [0.48387097 4.51612903],0
u2,1,0.422813,0.642483,[ 3 10] ; [1 1],[3.46666667 9.53333333] ; [0.53333333 1.46666667],0
a5,1,0.45794,0.550926,[14 14] ; [4 2],[14.82352941 13.17647059] ; [3.17647059 2.82352941],0
n5,1,0.45794,0.550926,[14 14] ; [2 4],[13.17647059 14.82352941] ; [2.82352941 3.17647059],0
b4,1,0.45794,0.550926,[14 14] ; [4 2],[14.82352941 13.17647059] ; [3.17647059 2.82352941],0
d4,1,0.513464,0.427002,[18 10] ; [3 3],[17.29411765 10.70588235] ; [3.70588235 2.29411765],0
b5,1,0.557706,0.343693,[13 15] ; [2 4],[12.35294118 15.64705882] ; [2.64705882 3.35294118],0
v2,1,0.565659,0.33,[ 6 21] ; [2 4],[ 6.54545455 20.45454545] ; [1.45454545 4.54545455],0
a3,1,0.618402,0.24812,[15 12] ; [4 2],[15.54545455 11.45454545] ; [3.45454545 2.54545455],0
a4,1,0.628439,0.234184,[11 17] ; [3 3],[11.52941176 16.47058824] ; [2.47058824 3.52941176],0
d3,1,0.628439,0.234184,[11 17] ; [3 3],[11.52941176 16.47058824] ; [2.47058824 3.52941176],0
p11,1,0.66233,0.190705,[ 7 21] ; [1 5],[ 6.58823529 21.41176471] ; [1.41176471 4.58823529],0
r1,1,0.667082,0.185034,[12 16] ; [2 4],[11.52941176 16.47058824] ; [2.47058824 3.52941176],0
b1,1,0.667082,0.185034,[16 12] ; [4 2],[16.47058824 11.52941176] ; [3.52941176 2.47058824],0
s4,1,0.681314,0.168651,[ 3 25] ; [1 5],[ 3.29411765 24.70588235] ; [0.70588235 5.29411765],0
b2,1,0.70386,0.144487,[ 9 11] ; [1 2],[ 8.69565217 11.30434783] ; [1.30434783 1.69565217],0
b3,1,0.70386,0.144487,[ 9 11] ; [1 2],[ 8.69565217 11.30434783] ; [1.30434783 1.69565217],0
n4,1,0.749139,0.102256,[16 12] ; [3 3],[15.64705882 12.35294118] ; [3.35294118 2.64705882],0
p10,1,0.763341,0.090659,[ 6 21] ; [1 5],[ 5.72727273 21.27272727] ; [1.27272727 4.72727273],0
p4,1,0.793488,0.068531,[ 6 22] ; [1 5],[ 5.76470588 22.23529412] ; [1.23529412 4.76470588],0
s3,1,0.858282,0.031884,[ 8 19] ; [2 4],[ 8.18181818 18.81818182] ; [1.81818182 4.18181818],0
d2,1,0.873628,0.025298,[13 15] ; [3 3],[13.17647059 14.82352941] ; [2.82352941 3.17647059],0
a7,1,0.873628,0.025298,[15 13] ; [3 3],[14.82352941 13.17647059] ; [3.17647059 2.82352941],0
a6,1,0.873628,0.025298,[13 15] ; [3 3],[13.17647059 14.82352941] ; [2.82352941 3.17647059],0
r4,1,0.881208,0.022332,[ 4 24] ; [1 5],[ 4.11764706 23.88235294] ; [0.88235294 5.11764706],0
d1,1,0.911815,0.012266,[10 18] ; [2 4],[ 9.88235294 18.11764706] ; [2.11764706 3.88235294],0
d5,1,1.0,0.0,[14 14] ; [3 3],[14. 14.] ; [3. 3.],0
