Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000183,13.995459,[23  7] ; [ 2 11],[17.44186047 12.55813953] ; [7.55813953 5.44186047],1
p10,1,0.000597,11.78429,[21  8] ; [ 2 11],[15.88095238 13.11904762] ; [7.11904762 5.88095238],1
p11,1,0.000729,11.412625,[25  5] ; [4 9],[20.23255814  9.76744186] ; [8.76744186 4.23255814],1
p9,1,0.00102,10.791048,[23  6] ; [3 9],[18.3902439 10.6097561] ; [7.6097561 4.3902439],0
p8,1,0.008389,6.948451,[15 15] ; [ 1 12],[11.1627907 18.8372093] ; [4.8372093 8.1627907],0
n6,1,0.015772,5.828101,[23  7] ; [5 8],[19.53488372 10.46511628] ; [8.46511628 4.53488372],0
p7,1,0.026111,4.948651,[18 12] ; [ 3 10],[14.65116279 15.34883721] ; [6.34883721 6.65116279],0
r3,1,0.041821,4.142446,[25  5] ; [7 6],[22.3255814  7.6744186] ; [9.6744186 3.3255814],0
v4,1,0.049875,3.845668,[23  7] ; [6 7],[20.23255814  9.76744186] ; [8.76744186 4.23255814],0
s7,1,0.065501,3.392308,[11 15] ; [1 9],[ 8.66666667 17.33333333] ; [3.33333333 6.66666667],0
r4,1,0.113647,2.502766,[12 18] ; [ 2 11],[ 9.76744186 20.23255814] ; [4.23255814 8.76744186],0
s6,1,0.118694,2.434471,[17 13] ; [4 9],[14.65116279 15.34883721] ; [6.34883721 6.65116279],0
s2,1,0.146343,2.109959,[ 8 21] ; [ 1 12],[ 6.21428571 22.78571429] ; [ 2.78571429 10.21428571],0
p3,1,0.196243,1.670118,[14 16] ; [3 9],[12.14285714 17.85714286] ; [4.85714286 7.14285714],0
d3,1,0.206404,1.596473,[20 10] ; [6 7],[18.13953488 11.86046512] ; [7.86046512 5.13953488],0
v1,1,0.20692,1.592848,[13 17] ; [ 3 10],[11.1627907 18.8372093] ; [4.8372093 8.1627907],0
a8,1,0.227052,1.459236,[ 3 26] ; [3 9],[ 4.24390244 24.75609756] ; [ 1.75609756 10.24390244],0
b1,1,0.243525,1.360071,[15 15] ; [9 4],[16.74418605 13.25581395] ; [7.25581395 5.74418605],0
n3,1,0.291841,1.111111,[8 4] ; [1 2],[7.2 4.8] ; [1.8 1.2],0
n4,1,0.307375,1.041923,[21  9] ; [7 6],[19.53488372 10.46511628] ; [8.46511628 4.53488372],0
p5,1,0.315368,1.008059,[ 6 24] ; [ 1 12],[ 4.88372093 25.11627907] ; [ 2.11627907 10.88372093],0
s4,1,0.315368,1.008059,[ 6 24] ; [ 1 12],[ 4.88372093 25.11627907] ; [ 2.11627907 10.88372093],0
r1,1,0.331806,0.941835,[14 16] ; [4 9],[12.55813953 17.44186047] ; [5.44186047 7.55813953],0
b4,1,0.331806,0.941835,[16 14] ; [9 4],[17.44186047 12.55813953] ; [7.55813953 5.44186047],0
a2,1,0.36605,0.817028,[ 2 28] ; [ 2 11],[ 2.79069767 27.20930233] ; [ 1.20930233 11.79069767],0
v2,1,0.379235,0.773182,[17 13] ; [5 7],[15.71428571 14.28571429] ; [6.28571429 5.71428571],0
v3,1,0.382443,0.762833,[11 19] ; [ 3 10],[ 9.76744186 20.23255814] ; [4.23255814 8.76744186],0
n5,1,0.424415,0.638058,[20 10] ; [7 6],[18.8372093 11.1627907] ; [8.1627907 4.8372093],0
u2,1,0.445009,0.583333,[10  5] ; [5 1],[10.71428571  4.28571429] ; [4.28571429 1.71428571],0
s1,1,0.533043,0.388587,[ 1 29] ; [ 1 12],[ 1.39534884 28.60465116] ; [ 0.60465116 12.39534884],0
a1,1,0.533043,0.388587,[ 1 29] ; [ 1 12],[ 1.39534884 28.60465116] ; [ 0.60465116 12.39534884],0
a7,1,0.565206,0.330769,[18 12] ; [9 4],[18.8372093 11.1627907] ; [8.1627907 4.8372093],0
b5,1,0.618775,0.247593,[16 14] ; [8 5],[16.74418605 13.25581395] ; [7.25581395 5.74418605],0
b3,1,0.650198,0.205651,[ 6 13] ; [4 6],[ 6.55172414 12.44827586] ; [3.44827586 6.55172414],0
b2,1,0.650198,0.205651,[ 6 13] ; [4 6],[ 6.55172414 12.44827586] ; [3.44827586 6.55172414],0
u3,1,0.675706,0.175,[6 9] ; [3 3],[6.42857143 8.57142857] ; [2.57142857 3.42857143],0
a4,1,0.745903,0.105006,[10 20] ; [5 8],[10.46511628 19.53488372] ; [4.53488372 8.46511628],0
a5,1,0.766157,0.08845,[17 13] ; [8 5],[17.44186047 12.55813953] ; [7.55813953 5.44186047],0
d2,1,0.766157,0.08845,[13 17] ; [5 8],[12.55813953 17.44186047] ; [5.44186047 7.55813953],0
a3,1,0.816752,0.053696,[15 15] ; [7 6],[15.34883721 14.65116279] ; [6.65116279 6.34883721],0
a6,1,0.864188,0.029257,[17 13] ; [7 6],[16.74418605 13.25581395] ; [7.25581395 5.74418605],0
s3,1,0.885558,0.020715,[ 9 20] ; [4 8],[ 9.19512195 19.80487805] ; [3.80487805 8.19512195],0
p1,1,0.903495,0.014701,[ 2 28] ; [ 1 12],[ 2.09302326 27.90697674] ; [ 0.90697674 12.09302326],0
u1,1,0.903495,0.014701,[ 2 28] ; [ 1 12],[ 2.09302326 27.90697674] ; [ 0.90697674 12.09302326],0
d4,1,0.916705,0.010938,[25  5] ; [11  2],[25.11627907  4.88372093] ; [10.88372093  2.11627907],0
d1,1,0.975298,0.000959,[14 16] ; [6 7],[13.95348837 16.04651163] ; [6.04651163 6.95348837],0
