Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,51.477928,[177  55] ; [37 67],[147.76190476  84.23809524] ; [66.23809524 37.76190476],1
a6,1,0.0,30.240395,[182  51] ; [50 54],[160.40356083  72.59643917] ; [71.59643917 32.40356083],1
r3,1,1.2e-05,19.194273,[213  19] ; [77 27],[200.23809524  31.76190476] ; [89.76190476 14.23809524],1
r4,1,1.9e-05,18.317132,[195  38] ; [65 39],[179.76261128  53.23738872] ; [80.23738872 23.76261128],1
d5,1,7.3e-05,15.734468,[192  41] ; [65 39],[177.6884273  55.3115727] ; [79.3115727 24.6884273],1
a2,1,0.000222,13.637993,[ 55 178] ; [ 7 97],[ 42.86646884 190.13353116] ; [19.13353116 84.86646884],1
b5,1,0.000417,12.45633,[155  78] ; [48 56],[140.35311573  92.64688427] ; [62.64688427 41.35311573],1
d4,1,0.000485,12.172174,[189  44] ; [66 38],[176.30563798  56.69436202] ; [78.69436202 25.30563798],1
r1,1,0.000829,11.175217,[170  62] ; [57 47],[156.73809524  75.26190476] ; [70.26190476 33.73809524],1
d1,1,0.001024,10.783484,[128 105] ; [37 67],[114.08011869 118.91988131] ; [50.91988131 53.08011869],0
v4,1,0.001599,9.960865,[214  19] ; [83 21],[205.34421365  27.65578635] ; [91.65578635 12.34421365],0
u1,1,0.002565,9.09383,[ 32 201] ; [  3 101],[ 24.19881306 208.80118694] ; [10.80118694 93.19881306],0
p10,1,0.004105,8.236735,[168  60] ; [59 43],[156.83636364  71.16363636] ; [70.16363636 31.83636364],0
r2,1,0.004904,7.914429,[209  22] ; [80 21],[201.0813253  29.9186747] ; [87.9186747 13.0813253],0
p8,1,0.010887,6.483644,[114 114] ; [36 67],[103.32326284 124.67673716] ; [46.67673716 56.32326284],0
p4,1,0.013319,6.126199,[120 111] ; [38 64],[109.6036036 121.3963964] ; [48.3963964 53.6036036],0
a5,1,0.014387,5.989967,[164  69] ; [59 45],[154.1810089  78.8189911] ; [68.8189911 35.1810089],0
p3,1,0.016641,5.733877,[ 98 134] ; [29 73],[ 88.21556886 143.78443114] ; [38.78443114 63.21556886],0
u3,1,0.019044,5.497484,[43 37] ; [14 30],[36.77419355 43.22580645] ; [20.22580645 23.77419355],0
p2,1,0.03103,4.651311,[178  54] ; [66 35],[169.99399399  62.00600601] ; [74.00600601 26.99399399],0
b1,1,0.038084,4.301275,[ 82 151] ; [49 55],[ 90.5727003 142.4272997] ; [40.4272997 63.5727003],0
n5,1,0.061281,3.502362,[147  84] ; [77 27],[154.45970149  76.54029851] ; [69.54029851 34.45970149],0
s5,1,0.086598,2.936495,[ 34 195] ; [23 79],[ 39.43504532 189.56495468] ; [17.56495468 84.43504532],0
p6,1,0.100697,2.69447,[ 63 166] ; [19 81],[ 57.07598784 171.92401216] ; [24.92401216 75.07598784],0
p9,1,0.105161,2.62547,[171  57] ; [67 34],[164.93617021  63.06382979] ; [73.06382979 27.93617021],0
s1,1,0.107165,2.595543,[  4 227] ; [ 5 99],[  6.20597015 224.79402985] ; [  2.79402985 101.20597015],0
v1,1,0.146665,2.106602,[109 121] ; [40 63],[102.91291291 127.08708709] ; [46.08708709 56.91291291],0
a3,1,0.154296,2.029254,[152  79] ; [60 44],[146.18507463  84.81492537] ; [65.81492537 38.18507463],0
a8,1,0.180494,1.793555,[ 23 186] ; [ 6 91],[ 19.80718954 189.19281046] ; [ 9.19281046 87.80718954],0
v3,1,0.18312,1.772123,[ 70 156] ; [24 77],[ 64.96636086 161.03363914] ; [29.03363914 71.96636086],0
u2,1,0.219628,1.506802,[39 41] ; [16 27],[35.77235772 44.22764228] ; [19.22764228 23.77235772],0
p7,1,0.219786,1.505769,[120 109] ; [46 56],[114.84592145 114.15407855] ; [51.15407855 50.84592145],0
v2,1,0.242341,1.366924,[116 109] ; [45 56],[111.1196319 113.8803681] ; [49.8803681 51.1196319],0
p12,1,0.276216,1.185612,[ 10 220] ; [  2 101],[  8.28828829 221.71171171] ; [ 3.71171171 99.28828829],0
n3,1,0.284334,1.146255,[41 18] ; [23 16],[38.53061224 20.46938776] ; [25.46938776 13.53061224],0
b4,1,0.332152,0.940489,[132 101] ; [53 51],[127.90801187 105.09198813] ; [57.09198813 46.90801187],0
s6,1,0.359142,0.84089,[ 83 146] ; [32 71],[ 79.32228916 149.67771084] ; [35.67771084 67.32228916],0
p11,1,0.378032,0.777094,[170  63] ; [71 33],[166.62611276  66.37388724] ; [74.37388724 29.62611276],0
b3,1,0.398464,0.712958,[38 87] ; [23 40],[40.55851064 84.44148936] ; [20.44148936 42.55851064],0
b2,1,0.398464,0.712958,[38 87] ; [23 40],[40.55851064 84.44148936] ; [20.44148936 42.55851064],0
p1,1,0.434463,0.610862,[ 19 213] ; [ 6 98],[ 17.26190476 214.73809524] ; [ 7.73809524 96.26190476],0
a1,1,0.448505,0.574428,[ 11 222] ; [ 7 97],[ 12.44510386 220.55489614] ; [ 5.55489614 98.44510386],0
p5,1,0.466944,0.529199,[ 17 214] ; [10 93],[ 18.67365269 212.32634731] ; [ 8.32634731 94.67365269],0
a4,1,0.502588,0.449467,[ 95 138] ; [38 65],[ 92.22916667 140.77083333] ; [40.77083333 62.22916667],0
n6,1,0.512855,0.428237,[181  51] ; [77 26],[178.67462687  53.32537313] ; [79.32537313 23.67462687],0
s7,1,0.638342,0.220917,[ 36 184] ; [14 84],[ 34.59119497 185.40880503] ; [15.40880503 82.59119497],0
n4,1,0.661527,0.191674,[158  75] ; [68 36],[156.25519288  76.74480712] ; [69.74480712 34.25519288],0
n2,1,0.712994,0.135305,[39 20] ; [25 15],[38.14141414 20.85858586] ; [25.85858586 14.14141414],0
n1,1,0.736318,0.113389,[17 41] ; [13 27],[17.75510204 40.24489796] ; [12.24489796 27.75510204],0
s2,1,0.743729,0.106876,[ 22 209] ; [11 92],[ 22.82335329 208.17664671] ; [10.17664671 92.82335329],0
d2,1,0.902571,0.014985,[ 92 141] ; [41 61],[ 92.50447761 140.49552239] ; [40.49552239 61.50447761],0
u4,1,0.925794,0.008675,[  2 231] ; [  1 103],[  2.07418398 230.92581602] ; [  0.92581602 103.07418398],0
s4,1,0.978755,0.000709,[ 24 205] ; [11 93],[ 24.06906907 204.93093093] ; [10.93093093 93.06906907],0
