Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,25.130801,[ 4 32] ; [22  9],[13.97014925 22.02985075] ; [12.02985075 18.97014925],1
s2,1,6e-06,20.634833,[ 9 27] ; [25  6],[18.26865672 17.73134328] ; [15.73134328 15.26865672],1
s5,1,0.000163,14.215903,[ 6 30] ; [18 11],[13.29230769 22.70769231] ; [10.70769231 18.29230769],1
p6,1,0.000392,12.56896,[ 4 31] ; [16 15],[10.60606061 24.39393939] ; [ 9.39393939 21.60606061],1
s6,1,0.000678,11.548925,[18 18] ; [26  3],[24.36923077 11.63076923] ; [19.63076923  9.36923077],1
v1,1,0.000842,11.146083,[12 24] ; [23  8],[18.80597015 17.19402985] ; [16.19402985 14.80597015],1
r4,1,0.001888,9.654995,[24 12] ; [30  1],[29.01492537  6.98507463] ; [24.98507463  6.01492537],0
p10,1,0.003504,8.524497,[16 19] ; [25  6],[21.74242424 13.25757576] ; [19.25757576 11.74242424],0
n6,1,0.007532,7.141417,[22 14] ; [27  3],[26.72727273  9.27272727] ; [22.27272727  7.72727273],0
u1,1,0.013543,6.096717,[ 3 33] ; [10 21],[ 6.98507463 29.01492537] ; [ 6.01492537 24.98507463],0
s3,1,0.015033,5.912627,[11 24] ; [19 12],[15.90909091 19.09090909] ; [14.09090909 16.90909091],0
p9,1,0.02083,5.34095,[19 17] ; [24  6],[23.45454545 12.54545455] ; [19.54545455 10.45454545],0
r3,1,0.023213,5.152531,[26 10] ; [29  2],[29.55223881  6.44776119] ; [25.44776119  5.55223881],0
v2,1,0.028476,4.799013,[18 17] ; [24  7],[22.27272727 12.72727273] ; [19.72727273 11.27272727],0
r1,1,0.029504,4.737958,[23 13] ; [27  4],[26.86567164  9.13432836] ; [23.13432836  7.86567164],0
d5,1,0.029504,4.737958,[23 13] ; [27  4],[26.86567164  9.13432836] ; [23.13432836  7.86567164],0
n4,1,0.03932,4.247009,[22 14] ; [26  5],[25.79104478 10.20895522] ; [22.20895522  8.79104478],0
d3,1,0.03932,4.247009,[22 14] ; [26  5],[25.79104478 10.20895522] ; [22.20895522  8.79104478],0
p4,1,0.044455,4.039196,[13 20] ; [20 11],[17.015625 15.984375] ; [15.984375 15.015625],0
u3,1,0.061883,3.486189,[3 9] ; [7 4],[5.2173913 6.7826087] ; [4.7826087 6.2173913],0
b1,1,0.072341,3.229078,[13 23] ; [18 13],[16.65671642 19.34328358] ; [14.34328358 16.65671642],0
d1,1,0.072341,3.229078,[13 23] ; [18 13],[16.65671642 19.34328358] ; [14.34328358 16.65671642],0
v4,1,0.072912,3.216206,[30  6] ; [30  1],[32.23880597  3.76119403] ; [27.76119403  3.23880597],0
a4,1,0.079755,3.069888,[11 25] ; [16 15],[14.50746269 21.49253731] ; [12.49253731 18.50746269],0
p2,1,0.093356,2.815537,[19 16] ; [23  8],[22.27272727 12.72727273] ; [19.72727273 11.27272727],0
n5,1,0.097177,2.751279,[21 15] ; [24  7],[24.17910448 11.82089552] ; [20.82089552 10.17910448],0
a2,1,0.135572,2.227506,[ 6 30] ; [10 21],[ 8.59701493 27.40298507] ; [ 7.40298507 23.59701493],0
a7,1,0.151347,2.05862,[22 14] ; [24  7],[24.71641791 11.28358209] ; [21.28358209  9.71641791],0
p3,1,0.162024,1.955234,[10 25] ; [14 17],[12.72727273 22.27272727] ; [11.27272727 19.72727273],0
d2,1,0.180692,1.791925,[15 21] ; [18 13],[17.73134328 18.26865672] ; [15.26865672 15.73134328],0
b4,1,0.39686,0.71782,[22 14] ; [22  9],[23.64179104 12.35820896] ; [20.35820896 10.64179104],0
a8,1,0.409009,0.681679,[ 3 32] ; [ 4 22],[ 4.01639344 30.98360656] ; [ 2.98360656 23.01639344],0
n1,1,0.436275,0.606061,[2 9] ; [3 6],[2.75 8.25] ; [2.25 6.75],0
a6,1,0.455922,0.555887,[20 16] ; [20 11],[21.49253731 14.50746269] ; [18.50746269 12.49253731],0
a5,1,0.502025,0.450652,[24 12] ; [23  8],[25.25373134 10.74626866] ; [21.74626866  9.25373134],0
a1,1,0.542028,0.371793,[ 3 33] ; [ 4 27],[ 3.76119403 32.23880597] ; [ 3.23880597 27.76119403],0
s4,1,0.547037,0.362652,[ 5 31] ; [ 6 25],[ 5.91044776 30.08955224] ; [ 5.08955224 25.91044776],0
p8,1,0.565531,0.330217,[16 19] ; [12 19],[14.84848485 20.15151515] ; [13.15151515 17.84848485],0
p7,1,0.616386,0.25098,[16 18] ; [16 14],[17. 17.] ; [15. 15.],0
r2,1,0.628113,0.234628,[33  2] ; [30  1],[33.40909091  1.59090909] ; [29.59090909  1.40909091],0
p1,1,0.798885,0.064918,[ 3 33] ; [ 2 28],[ 2.72727273 33.27272727] ; [ 2.27272727 27.72727273],0
