Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,24.466256,[526  35] ; [83 22],[512.98648649  48.01351351] ; [96.01351351  8.98648649],1
p8,1,3e-06,22.067815,[348 207] ; [40 65],[326.27272727 228.72727273] ; [61.72727273 43.27272727],1
p7,1,0.001049,10.739479,[398 153] ; [59 46],[383.85213415 167.14786585] ; [73.14786585 31.85213415],0
b1,1,0.006469,7.414881,[183 380] ; [49 57],[195.2406577 367.7593423] ; [36.7593423 69.2406577],0
r3,1,0.007349,7.185715,[542  17] ; [96  9],[537.11144578  21.88855422] ; [100.88855422   4.11144578],0
s2,1,0.009136,6.796095,[281 277] ; [68 38],[293.28614458 264.71385542] ; [55.71385542 50.28614458],0
n5,1,0.010599,6.531365,[445 114] ; [71 33],[435.05882353 123.94117647] ; [80.94117647 23.05882353],0
n4,1,0.011621,6.367864,[452 111] ; [72 32],[442.29685157 120.70314843] ; [81.70314843 22.29685157],0
n6,1,0.012429,6.248655,[496  64] ; [82 21],[488.20512821  71.79487179] ; [89.79487179 13.20512821],0
v2,1,0.016363,5.763473,[325 218] ; [48 54],[314.01395349 228.98604651] ; [58.98604651 43.01395349],0
a5,1,0.017441,5.651418,[433 130] ; [70 36],[423.3019432 139.6980568] ; [79.6980568 26.3019432],0
p3,1,0.025425,4.99473,[316 247] ; [47 59],[305.48430493 257.51569507] ; [57.51569507 48.48430493],0
a3,1,0.039232,4.250776,[422 140] ; [68 36],[413.48348348 148.51651652] ; [76.51651652 27.48348348],0
r4,1,0.0689,3.309035,[515  48] ; [91 15],[509.98206278  53.01793722] ; [96.01793722  9.98206278],0
v3,1,0.105348,2.622654,[224 320] ; [34 70],[216.59259259 327.40740741] ; [41.40740741 62.59259259],0
a6,1,0.10973,2.558107,[394 168] ; [66 40],[387.00598802 174.99401198] ; [72.99401198 33.00598802],0
p12,1,0.112928,2.512762,[ 53 508] ; [  5 101],[ 48.7826087 512.2173913] ; [ 9.2173913 96.7826087],0
s1,1,0.116614,2.462214,[ 12 545] ; [ 5 99],[ 14.32526475 542.67473525] ; [  2.67473525 101.32526475],0
v1,1,0.13032,2.288687,[318 226] ; [53 52],[310.97688752 233.02311248] ; [60.02311248 44.97688752],0
b5,1,0.130337,2.288484,[333 230] ; [71 35],[339.98804185 223.01195815] ; [64.01195815 41.98804185],0
n3,1,0.158618,1.987354,[77 23] ; [22 12],[73.88059701 26.11940299] ; [25.11940299  8.88059701],0
a1,1,0.158957,1.984125,[ 28 535] ; [  2 104],[ 25.24663677 537.75336323] ; [  4.75336323 101.24663677],0
s7,1,0.161367,1.961366,[275 266] ; [59 42],[281.45482866 259.54517134] ; [52.54517134 48.45482866],0
d4,1,0.161949,1.955936,[476  86] ; [84 22],[471.13772455  90.86227545] ; [88.86227545 17.13772455],0
r1,1,0.17186,1.86664,[453 106] ; [79 26],[447.87349398 111.12650602] ; [84.12650602 20.87349398],0
s5,1,0.175009,1.839502,[192 352] ; [42 57],[197.97200622 346.02799378] ; [36.02799378 62.97200622],0
d1,1,0.191116,1.708997,[341 222] ; [57 49],[334.9387145 228.0612855] ; [63.0612855 42.9387145],0
p4,1,0.207928,1.585793,[373 189] ; [63 42],[367.36431784 194.63568216] ; [68.63568216 36.36431784],0
b3,1,0.219047,1.510605,[143 209] ; [14 31],[139.20403023 212.79596977] ; [17.79596977 27.20403023],0
b2,1,0.219047,1.510605,[143 209] ; [14 31],[139.20403023 212.79596977] ; [17.79596977 27.20403023],0
s4,1,0.284055,1.147588,[ 87 470] ; [21 85],[ 90.73303167 466.26696833] ; [17.26696833 88.73303167],0
n1,1,0.308164,1.03853,[33 68] ; [14 19],[35.42537313 65.57462687] ; [11.57462687 21.42537313],0
p5,1,0.308817,1.035726,[ 79 483] ; [11 95],[ 75.71856287 486.28143713] ; [14.28143713 91.71856287],0
d5,1,0.316707,1.002499,[467  95] ; [83 22],[463.41829085  98.58170915] ; [86.58170915 18.41829085],0
u2,1,0.354438,0.857504,[82 58] ; [18 18],[79.54545455 60.45454545] ; [20.45454545 15.54545455],0
a8,1,0.372839,0.794181,[ 79 434] ; [11 82],[ 76.18811881 436.81188119] ; [13.81188119 79.18811881],0
s6,1,0.397627,0.715491,[383 167] ; [76 27],[386.60030628 163.39969372] ; [72.39969372 30.60030628],0
s3,1,0.486683,0.483852,[318 237] ; [64 41],[321.22727273 233.77272727] ; [60.77272727 44.22727273],0
v4,1,0.576859,0.31134,[537  20] ; [101   5],[535.99698341  21.00301659] ; [102.00301659   3.99698341],0
d2,1,0.626288,0.237129,[267 296] ; [53 53],[269.29745889 293.70254111] ; [50.70254111 55.29745889],0
a7,1,0.754954,0.097415,[415 147] ; [76 29],[413.70614693 148.29385307] ; [77.29385307 27.70614693],0
n2,1,0.761944,0.091766,[74 27] ; [24 10],[73.31851852 27.68148148] ; [24.68148148  9.31851852],0
b4,1,0.778313,0.079252,[321 242] ; [62 44],[322.31539611 240.68460389] ; [60.68460389 45.31539611],0
r2,1,0.781359,0.077033,[523  30] ; [100   5],[523.58510638  29.41489362] ; [99.41489362  5.58510638],0
s8,1,0.801732,0.063054,[262 298] ; [51 55],[263.18318318 296.81681682] ; [49.81681682 56.18318318],0
u1,1,0.81981,0.051888,[101 462] ; [20 86],[101.82810164 461.17189836] ; [19.17189836 86.82810164],0
p6,1,0.858286,0.031882,[228 329] ; [42 63],[227.17522659 329.82477341] ; [42.82477341 62.17522659],0
a2,1,0.868834,0.027271,[137 426] ; [25 81],[136.33183857 426.66816143] ; [25.66816143 80.33183857],0
p1,1,0.872653,0.025693,[ 51 512] ; [ 9 96],[ 50.56886228 512.43113772] ; [ 9.43113772 95.56886228],0
d3,1,0.888923,0.019507,[399 164] ; [73 31],[398.4047976 164.5952024] ; [73.5952024 30.4047976],0
a4,1,0.8982,0.016367,[256 306] ; [49 57],[256.60179641 305.39820359] ; [48.39820359 57.60179641],0
u3,1,0.924971,0.008869,[79 61] ; [20 16],[78.75 61.25] ; [20.25 15.75],0
u4,1,0.961559,0.002323,[ 11 551] ; [  2 104],[ 10.93712575 551.06287425] ; [  2.06287425 103.93712575],0
