Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,25.001388,[83  3] ; [26 15],[73.81102362 12.18897638] ; [35.18897638  5.81102362],1
r2,1,0.000666,11.581827,[81  5] ; [29 11],[75.07936508 10.92063492] ; [34.92063492  5.07936508],1
d5,1,0.001891,9.652875,[69 17] ; [22 19],[61.62204724 24.37795276] ; [29.37795276 11.62204724],0
s6,1,0.004957,7.895231,[64 21] ; [20 20],[57.12 27.88] ; [26.88 13.12],0
v4,1,0.018011,5.595049,[85  1] ; [36  4],[82.58730159  3.41269841] ; [38.41269841  1.58730159],0
s3,1,0.019064,5.495677,[53 32] ; [16 24],[46.92 38.08] ; [22.08 17.92],0
n5,1,0.041234,4.166364,[69 17] ; [26 15],[64.33070866 21.66929134] ; [30.66929134 10.33070866],0
p3,1,0.043388,4.08021,[58 28] ; [20 21],[52.81889764 33.18110236] ; [25.18110236 15.81889764],0
r3,1,0.067511,3.342525,[83  2] ; [37  4],[80.95238095  4.04761905] ; [39.04761905  1.95238095],0
s2,1,0.112341,2.520969,[46 39] ; [16 25],[41.82539683 43.17460317] ; [20.17460317 20.82539683],0
n4,1,0.115969,2.470935,[66 20] ; [26 15],[62.2992126 23.7007874] ; [29.7007874 11.2992126],0
p1,1,0.126789,2.33139,[12 74] ; [ 2 39],[ 9.48031496 76.51968504] ; [ 4.51968504 36.48031496],0
a6,1,0.132549,2.262392,[50 36] ; [18 23],[46.04724409 39.95275591] ; [21.95275591 19.04724409],0
b1,1,0.133941,2.246223,[30 56] ; [20 21],[33.85826772 52.14173228] ; [16.14173228 24.85826772],0
u3,1,0.135779,2.225151,[29 16] ; [11 13],[26.08695652 18.91304348] ; [13.91304348 10.08695652],0
s7,1,0.142655,2.149084,[41 39] ; [14 24],[37.28813559 42.71186441] ; [17.71186441 20.28813559],0
p10,1,0.14829,2.089756,[68 17] ; [28 13],[64.76190476 20.23809524] ; [31.23809524  9.76190476],0
n1,1,0.151825,2.053819,[ 5 11] ; [7 5],[6.85714286 9.14285714] ; [5.14285714 6.85714286],0
d3,1,0.170228,1.880932,[57 29] ; [22 19],[53.49606299 32.50393701] ; [25.50393701 15.49606299],0
v3,1,0.179645,1.800556,[33 46] ; [12 29],[29.625 49.375] ; [15.375 25.625],0
s5,1,0.187105,1.740269,[26 55] ; [ 8 31],[22.95 58.05] ; [11.05 27.95],0
