Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,26.433799,[23 21] ; [92 10],[34.65753425  9.34246575] ; [80.34246575 21.65753425],1
n6,1,0.000213,13.712027,[27 17] ; [89 12],[35.2  8.8] ; [80.8 20.2],1
b1,1,0.00693,7.291028,[11 33] ; [50 52],[18.38356164 25.61643836] ; [42.61643836 59.38356164],0
p10,1,0.016639,5.734013,[29 14] ; [85 15],[34.27972028  8.72027972] ; [79.72027972 20.27972028],0
s4,1,0.023165,5.156113,[16 28] ; [19 82],[10.62068966 33.37931034] ; [24.37931034 76.62068966],0
s8,1,0.024166,5.082701,[23 21] ; [73 29],[28.93150685 15.06849315] ; [67.06849315 34.93150685],0
u2,1,0.038434,4.285714,[8 2] ; [ 8 12],[5.33333333 4.66666667] ; [10.66666667  9.33333333],0
s2,1,0.046098,3.977999,[25 19] ; [75 27],[30.1369863 13.8630137] ; [69.8630137 32.1369863],0
p11,1,0.083437,2.996643,[28 16] ; [79 23],[32.24657534 11.75342466] ; [74.75342466 27.24657534],0
v4,1,0.107147,2.595811,[37  6] ; [96  6],[39.44137931  3.55862069] ; [93.55862069  8.44137931],0
a5,1,0.110606,2.545535,[28 16] ; [78 24],[31.94520548 12.05479452] ; [74.05479452 27.94520548],0
d3,1,0.112075,2.524716,[31 13] ; [57 44],[26.70344828 17.29655172] ; [61.29655172 39.70344828],0
a2,1,0.112134,2.523878,[ 6 38] ; [26 76],[ 9.64383562 34.35616438] ; [22.35616438 79.64383562],0
n3,1,0.113647,2.502766,[11  2] ; [18 12],[8.76744186 4.23255814] ; [20.23255814  9.76744186],0
p7,1,0.114405,2.492288,[18 25] ; [53 41],[22.28467153 20.71532847] ; [48.71532847 45.28467153],0
a7,1,0.150181,2.070416,[33 11] ; [64 38],[29.23287671 14.76712329] ; [67.76712329 34.23287671],0
a8,1,0.152711,2.044961,[ 4 35] ; [19 73],[ 6.84732824 32.15267176] ; [16.15267176 75.84732824],0
v3,1,0.161812,1.957207,[14 27] ; [47 53],[17.73758865 23.26241135] ; [43.26241135 56.73758865],0
s3,1,0.164223,1.934907,[29 15] ; [77 23],[32.38888889 11.61111111] ; [73.61111111 26.38888889],0
u1,1,0.174619,1.842836,[ 6 38] ; [24 78],[ 9.04109589 34.95890411] ; [20.95890411 81.04109589],0
a4,1,0.178751,1.80798,[15 29] ; [47 55],[18.68493151 25.31506849] ; [43.31506849 58.68493151],0
r1,1,0.186561,1.744569,[32 12] ; [84 18],[34.95890411  9.04109589] ; [81.04109589 20.95890411],0
p9,1,0.218309,1.51545,[32 10] ; [84 15],[34.55319149  7.44680851] ; [81.44680851 17.55319149],0
b5,1,0.284785,1.144115,[23 21] ; [63 39],[25.91780822 18.08219178] ; [60.08219178 41.91780822],0
d1,1,0.309419,1.033156,[21 23] ; [58 44],[23.80821918 20.19178082] ; [55.19178082 46.80821918],0
d2,1,0.340293,0.909329,[18 26] ; [50 51],[20.63448276 23.36551724] ; [47.36551724 53.63448276],0
n1,1,0.375399,0.785714,[5 9] ; [15 15],[6.36363636 7.63636364] ; [13.63636364 16.36363636],0
a3,1,0.397716,0.715221,[33 11] ; [82 19],[34.89655172  9.10344828] ; [80.10344828 20.89655172],0
s6,1,0.397716,0.715221,[33 11] ; [82 19],[34.89655172  9.10344828] ; [80.10344828 20.89655172],0
r2,1,0.42178,0.645351,[39  3] ; [97  4],[39.94405594  2.05594406] ; [96.05594406  4.94405594],0
b4,1,0.427591,0.629358,[26 18] ; [53 49],[23.80821918 20.19178082] ; [55.19178082 46.80821918],0
s1,1,0.46086,0.543804,[ 2 42] ; [ 8 93],[ 3.03448276 40.96551724] ; [ 6.96551724 94.03448276],0
p1,1,0.561077,0.337843,[ 3 41] ; [10 92],[ 3.91780822 40.08219178] ; [ 9.08219178 92.91780822],0
p2,1,0.574234,0.315649,[29 15] ; [72 30],[30.43835616 13.56164384] ; [70.56164384 31.43835616],0
d4,1,0.579832,0.306507,[37  7] ; [81 20],[35.80689655  8.19310345] ; [82.19310345 18.80689655],0
r3,1,0.584184,0.299519,[42  2] ; [94  7],[41.26896552  2.73103448] ; [94.73103448  6.26896552],0
n2,1,0.647141,0.209524,[12  2] ; [24  6],[11.45454545  2.54545455] ; [24.54545455  5.45454545],0
v2,1,0.702162,0.146232,[23 18] ; [59 40],[24.01428571 16.98571429] ; [57.98571429 41.01428571],0
p3,1,0.702277,0.146114,[13 31] ; [27 75],[12.05479452 31.94520548] ; [27.94520548 74.05479452],0
b2,1,0.705839,0.142468,[13 15] ; [30 41],[12.16161616 15.83838384] ; [30.83838384 40.16161616],0
b3,1,0.705839,0.142468,[13 15] ; [30 41],[12.16161616 15.83838384] ; [30.83838384 40.16161616],0
v1,1,0.726074,0.122747,[21 22] ; [51 47],[21.95744681 21.04255319] ; [50.04255319 47.95744681],0
d5,1,0.757017,0.095728,[35  9] ; [78 23],[34.28965517  9.71034483] ; [78.71034483 22.28965517],0
p5,1,0.803005,0.06223,[ 3 40] ; [ 6 96],[ 2.66896552 40.33103448] ; [ 6.33103448 95.66896552],0
p6,1,0.842204,0.039631,[10 31] ; [26 74],[10.46808511 30.53191489] ; [25.53191489 74.46808511],0
a6,1,0.851786,0.034909,[28 16] ; [62 38],[27.5 16.5] ; [62.5 37.5],0
r4,1,0.852072,0.034773,[37  7] ; [87 15],[37.36986301  6.63013699] ; [86.63013699 15.36986301],0
u3,1,0.872832,0.02562,[8 3] ; [14  6],[7.80645161 3.19354839] ; [14.19354839  5.80645161],0
p8,1,0.950878,0.003795,[16 27] ; [37 61],[16.16312057 26.83687943] ; [36.83687943 61.16312057],0
s5,1,0.956057,0.003036,[15 25] ; [38 62],[15.14285714 24.85714286] ; [37.85714286 62.14285714],0
