Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.7e-05,18.545195,[ 9 50] ; [10  4],[15.35616438 43.64383562] ; [ 3.64383562 10.35616438],1
s6,1,9.2e-05,15.299874,[17 42] ; [12  2],[23.43835616 35.56164384] ; [5.56164384 8.43835616],1
s5,1,0.000832,11.168495,[ 5 52] ; [6 7],[ 8.95714286 48.04285714] ; [ 2.04285714 10.95714286],1
s3,1,0.001804,9.738494,[19 39] ; [11  3],[24.16666667 33.83333333] ; [5.83333333 8.16666667],0
p9,1,0.00539,7.743647,[15 44] ; [9 5],[19.39726027 39.60273973] ; [4.60273973 9.39726027],0
v1,1,0.012712,6.208788,[17 42] ; [9 5],[21.01369863 37.98630137] ; [4.98630137 9.01369863],0
s4,1,0.016309,5.769303,[ 6 53] ; [5 9],[ 8.89041096 50.10958904] ; [ 2.10958904 11.89041096],0
a8,1,0.024194,5.080645,[ 4 52] ; [ 4 10],[ 6.4 49.6] ; [ 1.6 12.4],0
n1,1,0.033021,4.544695,[10 18] ; [5 1],[12.35294118 15.64705882] ; [2.64705882 3.35294118],0
u3,1,0.067889,3.333333,[10 14] ; [5 1],[12. 12.] ; [3. 3.],0
s8,1,0.071813,3.241078,[ 6 53] ; [ 4 10],[ 8.08219178 50.91780822] ; [ 1.91780822 12.08219178],0
r4,1,0.119642,2.422007,[33 26] ; [11  3],[35.56164384 23.43835616] ; [8.43835616 5.56164384],0
d4,1,0.157181,2.001136,[38 21] ; [11  2],[40.15277778 18.84722222] ; [8.84722222 4.15277778],0
n5,1,0.174642,1.842641,[22 37] ; [8 6],[24.24657534 34.75342466] ; [5.75342466 8.24657534],0
p3,1,0.209239,1.576686,[15 43] ; [6 8],[16.91666667 41.08333333] ; [4.08333333 9.91666667],0
b4,1,0.216523,1.527265,[36 23] ; [6 8],[33.94520548 25.05479452] ; [8.05479452 5.94520548],0
r3,1,0.22112,1.497085,[41 18] ; [12  2],[42.83561644 16.16438356] ; [10.16438356  3.83561644],0
d2,1,0.228513,1.450096,[29 30] ; [4 9],[27.04166667 31.95833333] ; [5.95833333 7.04166667],0
