Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,3.5e-05,17.144647,[ 8 31] ; [17  6],[15.72580645 23.27419355] ; [ 9.27419355 13.72580645],1
s7,1,0.056106,3.648921,[18 20] ; [16  6],[21.53333333 16.46666667] ; [12.46666667  9.53333333],0
p12,1,0.104697,2.632491,[ 1 38] ; [ 3 20],[ 2.51612903 36.48387097] ; [ 1.48387097 21.51612903],0
r1,1,0.134878,2.235445,[32  7] ; [15  8],[29.56451613  9.43548387] ; [17.43548387  5.56451613],0
u1,1,0.18654,1.744738,[ 5 34] ; [ 6 17],[ 6.91935484 32.08064516] ; [ 4.08064516 18.91935484],0
b3,1,0.217655,1.519768,[14 15] ; [12  6],[16.04255319 12.95744681] ; [9.95744681 8.04255319],0
b2,1,0.217655,1.519768,[14 15] ; [12  6],[16.04255319 12.95744681] ; [9.95744681 8.04255319],0
p6,1,0.240584,1.377167,[14 24] ; [12 11],[16.19672131 21.80327869] ; [ 9.80327869 13.19672131],0
n1,1,0.310494,1.028571,[6 3] ; [1 2],[5.25 3.75] ; [1.75 1.25],0
v3,1,0.319137,0.992481,[24 14] ; [11 11],[22.16666667 15.83333333] ; [12.83333333  9.16666667],0
n6,1,0.418205,0.655353,[35  4] ; [19  4],[33.96774194  5.03225806] ; [20.03225806  2.96774194],0
n5,1,0.421787,0.64533,[28 10] ; [19  4],[29.27868852  8.72131148] ; [17.72131148  5.27868852],0
r4,1,0.447887,0.575994,[33  6] ; [21  2],[33.96774194  5.03225806] ; [20.03225806  2.96774194],0
b4,1,0.470393,0.521053,[24 15] ; [12 11],[22.64516129 16.35483871] ; [13.35483871  9.64516129],0
p8,1,0.470393,0.521053,[24 15] ; [12 11],[22.64516129 16.35483871] ; [13.35483871  9.64516129],0
a6,1,0.470393,0.521053,[24 15] ; [12 11],[22.64516129 16.35483871] ; [13.35483871  9.64516129],0
p7,1,0.490796,0.47478,[25 14] ; [16  6],[26.21311475 12.78688525] ; [14.78688525  7.21311475],0
s4,1,0.491171,0.473961,[ 3 36] ; [ 3 20],[ 3.77419355 35.22580645] ; [ 2.22580645 20.77419355],0
r3,1,0.491171,0.473961,[36  3] ; [20  3],[35.22580645  3.77419355] ; [20.77419355  2.22580645],0
a2,1,0.526934,0.4003,[ 6 33] ; [ 5 18],[ 6.91935484 32.08064516] ; [ 4.08064516 18.91935484],0
a7,1,0.587353,0.294497,[28 11] ; [15  8],[27.0483871 11.9516129] ; [15.9516129  7.0483871],0
v1,1,0.601885,0.272162,[23 16] ; [12 11],[22.01612903 16.98387097] ; [12.98387097 10.01612903],0
p1,1,0.604585,0.268135,[ 3 36] ; [ 1 22],[ 2.51612903 36.48387097] ; [ 1.48387097 21.51612903],0
p2,1,0.611956,0.257336,[32  7] ; [20  3],[32.70967742  6.29032258] ; [19.29032258  3.70967742],0
p9,1,0.62163,0.243584,[34  5] ; [19  4],[33.33870968  5.66129032] ; [19.66129032  3.33870968],0
v2,1,0.633394,0.227487,[27 11] ; [15  8],[26.16393443 11.83606557] ; [15.83606557  7.16393443],0
b1,1,0.644905,0.212385,[13 26] ; [ 9 14],[13.83870968 25.16129032] ; [ 8.16129032 14.83870968],0
d1,1,0.644905,0.212385,[26 13] ; [14  9],[25.16129032 13.83870968] ; [14.83870968  8.16129032],0
b5,1,0.646807,0.20995,[18 21] ; [12 11],[18.87096774 20.12903226] ; [11.12903226 11.87096774],0
d5,1,0.682737,0.167061,[29 10] ; [16  7],[28.30645161 10.69354839] ; [16.69354839  6.30645161],0
a8,1,0.689811,0.15929,[ 6 28] ; [ 3 19],[ 5.46428571 28.53571429] ; [ 3.53571429 18.46428571],0
s5,1,0.696584,0.15205,[ 7 29] ; [ 5 16],[ 7.57894737 28.42105263] ; [ 4.42105263 16.57894737],0
p4,1,0.697282,0.151315,[24 15] ; [13 10],[23.27419355 15.72580645] ; [13.72580645  9.27419355],0
a3,1,0.715168,0.13317,[32  7] ; [18  5],[31.4516129  7.5483871] ; [18.5483871  4.4516129],0
s1,1,0.715258,0.133082,[ 1 37] ; [ 1 22],[ 1.24590164 36.75409836] ; [ 0.75409836 22.24590164],0
p10,1,0.763776,0.090316,[31  8] ; [19  4],[31.4516129  7.5483871] ; [18.5483871  4.4516129],0
n4,1,0.763776,0.090316,[31  8] ; [19  4],[31.4516129  7.5483871] ; [18.5483871  4.4516129],0
a5,1,0.789205,0.071472,[30  9] ; [17  6],[29.56451613  9.43548387] ; [17.43548387  5.56451613],0
d3,1,0.81355,0.055625,[26 13] ; [16  7],[26.41935484 12.58064516] ; [15.58064516  7.41935484],0
p11,1,0.8356,0.043067,[33  6] ; [19  4],[32.70967742  6.29032258] ; [19.29032258  3.70967742],0
n2,1,0.836813,0.042424,[8 2] ; [3 1],[7.85714286 2.14285714] ; [3.14285714 0.85714286],0
d2,1,0.837963,0.04182,[21 18] ; [13 10],[21.38709677 17.61290323] ; [12.61290323 10.38709677],0
p3,1,0.850051,0.035741,[23 16] ; [13 10],[22.64516129 16.35483871] ; [13.35483871  9.64516129],0
a1,1,0.889981,0.019135,[ 2 37] ; [ 1 22],[ 1.88709677 37.11290323] ; [ 1.11290323 21.88709677],0
n3,1,0.912637,0.012037,[7 2] ; [3 1],[6.92307692 2.07692308] ; [3.07692308 0.92307692],0
d4,1,0.955741,0.00308,[32  7] ; [19  4],[32.08064516  6.91935484] ; [18.91935484  4.08064516],0
a4,1,0.993176,7.3e-05,[17 22] ; [10 13],[16.98387097 22.01612903] ; [10.01612903 12.98387097],0
