Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000269,13.271882,[73  8] ; [25 15],[65.60330579 15.39669421] ; [32.39669421  7.60330579],1
p11,1,0.002747,8.968298,[59 22] ; [18 22],[51.54545455 29.45454545] ; [25.45454545 14.54545455],0
r4,1,0.00849,6.927168,[60 21] ; [20 20],[53.55371901 27.44628099] ; [26.44628099 13.55371901],0
n5,1,0.010273,6.586895,[57 24] ; [18 21],[50.625 30.375] ; [24.375 14.625],0
n4,1,0.011097,6.449641,[54 27] ; [17 23],[47.52892562 33.47107438] ; [23.47107438 16.52892562],0
p8,1,0.012803,6.196153,[37 42] ; [ 9 30],[30.79661017 48.20338983] ; [15.20338983 23.79661017],0
p10,1,0.020327,5.38358,[53 26] ; [18 22],[47.13445378 31.86554622] ; [23.86554622 16.13445378],0
r3,1,0.025347,5.0,[65 15] ; [25 15],[60. 20.] ; [30. 10.],0
s7,1,0.029742,4.724152,[31 48] ; [ 7 30],[25.87931034 53.12068966] ; [12.12068966 24.87931034],0
s6,1,0.038341,4.289849,[43 35] ; [14 26],[37.6779661 40.3220339] ; [19.3220339 20.6779661],0
p5,1,0.057155,3.61808,[11 69] ; [ 1 38],[ 8.06722689 71.93277311] ; [ 3.93277311 35.06722689],0
a1,1,0.066979,3.355534,[ 3 78] ; [ 5 35],[ 5.3553719 75.6446281] ; [ 2.6446281 37.3553719],0
s5,1,0.077374,3.119221,[22 57] ; [ 5 33],[18.23076923 60.76923077] ; [ 8.76923077 29.23076923],0
s3,1,0.091432,2.848971,[34 44] ; [24 16],[38.33898305 39.66101695] ; [19.66101695 20.33898305],0
s8,1,0.097191,2.751042,[23 57] ; [ 6 34],[19.33333333 60.66666667] ; [ 9.66666667 30.33333333],0
p4,1,0.10726,2.594135,[37 43] ; [12 27],[32.94117647 47.05882353] ; [16.05882353 22.94117647],0
a4,1,0.125719,2.344591,[14 65] ; [12 28],[17.2605042 61.7394958] ; [ 8.7394958 31.2605042],0
b5,1,0.169753,1.885119,[53 28] ; [21 19],[49.53719008 31.46280992] ; [24.46280992 15.53719008],0
p9,1,0.179221,1.804071,[57 22] ; [24 16],[53.77310924 25.22689076] ; [27.22689076 12.77310924],0
p1,1,0.25072,1.319289,[12 69] ; [ 3 37],[10.04132231 70.95867769] ; [ 4.95867769 35.04132231],0
u2,1,0.257637,1.281409,[16 29] ; [11 11],[18.13432836 26.86567164] ; [ 8.86567164 13.13432836],0
r2,1,0.257834,1.280352,[66 15] ; [29 11],[63.59504132 17.40495868] ; [31.40495868  8.59504132],0
a5,1,0.263105,1.252346,[37 44] ; [14 26],[34.14049587 46.85950413] ; [16.85950413 23.14049587],0
a7,1,0.27323,1.20046,[43 38] ; [17 23],[40.16528926 40.83471074] ; [19.83471074 20.16528926],0
