Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.001275,10.378556,[18 11] ; [99 14],[23.8943662  5.1056338] ; [93.1056338 19.8943662],0
p9,1,0.002256,9.328797,[18 10] ; [98 13],[23.36690647  4.63309353] ; [92.63309353 18.36690647],0
r3,1,0.003469,8.542841,[23  6] ; [108   5],[26.75352113  2.24647887] ; [104.24647887   8.75352113],0
v4,1,0.003922,8.319555,[23  6] ; [106   5],[26.72142857  2.27857143] ; [102.27857143   8.72142857],0
p8,1,0.00969,6.691027,[ 8 21] ; [59 49],[14.18248175 14.81751825] ; [52.81751825 55.18248175],0
p10,1,0.011343,6.410764,[18 10] ; [93 16],[22.68613139  5.31386861] ; [88.31386861 20.68613139],0
p3,1,0.046872,3.949962,[ 9 19] ; [59 52],[13.69784173 14.30215827] ; [54.30215827 56.69784173],0
a3,1,0.047851,3.915202,[18 11] ; [90 23],[22.05633803  6.94366197] ; [85.94366197 27.05633803],0
s1,1,0.070404,3.273567,[ 3 26] ; [  3 108],[ 1.24285714 27.75714286] ; [  4.75714286 106.24285714],0
p6,1,0.071549,3.24713,[ 6 23] ; [41 65],[10.0962963 18.9037037] ; [36.9037037 69.0962963],0
p7,1,0.086243,2.943142,[15 13] ; [77 32],[18.80291971  9.19708029] ; [73.19708029 35.80291971],0
a5,1,0.088277,2.905509,[16 13] ; [81 32],[19.80985915  9.19014085] ; [77.19014085 35.80985915],0
n4,1,0.116561,2.462935,[19  9] ; [92 21],[22.04255319  5.95744681] ; [88.95744681 24.04255319],0
p4,1,0.117141,2.455139,[12 17] ; [64 47],[15.74285714 13.25714286] ; [60.25714286 50.74285714],0
b1,1,0.122994,2.378772,[18 11] ; [52 61],[14.29577465 14.70422535] ; [55.70422535 57.29577465],0
p2,1,0.134936,2.234784,[19  9] ; [89 21],[21.91304348  6.08695652] ; [86.08695652 23.91304348],0
b3,1,0.141446,2.162152,[ 6 11] ; [45 37],[8.75757576 8.24242424] ; [42.24242424 39.75757576],0
b2,1,0.141446,2.162152,[ 6 11] ; [45 37],[8.75757576 8.24242424] ; [42.24242424 39.75757576],0
d5,1,0.143014,2.145221,[19 10] ; [88 24],[22.0070922  6.9929078] ; [84.9929078 27.0070922],0
n6,1,0.156206,2.010579,[18  9] ; [89 23],[20.78417266  6.21582734] ; [86.21582734 25.78417266],0
s2,1,0.170347,1.879883,[20  9] ; [62 51],[16.74647887 12.25352113] ; [65.25352113 47.74647887],0
