Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,50.36215,[198  43] ; [29 44],[174.22611465  66.77388535] ; [52.77388535 20.22611465],1
a6,1,0.0,47.74421,[196  45] ; [29 44],[172.6910828  68.3089172] ; [52.3089172 20.6910828],1
a2,1,2e-06,22.904015,[ 72 169] ; [ 2 71],[ 56.79617834 184.20382166] ; [17.20382166 55.79617834],1
u1,1,6.7e-05,15.88337,[ 51 190] ; [ 1 72],[ 39.91082803 201.08917197] ; [12.08917197 60.91082803],1
r1,1,0.000495,12.13333,[208  33] ; [50 23],[198.01910828  42.98089172] ; [59.98089172 13.01910828],1
r4,1,0.000824,11.187502,[220  21] ; [56 17],[211.8343949  29.1656051] ; [64.1656051  8.8343949],1
d1,1,0.001801,9.742264,[158  83] ; [33 40],[146.5955414  94.4044586] ; [44.4044586 28.5955414],0
d4,1,0.033643,4.512748,[207  34] ; [55 18],[201.08917197  39.91082803] ; [60.91082803 12.08917197],0
d5,1,0.03686,4.356856,[204  37] ; [54 19],[198.01910828  42.98089172] ; [59.98089172 13.01910828],0
v4,1,0.041212,4.167259,[230  11] ; [64  8],[226.37060703  14.62939297] ; [67.62939297  4.37060703],0
p12,1,0.049544,3.856834,[ 19 221] ; [ 1 70],[ 15.4340836 224.5659164] ; [ 4.5659164 66.4340836],0
b4,1,0.049985,3.841946,[153  88] ; [37 36],[145.82802548  95.17197452] ; [44.17197452 28.82802548],0
a5,1,0.060674,3.518878,[182  59] ; [47 26],[175.7611465  65.2388535] ; [53.2388535 19.7611465],0
b1,1,0.061653,3.492348,[ 77 164] ; [32 41],[ 83.65923567 157.34076433] ; [25.34076433 47.65923567],0
a8,1,0.064789,3.410337,[ 34 177] ; [ 5 64],[ 29.38928571 181.61071429] ; [ 9.61071429 59.38928571],0
b5,1,0.070079,3.281172,[157  84] ; [39 34],[150.43312102  90.56687898] ; [45.56687898 27.43312102],0
p11,1,0.086098,2.945853,[200  41] ; [54 19],[194.94904459  46.05095541] ; [59.05095541 13.94904459],0
a4,1,0.103629,2.648792,[108 132] ; [25 48],[101.98083067 138.01916933] ; [31.01916933 41.98083067],0
r3,1,0.125443,2.348015,[233   7] ; [68  5],[230.79872204   9.20127796] ; [70.20127796  2.79872204],0
r2,1,0.136081,2.221728,[225  15] ; [61  8],[222.13592233  17.86407767] ; [63.86407767  5.13592233],0
p4,1,0.136146,2.22099,[144  96] ; [35 35],[138.58064516 101.41935484] ; [40.41935484 29.58064516],0
n3,1,0.152334,2.048726,[34 14] ; [15  2],[36.18461538 11.81538462] ; [12.81538462  4.18461538],0
n6,1,0.169519,1.887188,[201  39] ; [56 17],[197.06070288  42.93929712] ; [59.93929712 13.06070288],0
n1,1,0.182422,1.777778,[10 38] ; [ 6 10],[12. 36.] ; [ 4. 12.],0
p2,1,0.206051,1.59896,[200  41] ; [55 17],[196.34185304  44.65814696] ; [58.65814696 13.34185304],0
p3,1,0.206367,1.596732,[117 123] ; [29 43],[112.30769231 127.69230769] ; [33.69230769 38.30769231],0
s1,1,0.21571,1.532687,[  4 233] ; [ 3 69],[  5.36893204 231.63106796] ; [ 1.63106796 70.36893204],0
p10,1,0.271615,1.208572,[192  46] ; [53 18],[188.70550162  49.29449838] ; [56.29449838 14.70550162],0
s8,1,0.274847,1.192394,[ 85 155] ; [31 42],[ 88.9456869 151.0543131] ; [27.0543131 45.9456869],0
s6,1,0.276982,1.181839,[141  97] ; [38 35],[136.98392283 101.01607717] ; [42.01607717 30.98392283],0
u3,1,0.281094,1.161794,[36 31] ; [ 8 12],[33.88505747 33.11494253] ; [10.11494253  9.88505747],0
s4,1,0.364601,0.821983,[ 25 215] ; [ 5 68],[ 23.00319489 216.99680511] ; [ 6.99680511 66.00319489],0
s3,1,0.370191,0.803023,[113 124] ; [30 42],[109.67961165 127.32038835] ; [33.32038835 38.67961165],0
p1,1,0.427146,0.630571,[ 16 225] ; [ 3 70],[ 14.58280255 226.41719745] ; [ 4.41719745 68.58280255],0
p9,1,0.44219,0.590594,[197  40] ; [57 15],[194.81553398  42.18446602] ; [59.18446602 12.81553398],0
p6,1,0.492718,0.470585,[ 83 155] ; [21 48],[ 80.62540717 157.37459283] ; [23.37459283 45.62540717],0
s2,1,0.517244,0.419386,[ 91 147] ; [31 42],[ 93.36334405 144.63665595] ; [28.63665595 44.36334405],0
n4,1,0.569195,0.324031,[183  57] ; [58 15],[184.79233227  55.20766773] ; [56.20766773 16.79233227],0
d2,1,0.573518,0.316831,[118 123] ; [33 40],[115.89490446 125.10509554] ; [35.10509554 37.89490446],0
p7,1,0.609944,0.260257,[145  91] ; [46 25],[146.82736156  89.17263844] ; [44.17263844 26.82736156],0
u2,1,0.633399,0.227479,[37 29] ; [10 10],[36.06976744 29.93023256] ; [10.93023256  9.06976744],0
s7,1,0.660164,0.193324,[ 95 136] ; [30 38],[ 96.57190635 134.42809365] ; [28.42809365 39.57190635],0
b3,1,0.686965,0.16239,[48 95] ; [18 31],[49.15625 93.84375] ; [16.84375 32.15625],0
b2,1,0.686965,0.16239,[48 95] ; [18 31],[49.15625 93.84375] ; [16.84375 32.15625],0
p5,1,0.748079,0.103152,[ 11 230] ; [ 4 69],[ 11.51273885 229.48726115] ; [ 3.48726115 69.51273885],0
a1,1,0.760203,0.093156,[ 12 229] ; [ 3 70],[ 11.51273885 229.48726115] ; [ 3.48726115 69.51273885],0
p8,1,0.809516,0.058106,[118 119] ; [36 34],[118.88599349 118.11400651] ; [35.11400651 34.88599349],0
v3,1,0.816459,0.053871,[120 111] ; [38 33],[120.85430464 110.14569536] ; [37.14569536 33.85430464],0
n5,1,0.828938,0.046684,[173  65] ; [54 19],[173.7170418  64.2829582] ; [53.2829582 19.7170418],0
v1,1,0.888578,0.019629,[148  87] ; [46 26],[148.50162866  86.49837134] ; [45.49837134 26.50162866],0
n2,1,0.890479,0.018961,[34 13] ; [12  5],[33.78125 13.21875] ; [12.21875  4.78125],0
u4,1,0.905428,0.014115,[  6 235] ; [ 2 71],[  6.14012739 234.85987261] ; [ 1.85987261 71.14012739],0
a3,1,0.946187,0.004556,[174  67] ; [53 20],[174.22611465  66.77388535] ; [52.77388535 20.22611465],0
