Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1e-05,19.556598,[59 27] ; [27 52],[44.82424242 41.17575758] ; [41.17575758 37.82424242],1
d1,1,1.4e-05,18.920696,[49 37] ; [19 61],[35.22891566 50.77108434] ; [32.77108434 47.22891566],1
d4,1,5.1e-05,16.392646,[76 10] ; [49 31],[64.75903614 21.24096386] ; [60.24096386 19.75903614],1
d5,1,5.5e-05,16.271856,[70 16] ; [41 38],[57.85454545 28.14545455] ; [53.14545455 25.85454545],1
a4,1,0.000144,14.453935,[33 53] ; [10 70],[22.27710843 63.72289157] ; [20.72289157 59.27710843],1
a6,1,0.000382,12.620226,[63 23] ; [37 43],[51.80722892 34.19277108] ; [48.19277108 31.80722892],1
s6,1,0.000827,11.179235,[49 36] ; [25 54],[38.35365854 46.64634146] ; [35.64634146 43.35365854],1
d2,1,0.00106,10.720215,[35 51] ; [14 66],[25.38554217 60.61445783] ; [23.61445783 56.38554217],0
p3,1,0.00204,9.512776,[32 53] ; [13 67],[23.18181818 61.81818182] ; [21.81818182 58.18181818],0
v2,1,0.003096,8.749884,[46 36] ; [26 53],[36.67080745 45.32919255] ; [35.32919255 43.67080745],0
r1,1,0.00637,7.442463,[63 22] ; [43 37],[54.60606061 30.39393939] ; [51.39393939 28.60606061],0
p8,1,0.007117,7.243196,[43 42] ; [24 56],[34.51515152 50.48484848] ; [32.48484848 47.51515152],0
r4,1,0.009877,6.657021,[71 15] ; [52 28],[63.72289157 22.27710843] ; [59.27710843 20.72289157],0
p4,1,0.01121,6.431654,[38 48] ; [20 59],[30.23030303 55.76969697] ; [27.76969697 51.23030303],0
u1,1,0.012654,6.216895,[ 9 77] ; [ 1 79],[ 5.18072289 80.81927711] ; [ 4.81927711 75.18072289],0
v1,1,0.014237,6.008576,[37 47] ; [20 58],[29.55555556 54.44444444] ; [27.44444444 50.55555556],0
d3,1,0.015368,5.873733,[60 26] ; [40 38],[52.43902439 33.56097561] ; [47.56097561 30.43902439],0
s5,1,0.022847,5.180071,[24 60] ; [11 68],[18.03680982 65.96319018] ; [16.96319018 62.03680982],0
r3,1,0.051109,3.804684,[81  5] ; [68 12],[77.19277108  8.80722892] ; [71.80722892  8.19277108],0
s8,1,0.092916,2.823105,[15 70] ; [ 7 73],[11.33333333 73.66666667] ; [10.66666667 69.33333333],0
s2,1,0.117137,2.455187,[32 53] ; [21 59],[27.3030303 57.6969697] ; [25.6969697 54.3030303],0
a7,1,0.122894,2.380041,[62 24] ; [48 31],[57.33333333 28.66666667] ; [52.66666667 26.33333333],0
b3,1,0.130529,2.2862,[11 28] ; [ 5 31],[ 8.32 30.68] ; [ 7.68 28.32],0
b2,1,0.130529,2.2862,[11 28] ; [ 5 31],[ 8.32 30.68] ; [ 7.68 28.32],0
v3,1,0.165076,1.927103,[22 62] ; [13 63],[18.375 65.625] ; [16.625 59.375],0
p7,1,0.22688,1.460317,[44 40] ; [33 44],[40.17391304 43.82608696] ; [36.82608696 40.17391304],0
v4,1,0.22723,1.458115,[79  6] ; [69 10],[76.70731707  8.29268293] ; [71.29268293  7.70731707],0
s3,1,0.230701,1.436533,[36 48] ; [27 53],[32.26829268 51.73170732] ; [30.73170732 49.26829268],0
p10,1,0.253692,1.302856,[56 30] ; [44 34],[52.43902439 33.56097561] ; [47.56097561 30.43902439],0
b5,1,0.281935,1.157738,[50 36] ; [53 27],[53.36144578 32.63855422] ; [49.63855422 30.36144578],0
