Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,6.5e-05,15.940704,[240 104] ; [84 79],[219.83431953 124.16568047] ; [104.16568047  58.83431953],1
p9,1,7.9e-05,15.571961,[316  29] ; [130  34],[302.29862475  42.70137525] ; [143.70137525  20.29862475],1
p5,1,0.000381,12.624785,[ 70 273] ; [ 13 151],[ 56.15187377 286.84812623] ; [ 26.84812623 137.15187377],1
p12,1,0.000839,11.153977,[ 42 303] ; [  5 160],[ 31.79411765 313.20588235] ; [ 15.20588235 149.79411765],1
p10,1,0.001709,9.838916,[307  38] ; [128  35],[295.42322835  49.57677165] ; [139.57677165  23.42322835],0
n6,1,0.004966,7.891655,[311  33] ; [133  30],[301.25443787  42.74556213] ; [142.74556213  20.25443787],0
u1,1,0.009718,6.685782,[ 85 261] ; [ 24 141],[ 73.80430528 272.19569472] ; [ 35.19569472 129.80430528],0
p6,1,0.011852,6.332896,[183 160] ; [67 95],[169.8019802 173.1980198] ; [80.1980198 81.8019802],0
v3,1,0.016026,5.80002,[152 179] ; [ 54 103],[139.72540984 191.27459016] ; [66.27459016 90.72540984],0
n4,1,0.016875,5.70933,[292  54] ; [124  40],[282.22745098  63.77254902] ; [133.77254902  30.22745098],0
s7,1,0.018077,5.588642,[195 128] ; [79 82],[182.8553719 140.1446281] ; [91.1446281 69.8553719],0
p7,1,0.023756,5.112356,[262  81] ; [109  54],[251.48814229  91.51185771] ; [119.51185771  43.48814229],0
s5,1,0.027224,4.876548,[139 190] ; [ 51 109],[127.83231084 201.16768916] ; [62.16768916 97.83231084],0
a3,1,0.038794,4.269844,[262  83] ; [111  54],[252.32352941  92.67647059] ; [120.67647059  44.32352941],0
r4,1,0.047433,3.929974,[333  13] ; [152  13],[328.39530333  17.60469667] ; [156.60469667   8.39530333],0
v2,1,0.049506,3.858122,[207 128] ; [84 76],[196.93939394 138.06060606] ; [94.06060606 65.93939394],0
p11,1,0.061836,3.487434,[290  56] ; [127  38],[282.35225049  63.64774951] ; [134.64774951  30.35225049],0
s8,1,0.062532,3.468912,[183 160] ; [73 91],[173.1913215 169.8086785] ; [82.8086785 81.1913215],0
p2,1,0.067504,3.342699,[314  30] ; [141  23],[308.11023622  35.88976378] ; [146.88976378  17.11023622],0
p1,1,0.073766,3.19717,[ 43 300] ; [ 12 153],[ 37.13582677 305.86417323] ; [ 17.86417323 147.13582677],0
b1,1,0.084686,2.97259,[145 201] ; [ 56 109],[136.09784736 209.90215264] ; [ 64.90215264 100.09784736],0
n5,1,0.08878,2.896359,[285  60] ; [125  39],[277.8978389  67.1021611] ; [132.1021611  31.8978389],0
d1,1,0.118683,2.434613,[234 112] ; [100  65],[226.15264188 119.84735812] ; [107.84735812  57.15264188],0
v1,1,0.127541,2.322188,[208 127] ; [89 73],[200.19114688 134.80885312] ; [96.80885312 65.19114688],0
a5,1,0.135714,2.225894,[278  68] ; [123  42],[271.518591  74.481409] ; [129.481409  35.518591],0
a1,1,0.14381,2.136706,[ 21 325] ; [  5 160],[ 17.60469667 328.39530333] ; [  8.39530333 156.60469667],0
d4,1,0.1869,1.741886,[294  51] ; [133  32],[288.85294118  56.14705882] ; [138.14705882  26.85294118],0
s3,1,0.200605,1.637966,[209 132] ; [89 72],[202.42629482 138.57370518] ; [95.57370518 65.42629482],0
s6,1,0.218036,1.517251,[256  81] ; [114  47],[250.3815261  86.6184739] ; [119.6184739  41.3815261],0
a2,1,0.236137,1.40351,[ 99 247] ; [ 39 126],[ 93.44031311 252.55968689] ; [ 44.55968689 120.44031311],0
n2,1,0.238144,1.391547,[38 18] ; [30  8],[40.5106383 15.4893617] ; [27.4893617 10.5106383],0
a6,1,0.276293,1.185234,[243 103] ; [108  57],[237.66340509 108.33659491] ; [113.33659491  51.66340509],0
d5,1,0.279781,1.168155,[297  48] ; [136  29],[292.91176471  52.08823529] ; [140.08823529  24.91176471],0
d2,1,0.298883,1.07917,[190 156] ; [82 82],[184.53333333 161.46666667] ; [87.46666667 76.53333333],0
u4,1,0.301499,1.067554,[ 12 334] ; [  3 162],[ 10.15655577 335.84344423] ; [  4.84344423 160.15655577],0
r3,1,0.325048,0.968527,[335   9] ; [158   7],[333.18664047  10.81335953] ; [159.81335953   5.18664047],0
b5,1,0.328096,0.9564,[196 150] ; [101  64],[201.09980431 144.90019569] ; [95.90019569 69.09980431],0
s1,1,0.329646,0.950288,[ 11 333] ; [  8 153],[ 12.94257426 331.05742574] ; [  6.05742574 154.94257426],0
s2,1,0.338129,0.917511,[198 144] ; [87 76],[193.00990099 148.99009901] ; [91.99009901 71.00990099],0
r1,1,0.338213,0.917192,[295  50] ; [134  29],[291.3484252  53.6515748] ; [137.6515748  25.3484252],0
u2,1,0.353426,0.86112,[52 32] ; [28 24],[49.41176471 34.58823529] ; [30.58823529 21.41176471],0
a7,1,0.391648,0.733818,[265  80] ; [121  44],[261.11764706  83.88235294] ; [124.88235294  40.11764706],0
a4,1,0.458611,0.549282,[172 173] ; [76 88],[168.09430255 176.90569745] ; [79.90569745 84.09430255],0
s4,1,0.486957,0.483243,[ 63 278] ; [ 26 137],[ 60.21626984 280.78373016] ; [ 28.78373016 134.21626984],0
b4,1,0.545513,0.365417,[211 135] ; [96 69],[207.87084149 138.12915851] ; [99.12915851 65.87084149],0
b3,1,0.578046,0.309405,[ 90 133] ; [39 66],[ 87.70426829 135.29573171] ; [41.29573171 63.70426829],0
b2,1,0.578046,0.309405,[ 90 133] ; [39 66],[ 87.70426829 135.29573171] ; [41.29573171 63.70426829],0
u3,1,0.746767,0.104268,[54 30] ; [32 20],[53.11764706 30.88235294] ; [32.88235294 19.11764706],0
v4,1,0.767052,0.087754,[335  10] ; [160   4],[335.5108055   9.4891945] ; [159.4891945   4.5108055],0
a8,1,0.784942,0.074466,[ 40 268] ; [ 21 130],[ 40.93246187 267.06753813] ; [ 20.06753813 130.93246187],0
n3,1,0.884216,0.021207,[42 14] ; [29  9],[42.29787234 13.70212766] ; [28.70212766  9.29787234],0
n1,1,0.920475,0.009967,[23 33] ; [16 22],[23.23404255 32.76595745] ; [15.76595745 22.23404255],0
d3,1,0.934936,0.006664,[257  89] ; [122  43],[256.6223092  89.3776908] ; [122.3776908  42.6223092],0
