Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.034169,4.486252,[2 1] ; [11 53],[0.58208955 2.41791045] ; [12.41791045 51.58208955],0
n1,1,0.0651,3.402446,[2 1] ; [ 4 18],[0.72 2.28] ; [ 5.28 16.72],0
v1,1,0.274382,1.194707,[2 1] ; [22 40],[1.10769231 1.89230769] ; [22.89230769 39.10769231],0
v4,1,0.301035,1.069604,[2 1] ; [56  8],[2.59701493 0.40298507] ; [55.40298507  8.59701493],0
a2,1,0.359937,0.838112,[1 2] ; [ 9 55],[0.44776119 2.55223881] ; [ 9.55223881 54.44776119],0
a4,1,0.402952,0.6995,[2 1] ; [27 37],[1.29850746 1.70149254] ; [27.70149254 36.29850746],0
v2,1,0.450112,0.57037,[2 1] ; [28 35],[1.36363636 1.63636364] ; [28.63636364 34.36363636],0
s6,1,0.502379,0.449907,[2 1] ; [30 34],[1.43283582 1.56716418] ; [30.56716418 33.43283582],0
n6,1,0.59914,0.276295,[2 1] ; [50 13],[2.36363636 0.63636364] ; [49.63636364 13.36363636],0
a5,1,0.683416,0.166305,[2 1] ; [35 29],[1.65671642 1.34328358] ; [35.34328358 28.65671642],0
n2,1,0.68658,0.162812,[2 1] ; [17  5],[2.28 0.72] ; [16.72  5.28],0
s3,1,0.72712,0.121772,[1 2] ; [27 35],[1.29230769 1.70769231] ; [26.70769231 35.29230769],0
n3,1,0.790133,0.070829,[2 1] ; [17  6],[2.19230769 0.80769231] ; [16.80769231  6.19230769],0
s8,1,0.795959,0.066864,[1 2] ; [17 47],[0.80597015 2.19402985] ; [17.19402985 46.80597015],0
d3,1,0.801309,0.063329,[2 1] ; [38 26],[1.79104478 1.20895522] ; [38.20895522 25.79104478],0
n5,1,0.801309,0.063329,[2 1] ; [38 26],[1.79104478 1.20895522] ; [38.20895522 25.79104478],0
v3,1,0.809362,0.058201,[1 2] ; [17 46],[0.81818182 2.18181818] ; [17.18181818 45.81818182],0
s2,1,0.872906,0.02559,[1 2] ; [18 44],[0.87692308 2.12307692] ; [18.12307692 43.87692308],0
b3,1,0.921037,0.009826,[1 2] ; [15 34],[0.92307692 2.07692308] ; [15.07692308 33.92307692],0
b2,1,0.921037,0.009826,[1 2] ; [15 34],[0.92307692 2.07692308] ; [15.07692308 33.92307692],0
a6,1,0.926744,0.008453,[2 1] ; [41 23],[1.92537313 1.07462687] ; [41.07462687 22.92537313],0
a3,1,0.970374,0.001379,[2 1] ; [42 22],[1.97014925 1.02985075] ; [42.02985075 21.97014925],0
s7,1,0.984666,0.000369,[1 2] ; [21 41],[1.01538462 1.98461538] ; [20.98461538 41.01538462],0
b4,1,0.985021,0.000352,[2 1] ; [43 21],[2.01492537 0.98507463] ; [42.98507463 21.01492537],0
a7,1,1.0,0.0,[2 1] ; [42 21],[2. 1.] ; [42. 21.],0
