Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.8e-05,17.544684,[2 3] ; [71  4],[4.5625 0.4375] ; [68.4375  6.5625],1
s1,1,0.001004,10.820803,[3 2] ; [ 7 67],[0.63291139 4.36708861] ; [ 9.36708861 64.63291139],0
r4,1,0.001925,9.619675,[2 3] ; [67  8],[4.3125 0.6875] ; [64.6875 10.3125],0
r2,1,0.004378,8.12012,[3 2] ; [71  4],[4.625 0.375] ; [69.375  5.625],0
p1,1,0.020921,5.333333,[2 3] ; [ 6 69],[0.5 4.5] ; [ 7.5 67.5],0
a7,1,0.059346,3.555556,[1 4] ; [47 28],[3. 2.] ; [45. 30.],0
d5,1,0.068947,3.307907,[2 3] ; [56 17],[3.71794872 1.28205128] ; [54.28205128 18.71794872],0
p8,1,0.076487,3.138015,[3 2] ; [18 57],[1.3125 3.6875] ; [19.6875 55.3125],0
v2,1,0.080622,3.052326,[1 4] ; [42 28],[2.86666667 2.13333333] ; [40.13333333 29.86666667],0
s3,1,0.082718,3.010681,[2 2] ; [63 12],[3.29113924 0.70886076] ; [61.70886076 13.29113924],0
p9,1,0.084775,2.970893,[2 3] ; [55 18],[3.65384615 1.34615385] ; [53.34615385 19.65384615],0
d2,1,0.148018,2.092559,[1 4] ; [39 34],[2.56410256 2.43589744] ; [37.43589744 35.56410256],0
p10,1,0.158976,1.983936,[2 3] ; [52 22],[3.41772152 1.58227848] ; [50.58227848 23.41772152],0
p5,1,0.210418,1.568546,[1 4] ; [ 4 67],[0.32894737 4.67105263] ; [ 4.67105263 66.32894737],0
p11,1,0.253888,1.30178,[2 3] ; [49 26],[3.1875 1.8125] ; [47.8125 27.1875],0
d4,1,0.308096,1.038819,[3 2] ; [58 15],[3.91025641 1.08974359] ; [57.08974359 15.91025641],0
v1,1,0.323148,0.976161,[4 1] ; [42 31],[2.94871795 2.05128205] ; [43.05128205 29.94871795],0
v3,1,0.337103,0.921418,[3 2] ; [26 42],[1.98630137 3.01369863] ; [27.01369863 40.98630137],0
b4,1,0.379077,0.773694,[2 3] ; [45 30],[2.9375 2.0625] ; [44.0625 30.9375],0
r1,1,0.423711,0.64,[3 2] ; [57 18],[3.75 1.25] ; [56.25 18.75],0
n4,1,0.467671,0.527473,[4 1] ; [48 27],[3.25 1.75] ; [48.75 26.25],0
a6,1,0.482026,0.494276,[2 3] ; [41 32],[2.75641026 2.24358974] ; [40.24358974 32.75641026],0
d1,1,0.486234,0.484848,[2 3] ; [42 33],[2.75 2.25] ; [41.25 33.75],0
s4,1,0.51795,0.417973,[2 3] ; [20 55],[1.375 3.625] ; [20.625 54.375],0
b1,1,0.563215,0.334169,[3 2] ; [35 40],[2.375 2.625] ; [35.625 39.375],0
n3,1,0.574695,0.31489,[1 1] ; [18  8],[1.35714286 0.64285714] ; [17.64285714  8.35714286],0
a5,1,0.575125,0.314182,[4 1] ; [51 24],[3.4375 1.5625] ; [51.5625 23.4375],0
p6,1,0.628889,0.233571,[2 3] ; [22 52],[1.51898734 3.48101266] ; [22.48101266 51.51898734],0
s7,1,0.6658,0.186554,[2 2] ; [42 27],[2.4109589 1.5890411] ; [41.5890411 27.4109589],0
n6,1,0.68584,0.163626,[4 1] ; [53 21],[3.60759494 1.39240506] ; [53.39240506 20.60759494],0
a4,1,0.728709,0.120301,[2 3] ; [36 39],[2.375 2.625] ; [35.625 39.375],0
b5,1,0.760179,0.093175,[3 2] ; [50 25],[3.3125 1.6875] ; [49.6875 25.3125],0
s6,1,0.825209,0.048775,[4 1] ; [62 12],[4.17721519 0.82278481] ; [61.82278481 12.17721519],0
p7,1,0.846547,0.037453,[2 3] ; [32 40],[2.20779221 2.79220779] ; [31.79220779 40.20779221],0
n5,1,0.857034,0.032454,[3 2] ; [48 27],[3.1875 1.8125] ; [47.8125 27.1875],0
n1,1,0.869482,0.027,[1 1] ; [11 14],[0.88888889 1.11111111] ; [11.11111111 13.88888889],0
p3,1,0.874653,0.024885,[2 3] ; [27 47],[1.83544304 3.16455696] ; [27.16455696 46.83544304],0
d3,1,0.96156,0.002323,[3 2] ; [43 30],[2.94871795 2.05128205] ; [43.05128205 29.94871795],0
s5,1,0.980126,0.000621,[2 3] ; [28 43],[1.97368421 3.02631579] ; [28.02631579 42.97368421],0
p4,1,0.980988,0.000568,[2 3] ; [30 44],[2.02531646 2.97468354] ; [29.97468354 44.02531646],0
